sample_id,rater,faithfulness,uncertainty_honesty,actionability,brand_tone,auto_fail,notes
edge-01,owner,,,,,,
edge-01,reviewer,,,,,,
edge-01,grader,,,,,,
edge-02,owner,,,,,,
edge-02,reviewer,,,,,,
edge-02,grader,,,,,,
edge-03,owner,,,,,,
edge-03,reviewer,,,,,,
edge-03,grader,,,,,,
edge-04,owner,,,,,,
edge-04,reviewer,,,,,,
edge-04,grader,,,,,,
edge-05,owner,,,,,,
edge-05,reviewer,,,,,,
edge-05,grader,,,,,,
edge-06,owner,,,,,,
edge-06,reviewer,,,,,,
edge-06,grader,,,,,,
edge-07,owner,,,,,,
edge-07,reviewer,,,,,,
edge-07,grader,,,,,,
edge-08,owner,,,,,,
edge-08,reviewer,,,,,,
edge-08,grader,,,,,,
edge-09,owner,,,,,,
edge-09,reviewer,,,,,,
edge-09,grader,,,,,,
edge-10,owner,,,,,,
edge-10,reviewer,,,,,,
edge-10,grader,,,,,,
noedge-01,owner,,,,,,
noedge-01,reviewer,,,,,,
noedge-01,grader,,,,,,
noedge-02,owner,,,,,,
noedge-02,reviewer,,,,,,
noedge-02,grader,,,,,,
noedge-03,owner,,,,,,
noedge-03,reviewer,,,,,,
noedge-03,grader,,,,,,
noedge-04,owner,,,,,,
noedge-04,reviewer,,,,,,
noedge-04,grader,,,,,,
noedge-05,owner,,,,,,
noedge-05,reviewer,,,,,,
noedge-05,grader,,,,,,
stale-01,owner,,,,,,
stale-01,reviewer,,,,,,
stale-01,grader,,,,,,
stale-02,owner,,,,,,
stale-02,reviewer,,,,,,
stale-02,grader,,,,,,
stale-03,owner,,,,,,
stale-03,reviewer,,,,,,
stale-03,grader,,,,,,
stale-04,owner,,,,,,
stale-04,reviewer,,,,,,
stale-04,grader,,,,,,
stale-05,owner,,,,,,
stale-05,reviewer,,,,,,
stale-05,grader,,,,,,
adv-01-injection,owner,,,,,,
adv-01-injection,reviewer,,,,,,
adv-01-injection,grader,,,,,,
adv-02-certainty-name,owner,,,,,,
adv-02-certainty-name,reviewer,,,,,,
adv-02-certainty-name,grader,,,,,,
adv-03-prob-one,owner,,,,,,
adv-03-prob-one,reviewer,,,,,,
adv-03-prob-one,grader,,,,,,
adv-04-prob-extreme,owner,,,,,,
adv-04-prob-extreme,reviewer,,,,,,
adv-04-prob-extreme,grader,,,,,,
adv-05-markup-name,owner,,,,,,
adv-05-markup-name,reviewer,,,,,,
adv-05-markup-name,grader,,,,,,
