package,version,channel,url,sha256,http_status
base64enc,0.1-6,current,https://cloud.r-project.org/src/contrib/base64enc_0.1-6.tar.gz,3c7e9d22f7409fa2989008fa6e980c3dd8e2693eb20676acf2470ae7addb0816,200
bigD,0.3.1,current,https://cloud.r-project.org/src/contrib/bigD_0.3.1.tar.gz,86b1b0cf1849f6b1418c3178ab5d7b04682652375c6e90ebac636921de6088d1,200
bitops,1.0-9,current,https://cloud.r-project.org/src/contrib/bitops_1.0-9.tar.gz,cff3a5b77b72bb3b8fde92b690d0f803466d218a3ead6b731ae7c77ac1740d08,200
bslib,0.11.0,current,https://cloud.r-project.org/src/contrib/bslib_0.11.0.tar.gz,e4df478559cb824c39bd55eb7e5f2aa48d39742d88e5015b494602901c2330bb,200
cachem,1.1.0,current,https://cloud.r-project.org/src/contrib/cachem_1.1.0.tar.gz,550839fc2ae5d865db475ba2c1714144f07fa0c052c72135b0e4a70287492e21,200
cli,3.6.6,current,https://cloud.r-project.org/src/contrib/cli_3.6.6.tar.gz,b2b58d6dd82f5798b335e39c00591686a01fd3e94399ef898e146173e36f18f9,200
commonmark,2.0.0,current,https://cloud.r-project.org/src/contrib/commonmark_2.0.0.tar.gz,7f47d7f9f4ff5d1e2a73a69f6e233d2ddbafae97944ddf664a6000aa94936904,200
cpp11,0.5.5,current,https://cloud.r-project.org/src/contrib/cpp11_0.5.5.tar.gz,72486beb0605c1229bf3d422cd536224af8dc09bd389a3116f62f4c7705c62f4,200
crayon,1.5.3,current,https://cloud.r-project.org/src/contrib/crayon_1.5.3.tar.gz,3e74a0685541efb5ea763b92cfd5c859df71c46b0605967a0b5dbb7326e9da69,200
curl,7.1.0,current,https://cloud.r-project.org/src/contrib/curl_7.1.0.tar.gz,74f079b6306acc18fbe60c18dbaac805703fb6579e6ab398f3437377695fd8a9,200
data.table,1.18.4,current,https://cloud.r-project.org/src/contrib/data.table_1.18.4.tar.gz,d65256f0050a6443770d5982b5098a2a8c894f9675ed17053416c7815cbddeb9,200
digest,0.6.39,current,https://cloud.r-project.org/src/contrib/digest_0.6.39.tar.gz,8bf048b49b2d17077138fae758bda56bbd53278d9437f2fdeaedf979c90a13c9,200
dplyr,1.2.1,current,https://cloud.r-project.org/src/contrib/dplyr_1.2.1.tar.gz,18d66fe2f24cda8b619c177326d39dd015229ab99695fa67d3fa31e4569390e0,200
evaluate,1.0.5,current,https://cloud.r-project.org/src/contrib/evaluate_1.0.5.tar.gz,47aac79f889a828a5f8b4756cb972d7c2966bb984cbae17a4bd2389a73270794,200
farver,2.1.2,current,https://cloud.r-project.org/src/contrib/farver_2.1.2.tar.gz,528823b95daab4566137711f1c842027a952bea1b2ae6ff098e2ca512b17fe25,200
fastmap,1.2.0,current,https://cloud.r-project.org/src/contrib/fastmap_1.2.0.tar.gz,b1da04a2915d1d057f3c2525e295ef15016a64e6667eac83a14641bbd83b9246,200
fastrmodels,2.1.0,current,https://cloud.r-project.org/src/contrib/fastrmodels_2.1.0.tar.gz,512e87003bc3cdb07efd956ff5181089962b32948a24766017119e4c48ba2761,200
fontawesome,0.5.3,current,https://cloud.r-project.org/src/contrib/fontawesome_0.5.3.tar.gz,1b1909d0fad5ec4c658f5c628a195b9bd93d544afa957e68e897224cfb81fb4f,200
fs,2.1.0,current,https://cloud.r-project.org/src/contrib/fs_2.1.0.tar.gz,7088af1117d65c4ceb144b532e323f197fc8243b1d704bf6edf40774789829cd,200
furrr,0.4.0,current,https://cloud.r-project.org/src/contrib/furrr_0.4.0.tar.gz,82f8d18078fdde968bdf8ea978a91b936a8bc5d0b3f41ce0f6e2c6bc0efce714,200
future,1.75.0,current,https://cloud.r-project.org/src/contrib/future_1.75.0.tar.gz,9cc444d36e0d0a7935ac76a027f807a44d505eed7eacccde0dd79a82c7f36ca1,200
generics,0.1.4,current,https://cloud.r-project.org/src/contrib/generics_0.1.4.tar.gz,bbe95a097792d38fc3b7e677738af1b95b66ea5e5017e33b8beac6a6088d0801,200
ggpath,1.1.1,current,https://cloud.r-project.org/src/contrib/ggpath_1.1.1.tar.gz,aa2f544f196bd518d9191a7c4f9b4c388e5ab16ce5a9cdf63546de6194bce969,200
ggplot2,4.0.3,current,https://cloud.r-project.org/src/contrib/ggplot2_4.0.3.tar.gz,690224bd61642b6222adb109470988e87f786e193cca77a15c0923cf9da73fa5,200
globals,0.19.1,current,https://cloud.r-project.org/src/contrib/globals_0.19.1.tar.gz,b58d7ea423eb8772aa1be615d97722a6babf836360e01e533d176e108c216979,200
glue,1.8.1,current,https://cloud.r-project.org/src/contrib/glue_1.8.1.tar.gz,1c55905d3efc3d5c199ceb0bd12218e97f0d4c64df6038ff41ecef415478a122,200
gsubfn,0.7,current,https://cloud.r-project.org/src/contrib/gsubfn_0.7.tar.gz,89351df9e65722d2862f26a0a3985666de3c86e8400808ced8a6eb6e165a4602,200
gt,1.3.0,current,https://cloud.r-project.org/src/contrib/gt_1.3.0.tar.gz,10e730a7ffd1fd41147ecd7ec8abcd1c8037103ca9fe26d3bb8b1090d4323f5c,200
gtable,0.3.6,current,https://cloud.r-project.org/src/contrib/gtable_0.3.6.tar.gz,d305a5fa11278b649d2d8edc5288bf28009be888a42be58ff8714018e49de0ef,200
highr,0.12,current,https://cloud.r-project.org/src/contrib/highr_0.12.tar.gz,e8e1d6460022a9948799602d6b95dc78fbfa318ff6f0627e95c20b7190fc612b,200
hms,1.1.4,current,https://cloud.r-project.org/src/contrib/hms_1.1.4.tar.gz,efc525f797b62b3740d06c6fa8202593ab5aa4fc1edeefb76b6eb9be89e87b94,200
htmltools,0.5.9,current,https://cloud.r-project.org/src/contrib/htmltools_0.5.9.tar.gz,19308618da485818f69dcfeeadd2ddc81d43a736a74519df7b3fd98e13128afd,200
htmlwidgets,1.6.4,current,https://cloud.r-project.org/src/contrib/htmlwidgets_1.6.4.tar.gz,7cb08f0b30485dac26f72e4056ec4ed8825d1398e8b9f25ed63db228fe3a0ed0,200
isoband,0.3.0,current,https://cloud.r-project.org/src/contrib/isoband_0.3.0.tar.gz,fe8d3d58ca75bbee32f389152ac0058818f3f76f09c9867949531de7abc424ac,200
janitor,2.2.1,current,https://cloud.r-project.org/src/contrib/janitor_2.2.1.tar.gz,27c401302a62cafe8e68e66a51073834bc7930872282e0feb151d13629ae6cdf,200
jquerylib,0.1.4,current,https://cloud.r-project.org/src/contrib/jquerylib_0.1.4.tar.gz,f0bcc11dcde3a6ff180277e45c24642d3da3c8690900e38f44495efbc9064411,200
jsonlite,2.0.0,current,https://cloud.r-project.org/src/contrib/jsonlite_2.0.0.tar.gz,75eb910c82b350ec33f094779da0f87bff154c232e4ae39c9896a9b89f3ac82d,200
juicyjuice,0.1.0,current,https://cloud.r-project.org/src/contrib/juicyjuice_0.1.0.tar.gz,64f5418b2a4794b47f0525baaf101beb4f1374ea22f38d7d604f5118bdb6e12a,200
knitr,1.51,current,https://cloud.r-project.org/src/contrib/knitr_1.51.tar.gz,bcfa3081677ff5c3881c7cef35f3305bbf6714b01320c81a523772663741ca11,200
labeling,0.4.3,current,https://cloud.r-project.org/src/contrib/labeling_0.4.3.tar.gz,c62f4fc2cc74377d7055903c5f1913b7295f7587456fe468592738a483e264f2,200
lifecycle,1.0.5,current,https://cloud.r-project.org/src/contrib/lifecycle_1.0.5.tar.gz,61841e3e6edba056a88355a3f1d6698ab8d5d9cb3c05f2af0ec5a44ab516f8ee,200
listenv,1.0.0,current,https://cloud.r-project.org/src/contrib/listenv_1.0.0.tar.gz,b12c71b839638b324857e134e31e7de4fc7595e00af5e7c634a78374bd1cd2aa,200
litedown,0.10,current,https://cloud.r-project.org/src/contrib/litedown_0.10.tar.gz,67bf33b205989ece20c02ee0082d042067a2c47a820f9e4e164e9b2edc4f4fba,200
lubridate,1.9.5,current,https://cloud.r-project.org/src/contrib/lubridate_1.9.5.tar.gz,0bc5d10e5a34285d4f9e9c572c058c386b9e1515d8faebc1496b2680138280a8,200
magick,2.9.1,current,https://cloud.r-project.org/src/contrib/magick_2.9.1.tar.gz,26ac6072279def657f7fef2875b23cff330dc1ab22a410f10daea56ed425219d,200
magrittr,2.0.5,current,https://cloud.r-project.org/src/contrib/magrittr_2.0.5.tar.gz,3f5b5b1d4e6d12807a95c50b6c88cb1d8af2c5eb5213f08bfe58f278eca2ed23,200
markdown,2.0,current,https://cloud.r-project.org/src/contrib/markdown_2.0.tar.gz,a560de75fb6878901e38febfef3ea8d21cb63af63de0e583019867d189bf9541,200
memoise,2.0.1,current,https://cloud.r-project.org/src/contrib/memoise_2.0.1.tar.gz,f85034ee98c8ca07fb3cd826142c1cd1e1e5747075a94c75a45783bbc4fe2deb,200
mime,0.13,current,https://cloud.r-project.org/src/contrib/mime_0.13.tar.gz,7132834cf3c3388eff12bad376d69fbcf8275acc37d36c290e59174fe3c7f3eb,200
nfl4th,1.0.7,current,https://cloud.r-project.org/src/contrib/nfl4th_1.0.7.tar.gz,d12968cdb4b4a23284c11ad7e15f31037c37f0a1856a0cddc9960288bb532cdb,200
nflfastR,5.2.0,current,https://cloud.r-project.org/src/contrib/nflfastR_5.2.0.tar.gz,4d276a1a626d40f4360d915442ae172035f81d8d23e9876b21f6ed3e479c6042,200
nflplotR,1.6.0,current,https://cloud.r-project.org/src/contrib/nflplotR_1.6.0.tar.gz,c1854f9984a4ff8ee1ef28e6fc2f6c4dcb3c9d4e2555a6f4f012281e4bf121a4,200
nflreadr,1.5.1,current,https://cloud.r-project.org/src/contrib/nflreadr_1.5.1.tar.gz,4641e81bb8812f1251f4222a3fb4fb586261260e15539bed33cc483a164e723d,200
nflseedR,2.0.2,current,https://cloud.r-project.org/src/contrib/nflseedR_2.0.2.tar.gz,cc11d6f5fcc65b3f88c1b936d82719fb328cfa128fe4fcf7b65626ce2160b6e9,200
nflverse,1.0.3,current,https://cloud.r-project.org/src/contrib/nflverse_1.0.3.tar.gz,79bc327978649a2a8852012e6c368c6164ddcd8050ffb154596fa005d09b55dd,200
parallelly,1.48.0,current,https://cloud.r-project.org/src/contrib/parallelly_1.48.0.tar.gz,58fe71ccee8e4dc95591958c5428c5000350937024373b99b258a76da0927636,200
pillar,1.11.1,current,https://cloud.r-project.org/src/contrib/pillar_1.11.1.tar.gz,056ce154238c9b5b8d5dcbcb52e1bc51d33870ce08c8a9ca9496478bd59f4653,200
pkgconfig,2.0.3,current,https://cloud.r-project.org/src/contrib/pkgconfig_2.0.3.tar.gz,330fef440ffeb842a7dcfffc8303743f1feae83e8d6131078b5a44ff11bc3850,200
progressr,1.0.0,current,https://cloud.r-project.org/src/contrib/progressr_1.0.0.tar.gz,00907ab12441583e59e910690a335c6a0e9bea9d1c0280a84fbe3459323f02a7,200
proto,1.0.0,current,https://cloud.r-project.org/src/contrib/proto_1.0.0.tar.gz,9294d9a3b2b680bb6fac17000bfc97453d77c87ef68cfd609b4c4eb6d11d04d1,200
purrr,1.2.2,current,https://cloud.r-project.org/src/contrib/purrr_1.2.2.tar.gz,ac3bc0fc0e789510042522e6c4294336c71447be8f6921b5ef78b9a9fb86617d,200
R6,2.6.1,current,https://cloud.r-project.org/src/contrib/R6_2.6.1.tar.gz,59c6eba8b1b912eb7e104f65053235604be853425ee67c152ac4e86a1f2073b4,200
rappdirs,0.3.4,current,https://cloud.r-project.org/src/contrib/rappdirs_0.3.4.tar.gz,2320ebc9ef3b1a32a1e63f94a6ce2c1c34d66782221a6531e786804f681abc66,200
RColorBrewer,1.1-3,current,https://cloud.r-project.org/src/contrib/RColorBrewer_1.1-3.tar.gz,4f42f5423c45688b39f492c7892d93f37b4541831c8ffb140364d2bd89031ac0,200
Rcpp,1.1.2,current,https://cloud.r-project.org/src/contrib/Rcpp_1.1.2.tar.gz,2746cf2fb188e5f0a84dbf5c8f68915b54564ed33e5754572f174e7b32e7f4f3,200
reactable,0.4.5,current,https://cloud.r-project.org/src/contrib/reactable_0.4.5.tar.gz,6bdd74fb37561de32500f7e855003ced9533f4e61f4026752c204f430c10cd36,200
reactR,0.6.1,current,https://cloud.r-project.org/src/contrib/reactR_0.6.1.tar.gz,9b690d7d4de54cbecca16deea9684f1d4aba91b2b280b38ea13c63eb5e57d892,200
rlang,1.3.0,current,https://cloud.r-project.org/src/contrib/rlang_1.3.0.tar.gz,80aa537d49e72265f443a15e8936128af583caa5e572086518b503cbf064279c,200
rmarkdown,2.31,current,https://cloud.r-project.org/src/contrib/rmarkdown_2.31.tar.gz,0c5baed4a447292f15507794d2dde6b18bae1fa6c45ea6ada8bcd99ca211fcbc,200
rstudioapi,0.19.0,current,https://cloud.r-project.org/src/contrib/rstudioapi_0.19.0.tar.gz,f1e3bb445a90aadc07b043493022d120493eba7ff30c0b3055442d8b77d8069a,200
S7,0.2.2,current,https://cloud.r-project.org/src/contrib/S7_0.2.2.tar.gz,6f33245dde05b74265b1c4d379e034bc3a8923d41e7b52e6e75a75ce97d42af7,200
sass,0.4.10,current,https://cloud.r-project.org/src/contrib/sass_0.4.10.tar.gz,4adb4c243f74d811276529e346deaa064bce28dbfbb837208fc85f2c47b79b30,200
scales,1.4.0,current,https://cloud.r-project.org/src/contrib/scales_1.4.0.tar.gz,d55ef5f08c92652d7a95cfa27584024723ab17873f1b2577dd488cb7c883ceee,200
snakecase,0.11.1,current,https://cloud.r-project.org/src/contrib/snakecase_0.11.1.tar.gz,2a5f9791337ca42e392f23fb873eb44f74810583e9aa7c62fda2f28f9e750821,200
stringi,1.8.7,current,https://cloud.r-project.org/src/contrib/stringi_1.8.7.tar.gz,0526decdcd41b7c42278aca96945394c2cb66ba6fdd47fd917b5d3d38ed5c8c6,200
stringr,1.6.0,current,https://cloud.r-project.org/src/contrib/stringr_1.6.0.tar.gz,24f2fc5df980a7eb888659e22b9744d2316c558624015c7a7cd8c3ce3e370064,200
tibble,3.3.1,current,https://cloud.r-project.org/src/contrib/tibble_3.3.1.tar.gz,fb309f8a1939021b237c7e85ff7ad6e8ff5acd57a6230d220a452094b492b28f,200
tidyr,1.3.2,current,https://cloud.r-project.org/src/contrib/tidyr_1.3.2.tar.gz,04c0e6daf0af682af73763a42c027d7171761cdbdbf9ff7a77a0e421343d665a,200
tidyselect,1.2.1,current,https://cloud.r-project.org/src/contrib/tidyselect_1.2.1.tar.gz,169e97ba0bbfbcdf4a80534322751f87a04370310c40e27f04aac6525d45903c,200
timechange,0.4.0,current,https://cloud.r-project.org/src/contrib/timechange_0.4.0.tar.gz,6dc8ff9d339d3c4cff7ddf3800383f3e94f41c021f6c7bacccf971e187f73feb,200
tinytex,0.60,current,https://cloud.r-project.org/src/contrib/tinytex_0.60.tar.gz,a48f0e88a6cf0cd196e950dba8743df8916918a67c472923257c82bcb8a471e8,200
utf8,1.2.6,current,https://cloud.r-project.org/src/contrib/utf8_1.2.6.tar.gz,4589f8b72291329e70b7f3a8c20f2feb4e7764eebad2e6976bc9a3eee7686ce9,200
V8,8.2.0,current,https://cloud.r-project.org/src/contrib/V8_8.2.0.tar.gz,72974b10eeb5cbfd9208c6b448195685e3e6b6e19bd1f6efb03293309c91a92b,200
vctrs,0.7.3,current,https://cloud.r-project.org/src/contrib/vctrs_0.7.3.tar.gz,b45078413e06ac624dddb7221a3a43908b405c8abec09822cb86638d30b0435b,200
viridisLite,0.4.3,current,https://cloud.r-project.org/src/contrib/viridisLite_0.4.3.tar.gz,433be9bde66234dc76301fb4ffbbc9fc74bab5c14f4548d8ef2fc0065e121ef5,200
withr,3.0.3,current,https://cloud.r-project.org/src/contrib/withr_3.0.3.tar.gz,d86c6454164fc85678bfc85e2a6cce42f7461d45fa9a87de71f376e7956c991e,200
xfun,0.60,current,https://cloud.r-project.org/src/contrib/xfun_0.60.tar.gz,6f5d4fe2067bade6d7b33916f86d756a017c068296c885a6e22c30b557b84597,200
xgboost,3.2.1.1,current,https://cloud.r-project.org/src/contrib/xgboost_3.2.1.1.tar.gz,54f3f59aa5689117977aab725b6bda88db71fff4b1b6d92289f81cb10bcee2a5,200
xml2,1.6.0,current,https://cloud.r-project.org/src/contrib/xml2_1.6.0.tar.gz,b0660edab0a839866a0cccd44721c54d497000fd6577a25106a33280318bf579,200
yaml,2.3.12,current,https://cloud.r-project.org/src/contrib/yaml_2.3.12.tar.gz,80ccf3dde851133ef3e333b818a817c296c6ccdacfc4709cd466995289cd556c,200
