"package","version","license","needs_compilation","built_r","install_mtime"
"base64enc","0.1-6","GPL-2 | GPL-3","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:54 UTC; unix","2026-07-26T21:22:54"
"bigD","0.3.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:22:55 UTC; unix","2026-07-26T21:22:55"
"bitops","1.0-9","GPL (>= 2)","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:56 UTC; unix","2026-07-26T21:22:56"
"bslib","0.11.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:24:30 UTC; unix","2026-07-26T21:24:30"
"cachem","1.1.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:36 UTC; unix","2026-07-26T21:23:36"
"cli","3.6.6","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:16 UTC; unix","2026-07-26T21:23:16"
"commonmark","2.0.0","BSD_2_clause + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:57 UTC; unix","2026-07-26T21:22:57"
"cpp11","0.5.5","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:22:51 UTC; unix","2026-07-26T21:22:51"
"crayon","1.5.3","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:16 UTC; unix","2026-07-26T21:23:16"
"curl","7.1.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:08 UTC; unix","2026-07-26T21:23:08"
"data.table","1.18.4","MPL-2.0 | file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:09 UTC; unix","2026-07-26T21:23:09"
"digest","0.6.39","GPL (>= 2)","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:52 UTC; unix","2026-07-26T21:22:52"
