package,installed,cran_current,status,github_dev
base64enc,0.1-6,0.1-6,current,
bigD,0.3.1,0.3.1,current,
bitops,1.0-9,1.0-9,current,
bslib,0.11.0,0.11.0,current,
cachem,1.1.0,1.1.0,current,
cli,3.6.6,3.6.6,current,
commonmark,2.0.0,2.0.0,current,
cpp11,0.5.5,0.5.5,current,
crayon,1.5.3,1.5.3,current,
curl,7.1.0,7.1.0,current,
data.table,1.18.4,1.18.4,current,
digest,0.6.39,0.6.39,current,
dplyr,1.2.1,1.2.1,current,
evaluate,1.0.5,1.0.5,current,
farver,2.1.2,2.1.2,current,
fastmap,1.2.0,1.2.0,current,
fastrmodels,2.1.0,2.1.0,current,
fontawesome,0.5.3,0.5.3,current,
fs,2.1.0,2.1.0,current,
furrr,0.4.0,0.4.0,current,
future,1.75.0,1.75.0,current,
generics,0.1.4,0.1.4,current,
ggpath,1.1.1,1.1.1,current,
ggplot2,4.0.3,4.0.3,current,
globals,0.19.1,0.19.1,current,
glue,1.8.1,1.8.1,current,
gsubfn,0.7,0.7,current,
gt,1.3.0,1.3.0,current,
gtable,0.3.6,0.3.6,current,
highr,0.12,0.12,current,
hms,1.1.4,1.1.4,current,
htmltools,0.5.9,0.5.9,current,
htmlwidgets,1.6.4,1.6.4,current,
isoband,0.3.0,0.3.0,current,
janitor,2.2.1,2.2.1,current,
jquerylib,0.1.4,0.1.4,current,
jsonlite,2.0.0,2.0.0,current,
juicyjuice,0.1.0,0.1.0,current,
knitr,1.51,1.51,current,
labeling,0.4.3,0.4.3,current,
lifecycle,1.0.5,1.0.5,current,
listenv,1.0.0,1.0.0,current,
litedown,0.10,0.10,current,
lubridate,1.9.5,1.9.5,current,
magick,2.9.1,2.9.1,current,
magrittr,2.0.5,2.0.5,current,
markdown,2.0,2.0,current,
memoise,2.0.1,2.0.1,current,
mime,0.13,0.13,current,
nfl4th,1.0.7,1.0.7,current,1.0.7
nflfastR,5.2.0,5.2.0,current,5.2.0.9012
nflplotR,1.6.0,1.6.0,current,1.6.0
nflreadr,1.5.1,1.5.1,current,1.5.1
nflseedR,2.0.2,2.0.2,current,2.0.2.9000
nflverse,1.0.3,1.0.3,current,1.0.3.9001
parallelly,1.48.0,1.48.0,current,
pillar,1.11.1,1.11.1,current,
pkgconfig,2.0.3,2.0.3,current,
progressr,1.0.0,1.0.0,current,
proto,1.0.0,1.0.0,current,
purrr,1.2.2,1.2.2,current,
R6,2.6.1,2.6.1,current,
rappdirs,0.3.4,0.3.4,current,
RColorBrewer,1.1-3,1.1-3,current,
Rcpp,1.1.2,1.1.2,current,
reactable,0.4.5,0.4.5,current,
reactR,0.6.1,0.6.1,current,
rlang,1.3.0,1.3.0,current,
rmarkdown,2.31,2.31,current,
rstudioapi,0.19.0,0.19.0,current,
S7,0.2.2,0.2.2,current,
sass,0.4.10,0.4.10,current,
scales,1.4.0,1.4.0,current,
snakecase,0.11.1,0.11.1,current,
stringi,1.8.7,1.8.7,current,
stringr,1.6.0,1.6.0,current,
tibble,3.3.1,3.3.1,current,
tidyr,1.3.2,1.3.2,current,
tidyselect,1.2.1,1.2.1,current,
timechange,0.4.0,0.4.0,current,
tinytex,0.60,0.60,current,
utf8,1.2.6,1.2.6,current,
V8,8.2.0,8.2.0,current,
vctrs,0.7.3,0.7.3,current,
viridisLite,0.4.3,0.4.3,current,
withr,3.0.3,3.0.3,current,
xfun,0.60,0.60,current,
xgboost,3.2.1.1,3.2.1.1,current,
xml2,1.6.0,1.6.0,current,
yaml,2.3.12,2.3.12,current,
