package,version,channel,md5_actual,md5_index_primary,md5_index_mirror2,sha256_primary,sha256_mirror2,verdict
base64enc,0.1-6,current,2c4ecc969451a673ee05eb2e725fcbaf,2c4ecc969451a673ee05eb2e725fcbaf,2c4ecc969451a673ee05eb2e725fcbaf,3c7e9d22f7409fa2989008fa6e980c3dd8e2693eb20676acf2470ae7addb0816,3c7e9d22f7409fa2989008fa6e980c3dd8e2693eb20676acf2470ae7addb0816,PASS
bigD,0.3.1,current,6c26ee252cb28371682705cb237a4066,6c26ee252cb28371682705cb237a4066,6c26ee252cb28371682705cb237a4066,86b1b0cf1849f6b1418c3178ab5d7b04682652375c6e90ebac636921de6088d1,86b1b0cf1849f6b1418c3178ab5d7b04682652375c6e90ebac636921de6088d1,PASS
bitops,1.0-9,current,2214ea9a069223af2bdc9e7528876025,2214ea9a069223af2bdc9e7528876025,2214ea9a069223af2bdc9e7528876025,cff3a5b77b72bb3b8fde92b690d0f803466d218a3ead6b731ae7c77ac1740d08,cff3a5b77b72bb3b8fde92b690d0f803466d218a3ead6b731ae7c77ac1740d08,PASS
bslib,0.11.0,current,33ff4265fa9789b2b35945be75e61fd0,33ff4265fa9789b2b35945be75e61fd0,33ff4265fa9789b2b35945be75e61fd0,e4df478559cb824c39bd55eb7e5f2aa48d39742d88e5015b494602901c2330bb,e4df478559cb824c39bd55eb7e5f2aa48d39742d88e5015b494602901c2330bb,PASS
cachem,1.1.0,current,53980eb40dd09b0cd44673d3a6fabe36,53980eb40dd09b0cd44673d3a6fabe36,53980eb40dd09b0cd44673d3a6fabe36,550839fc2ae5d865db475ba2c1714144f07fa0c052c72135b0e4a70287492e21,550839fc2ae5d865db475ba2c1714144f07fa0c052c72135b0e4a70287492e21,PASS
cli,3.6.6,current,eedc08ba864ae6cd640b05eff1a607ee,eedc08ba864ae6cd640b05eff1a607ee,eedc08ba864ae6cd640b05eff1a607ee,b2b58d6dd82f5798b335e39c00591686a01fd3e94399ef898e146173e36f18f9,b2b58d6dd82f5798b335e39c00591686a01fd3e94399ef898e146173e36f18f9,PASS
commonmark,2.0.0,current,ac18da7841af62e8c457dd4872cce1ba,ac18da7841af62e8c457dd4872cce1ba,ac18da7841af62e8c457dd4872cce1ba,7f47d7f9f4ff5d1e2a73a69f6e233d2ddbafae97944ddf664a6000aa94936904,7f47d7f9f4ff5d1e2a73a69f6e233d2ddbafae97944ddf664a6000aa94936904,PASS
cpp11,0.5.5,current,7c4c3f58ffa7adec25b85d0d99c0d7ed,7c4c3f58ffa7adec25b85d0d99c0d7ed,7c4c3f58ffa7adec25b85d0d99c0d7ed,72486beb0605c1229bf3d422cd536224af8dc09bd389a3116f62f4c7705c62f4,72486beb0605c1229bf3d422cd536224af8dc09bd389a3116f62f4c7705c62f4,PASS
crayon,1.5.3,current,bb290c70d23b2200006187ac7839116f,bb290c70d23b2200006187ac7839116f,bb290c70d23b2200006187ac7839116f,3e74a0685541efb5ea763b92cfd5c859df71c46b0605967a0b5dbb7326e9da69,3e74a0685541efb5ea763b92cfd5c859df71c46b0605967a0b5dbb7326e9da69,PASS
curl,7.1.0,current,8af2ccbf5d85dc18866f45f1f26f348d,8af2ccbf5d85dc18866f45f1f26f348d,8af2ccbf5d85dc18866f45f1f26f348d,74f079b6306acc18fbe60c18dbaac805703fb6579e6ab398f3437377695fd8a9,74f079b6306acc18fbe60c18dbaac805703fb6579e6ab398f3437377695fd8a9,PASS
