  REAL-DIFF   DESCRIPTION                              (32 differing lines after LF-normalization)
  CRLF-ONLY   LICENSE                                  (CR lines tarball=2 github=0)
  CRLF-ONLY   man/nflverse_packages.Rd                 (CR lines tarball=20 github=0)
  CRLF-ONLY   man/nflverse_sitrep.Rd                   (CR lines tarball=14 github=0)
  CRLF-ONLY   man/nflverse_update.Rd                   (CR lines tarball=35 github=0)
  CRLF-ONLY   man/nflverse-package.Rd                  (CR lines tarball=34 github=0)
  CRLF-ONLY   man/pipe.Rd                              (CR lines tarball=12 github=0)
  CRLF-ONLY   NAMESPACE                                (CR lines tarball=12 github=0)
  CRLF-ONLY   R/attach.R                               (CR lines tarball=62 github=0)
  CRLF-ONLY   R/conflicts.R                            (CR lines tarball=82 github=0)
  CRLF-ONLY   R/core.R                                 (CR lines tarball=7 github=0)
  CRLF-ONLY   R/nflverse-package.R                     (CR lines tarball=15 github=0)
  CRLF-ONLY   R/pipe.R                                 (CR lines tarball=11 github=0)
  CRLF-ONLY   R/updates_and_reports.R                  (CR lines tarball=131 github=0)
  CRLF-ONLY   R/utils.R                                (CR lines tarball=31 github=0)
  CRLF-ONLY   R/zzz.R                                  (CR lines tarball=20 github=0)
  CRLF-ONLY   README.md                                (CR lines tarball=90 github=0)
  CRLF-ONLY   tests/testthat.R                         (CR lines tarball=4 github=0)
  CRLF-ONLY   tests/testthat/test-reports.R            (CR lines tarball=10 github=0)
