package,file,line,pattern,snippet,classification
Rcpp,R/01_show.R,24,native_entry,".Call( Class__name, cppclass ),",benign
Rcpp,R/01_show.R,27,fs_write,writeLines( txt ),benign
Rcpp,R/01_show.R,33,native_entry,".Call( Class__name, object@pointer ),",benign
Rcpp,R/01_show.R,37,fs_write,writeLines( txt ),benign
Rcpp,R/01_show.R,47,fs_write,"writeLines( ""Constructors:"" )",benign
Rcpp,R/01_show.R,48,fs_write,"writeLines( paste( txt, collapse = ""\n"" ) )",benign
Rcpp,R/01_show.R,55,fs_write,"writeLines( ""\nFields: "" )",benign
Rcpp,R/01_show.R,66,fs_write,"writeLines( paste( txt, collapse = ""\n"" ) )",benign
Rcpp,R/01_show.R,68,fs_write,"writeLines( ""\nFields: No public fields exposed by this class"" )",benign
Rcpp,R/01_show.R,74,fs_write,"writeLines( ""\nMethods: "" )",benign
Rcpp,R/01_show.R,79,fs_write,"writeLines( paste( txt, collapse = ""\n"" ) )",benign
Rcpp,R/01_show.R,81,fs_write,"writeLines( ""\nMethods: no methods exposed by this class"" )",benign
Rcpp,R/01_show.R,87,fs_write,writeLines( txt ),benign
Rcpp,R/01_show.R,91,fs_write,"writeLines( sprintf( ""    docstring : %s"", doc ) )",benign
Rcpp,R/01_show.R,96,fs_write,"writeLines( sprintf( ""    signature : %s"", sign ) )",benign
Rcpp,R/01_show.R,107,fs_write,writeLines(txt),benign
Rcpp,R/01_show.R,110,native_entry,"info <- .Call( Module__functions_arity, pointer )",benign
Rcpp,R/01_show.R,111,native_entry,"name <- .Call( Module__name, pointer )",benign
Rcpp,R/01_show.R,113,fs_write,writeLines( txt ),benign
Rcpp,R/01_show.R,115,fs_write,writeLines( txt ),benign
Rcpp,R/01_show.R,117,native_entry,"info <- .Call( Module__classes_info, pointer )",benign
Rcpp,R/01_show.R,119,fs_write,writeLines( txt ),benign
Rcpp,R/01_show.R,121,fs_write,writeLines( txt ),benign
Rcpp,R/02_completion.R,24,native_entry,"grep( pattern , .Call( Module__complete, pointer), value = TRUE )",benign
Rcpp,R/02_completion.R,36,native_entry,".Call( CppClass__complete , xp )",benign
Rcpp,R/03_prompt.R,25,native_entry,".Call( Module__functions_arity, pointer )",benign
Rcpp,R/03_prompt.R,33,native_entry,"name <- .Call( Module__name, pointer )",benign
Rcpp,R/03_prompt.R,50,native_entry,"classes <- .Call( Module__classes_info, pointer )",benign
Rcpp,R/03_prompt.R,60,fs_write,"writeLines( lines, filename )",benign
Rcpp,R/Attributes.R,48,fs_write,"writeLines(code, con)",note
Rcpp,R/Attributes.R,80,native_entry,"context <- .Call(""sourceCppContext"", PACKAGE=""Rcpp"",",benign
Rcpp,R/Attributes.R,156,system_call,"result <- suppressWarnings(system2(r, args, stdout = so, stderr = so))",note
Rcpp,R/Attributes.R,208,source_call,"source(scriptPath, local = env)",note
Rcpp,R/Attributes.R,219,source_call,"source(file = srcConn, local = env, echo = echo)",note
Rcpp,R/Attributes.R,357,fs_write,"writeLines( sprintf( ""%d bytes (%d bits)"", x, 8 * x ) )",benign
Rcpp,R/Attributes.R,492,native_entry,"invisible(.Call(""compileAttributes"", PACKAGE=""Rcpp"",",benign
Rcpp,R/Attributes.R,581,fs_write,"writeLines("""", con = script)",note
Rcpp,R/Attributes.R,587,system_call,"system2(r, c(""CMD"", ""SHLIB"", ""--dry-run"", shQuote(script)), stdout = TRUE),",note
Rcpp,R/Attributes.R,606,system_call,"system(command, intern = TRUE),",note
Rcpp,R/Attributes.R,860,Sys_getenv,"mergeIntoBuildEnv(name, Sys.getenv(name))",note
Rcpp,R/Attributes.R,868,Sys_getenv,"!nzchar(Sys.getenv(""RSTUDIO""))) {                       # #nocov start",benign
Rcpp,R/Attributes.R,877,Sys_getenv,"restore[[name]] <- Sys.getenv(name, unset = NA)",note
Rcpp,R/Attributes.R,880,Sys_setenv,"do.call(Sys.setenv, buildEnv)",note
Rcpp,R/Attributes.R,923,Sys_getenv,"env$PATH <- paste(path, Sys.getenv(""PATH""), sep=.Platform$path.sep)",benign
Rcpp,R/Attributes.R,969,Sys_setenv,"do.call(Sys.setenv, setVars)							# #nocov",note
Rcpp,R/Attributes.R,1138,Sys_getenv,"if (nzchar(Sys.getenv(""RSTUDIO"")))",benign
Rcpp,R/Attributes.R,1181,system_call,"result <- suppressWarnings(system(cmd,",note
Rcpp,R/Attributes.R,1227,load_call,load(file = index_file),note
Rcpp,R/Attributes.R,1271,load_call,load(file = token_file),note
Rcpp,R/Module.R,22,native_entry,".External( InternalFunction_invoke, xp, ... )",benign
Rcpp,R/Module.R,72,native_entry,"info <- .Call( Module__get_function, pointer, name )",benign
Rcpp,R/Module.R,85,native_entry,".External( InternalFunction_invoke, fun_pointer)",benign
Rcpp,R/Module.R,90,native_entry,".External( InternalFunction_invoke, fun_pointer)",benign
Rcpp,R/Module.R,96,native_entry,".External( InternalFunction_invoke, fun_pointer, ... )",benign
Rcpp,R/Module.R,101,native_entry,".External( InternalFunction_invoke, fun_pointer, ... )",benign
Rcpp,R/Module.R,113,native_entry,"value <- .Call( Module__get_class, pointer, name )",benign
Rcpp,R/Module.R,125,native_entry,".External( class__newInstance, module, pointer, ... )",benign
Rcpp,R/Module.R,129,native_entry,".External( class__dummyInstance, ...)                       # #nocov",benign
Rcpp,R/Module.R,184,native_entry,"moduleName <- .Call( Module__name, xp )",benign
Rcpp,R/Module.R,201,native_entry,xp  <- .Call( symbol ),benign
Rcpp,R/Module.R,207,native_entry,"classes <- .Call( Module__classes_info, xp )",benign
Rcpp,R/Module.R,299,native_entry,"functions <- .Call( Module__functions_names, xp )",benign
Rcpp,R/Module.R,348,native_entry,".External(CppMethod__invoke_void, class_pointer, pointer, .pointer )",benign
Rcpp,R/Module.R,357,native_entry,".External(CppMethod__invoke_notvoid, class_pointer, pointer, .pointer )",benign
Rcpp,R/Module.R,365,native_entry,"dealWith( .External(CppMethod__invoke, class_pointer, pointer, .pointer ) )",benign
Rcpp,R/Module.R,374,native_entry,".External(CppMethod__invoke_void, class_pointer, pointer, .pointer, ...)",benign
Rcpp,R/Module.R,383,native_entry,".External(CppMethod__invoke_notvoid, class_pointer, pointer, .pointer, ...)",benign
Rcpp,R/Module.R,391,native_entry,"dealWith( .External(CppMethod__invoke, class_pointer, pointer, .pointer, ...) )",benign
Rcpp,R/Module.R,403,native_entry,".Call( CppObject__finalize, class_pointer , .pointer )",benign
Rcpp,R/Module.R,419,native_entry,".Call( Class__has_default_constructor, CLASS@pointer )",benign
Rcpp,R/Module.R,426,native_entry,".Call( CppField__get, class_pointer, pointer, .pointer)",benign
Rcpp,R/Module.R,428,native_entry,".Call( CppField__set, class_pointer, pointer, .pointer, x)",benign
Rcpp,R/Rcpp.package.skeleton.R,122,fs_write,"writeLines(lines, con = ns)",note
Rcpp,R/Rcpp.package.skeleton.R,126,fs_write,"writeLines('import(methods, Rcpp)', ns)",benign
Rcpp,R/Rcpp.package.skeleton.R,129,fs_write,"writeLines('importFrom(Rcpp, evalCpp)', ns)",benign
Rcpp,R/Rcpp.package.skeleton.R,133,fs_write,"writeLines(""exportPattern(\""^[[:alpha:]]+\"")"", ns)",benign
Rcpp,R/Rcpp.package.skeleton.R,153,fs_write,"file.copy(file, src)",note
Rcpp,R/Rcpp.package.skeleton.R,160,fs_write,"file.copy(file.path( skeleton, ""rcpp_hello_world_attributes.cpp""),",note
Rcpp,R/Rcpp.package.skeleton.R,166,fs_write,"writeLines(header , file.path(src, ""rcpp_hello_world.h""))",note
Rcpp,R/Rcpp.package.skeleton.R,169,fs_write,"file.copy(file.path(skeleton, ""rcpp_hello_world.cpp""), src)",note
Rcpp,R/Rcpp.package.skeleton.R,174,fs_write,"writeLines( rcode , file.path( root, ""R"", ""rcpp_hello_world.R""))",note
Rcpp,R/Rcpp.package.skeleton.R,180,fs_write,"file.copy(system.file(""skeleton"", ""rcpp_hello_world.Rd"", package = ""Rcpp""), hello.Rd)",note
Rcpp,R/Rcpp.package.skeleton.R,185,fs_write,"file.copy(system.file(""skeleton"", ""rcpp_module.cpp"", package=""Rcpp""),",note
Rcpp,R/Rcpp.package.skeleton.R,187,fs_write,"file.copy(system.file(""skeleton"", ""Num.cpp"", package=""Rcpp""),",note
Rcpp,R/Rcpp.package.skeleton.R,189,fs_write,"file.copy(system.file(""skeleton"", ""stdVector.cpp"", package=""Rcpp""),",note
Rcpp,R/Rcpp.package.skeleton.R,191,fs_write,"file.copy(system.file(""skeleton"", ""zzz.R"", package =""Rcpp""),",note
Rcpp,R/Rcpp.package.skeleton.R,193,fs_write,"file.copy(system.file(""skeleton"", ""Rcpp_modules_examples.Rd"", package =""Rcpp""),",note
Rcpp,R/Rcpp.package.skeleton.R,215,fs_write,"writeLines(lines, package.doc)",benign
Rcpp,R/Rcpp.package.skeleton.R,225,fs_write,"writeLines(lines, NAMESPACE)",benign
Rcpp,R/Rcpp.package.skeleton.R,255,fs_write,"writeLines(lines, helptgt)",benign
Rcpp,R/RcppLdpath.R,56,native_entry,"canUseCXX0X <- function() { TRUE }  # .Call( ""canUseCXX0X"", PACKAGE = ""Rcpp"" )",benign
Rcpp,R/RcppLdpath.R,83,native_entry,RcppCapabilities <- capabilities <- function() .Call( rcpp_capabilities ),benign
Rcpp,R/RcppLdpath.R,92,source_call,flag <- capture.output( source( script ) ),note
Rcpp,R/asis.R,38,fs_write,"file.copy(outputS, output, overwrite = TRUE)",note
Rcpp,R/exceptions.R,19,native_entry,"invisible(.Call(rcpp_error_recorder, e))		# #nocov",benign
Rcpp,R/exposeClass.R,45,fs_write,"writeLines(sprintf(""    %s %s_get(%s *obj) { return obj->%s; }\n"",",benign
Rcpp,R/exposeClass.R,49,fs_write,"writeLines(sprintf(""    void %s_set(%s *obj, %s value) { obj->%s = value; }\n"",",benign
Rcpp,R/exposeClass.R,68,fs_write,"writeLines(sprintf(""    %s %s(%s *obj%s){ return obj->%s(%s); }\n"",",benign
Rcpp,R/exposeClass.R,122,fs_write,"writeLines(.stdHeader, con)",note
Rcpp,R/exposeClass.R,124,fs_write,"writeLines(header, con)",note
Rcpp,R/exposeClass.R,125,fs_write,"writeLines(c("""", sprintf(""RCPP_MODULE(%s) {\n"",module), """"), mcon)",benign
Rcpp,R/exposeClass.R,126,fs_write,"writeLines(sprintf(""    class_<%s>(\""%s\"")\n"", CppClass, class), mcon)",benign
Rcpp,R/exposeClass.R,135,fs_write,"writeLines(paste0(""    .constructor"",cons,""()""),mcon)",benign
