"package","license_declared","spdx_normalized","copyleft","license_file_present"
"base64enc","GPL-2 | GPL-3","GPL-2.0-only OR GPL-3.0-only","yes","no"
"bigD","MIT + file LICENSE","MIT","no","yes"
"bitops","GPL (>= 2)","GPL-2.0-or-later","yes","no"
"bslib","MIT + file LICENSE","MIT","no","yes"
"cachem","MIT + file LICENSE","MIT","no","yes"
"cli","MIT + file LICENSE","MIT","no","yes"
"commonmark","BSD_2_clause + file LICENSE","BSD-2-Clause","no","yes"
"cpp11","MIT + file LICENSE","MIT","no","yes"
"crayon","MIT + file LICENSE","MIT","no","yes"
"curl","MIT + file LICENSE","MIT","no","yes"
"data.table","MPL-2.0 | file LICENSE","MPL-2.0","weak","yes"
"digest","GPL (>= 2)","GPL-2.0-or-later","yes","no"
"dplyr","MIT + file LICENSE","MIT","no","yes"
"evaluate","MIT + file LICENSE","MIT","no","yes"
"farver","MIT + file LICENSE","MIT","no","yes"
"fastmap","MIT + file LICENSE","MIT","no","yes"
"fastrmodels","MIT + file LICENSE","MIT","no","yes"
"fontawesome","MIT + file LICENSE","MIT","no","yes"
"fs","MIT + file LICENSE","MIT","no","yes"
"furrr","MIT + file LICENSE","MIT","no","yes"
"future","Apache License (>= 2)","Apache-2.0","no","no"
"generics","MIT + file LICENSE","MIT","no","yes"
"ggpath","MIT + file LICENSE","MIT","no","yes"
"ggplot2","MIT + file LICENSE","MIT","no","yes"
"globals","LGPL (>= 2.1)","LGPL-2.1-or-later","weak","no"
"glue","MIT + file LICENSE","MIT","no","yes"
"gsubfn","GPL (>= 2)","GPL-2.0-or-later","yes","no"
"gt","MIT + file LICENSE","MIT","no","yes"
"gtable","MIT + file LICENSE","MIT","no","yes"
"highr","GPL","GPL-2.0-only OR GPL-3.0-only (ambiguous: no version given)","yes","no"
"hms","MIT + file LICENSE","MIT","no","yes"
"htmltools","GPL (>= 2)","GPL-2.0-or-later","yes","no"
"htmlwidgets","MIT + file LICENSE","MIT","no","yes"
"isoband","MIT + file LICENSE","MIT","no","yes"
"janitor","MIT + file LICENSE","MIT","no","yes"
"jquerylib","MIT + file LICENSE","MIT","no","yes"
"jsonlite","MIT + file LICENSE","MIT","no","yes"
"juicyjuice","MIT + file LICENSE","MIT","no","yes"
"knitr","GPL","GPL-2.0-only OR GPL-3.0-only (ambiguous: no version given)","yes","no"
"labeling","MIT + file LICENSE | Unlimited","MIT OR Unlimited","no","yes"
"lifecycle","MIT + file LICENSE","MIT","no","yes"
"listenv","Apache License (>= 2)","Apache-2.0","no","no"
"litedown","MIT + file LICENSE","MIT","no","yes"
"lubridate","MIT + file LICENSE","MIT","no","yes"
"magick","MIT + file LICENSE","MIT","no","yes"
"magrittr","MIT + file LICENSE","MIT","no","yes"
"markdown","MIT + file LICENSE","MIT","no","yes"
"memoise","MIT + file LICENSE","MIT","no","yes"
"mime","GPL","GPL-2.0-only OR GPL-3.0-only (ambiguous: no version given)","yes","no"
"nfl4th","MIT + file LICENSE","MIT","no","yes"
"nflfastR","MIT + file LICENSE","MIT","no","yes"
"nflplotR","MIT + file LICENSE","MIT","no","yes"
"nflreadr","MIT + file LICENSE","MIT","no","yes"
"nflseedR","MIT + file LICENSE","MIT","no","yes"
"nflverse","MIT + file LICENSE","MIT","no","yes"
"parallelly","LGPL (>= 2.1)","LGPL-2.1-or-later","weak","no"
"pillar","MIT + file LICENSE","MIT","no","yes"
"pkgconfig","MIT + file LICENSE","MIT","no","yes"
"progressr","Apache License (>= 2)","Apache-2.0","no","no"
"proto","GPL-2","GPL-2.0-only","yes","no"
"purrr","MIT + file LICENSE","MIT","no","yes"
"R6","MIT + file LICENSE","MIT","no","yes"
"rappdirs","MIT + file LICENSE","MIT","no","yes"
"RColorBrewer","Apache License 2.0","Apache-2.0","no","no"
"Rcpp","GPL (>= 2)","GPL-2.0-or-later","yes","no"
"reactable","MIT + file LICENSE","MIT","no","yes"
"reactR","MIT + file LICENSE","MIT","no","yes"
"rlang","MIT + file LICENSE","MIT","no","yes"
"rmarkdown","GPL-3","GPL-3.0-only","yes","no"
"rstudioapi","MIT + file LICENSE","MIT","no","yes"
"S7","MIT + file LICENSE","MIT","no","yes"
"sass","MIT + file LICENSE","MIT","no","yes"
"scales","MIT + file LICENSE","MIT","no","yes"
"snakecase","GPL-3","GPL-3.0-only","yes","no"
"stringi","file LICENSE","BSD-3-Clause primary; bundles GPL-2.0-or-later + ICU (Unicode-License-v3, permissive) + public-domain data -- see LICENSE file","yes","yes"
"stringr","MIT + file LICENSE","MIT","no","yes"
"tibble","MIT + file LICENSE","MIT","no","yes"
"tidyr","MIT + file LICENSE","MIT","no","yes"
"tidyselect","MIT + file LICENSE","MIT","no","yes"
"timechange","GPL (>= 3)","GPL-3.0-or-later","yes","no"
"tinytex","MIT + file LICENSE","MIT","no","yes"
"utf8","Apache License (== 2.0) | file LICENSE","Apache-2.0","no","yes"
"V8","MIT + file LICENSE","MIT","no","yes"
"vctrs","MIT + file LICENSE","MIT (package); MPL-2.0 additionally applies to src/order-*.c and src/order-*.h per LICENSE.note (code adapted from data.table)","weak","yes"
"viridisLite","MIT + file LICENSE","MIT","no","yes"
"withr","MIT + file LICENSE","MIT","no","yes"
"xfun","MIT + file LICENSE","MIT","no","yes"
"xgboost","Apache License (== 2.0) | file LICENSE","Apache-2.0","no","yes"
"xml2","MIT + file LICENSE","MIT","no","yes"
"yaml","BSD_3_clause + file LICENSE","BSD-3-Clause","no","yes"
