"package","symbol","kind","signature","title"
"nfl4th","add_2pt_probs","function","function (df) NULL","Get 2pt decision probabilities"
"nfl4th","add_4th_probs","function","function (df) NULL","Get 4th down decision probabilities"
"nfl4th","get_4th_plays","function","function (gid) NULL","Get 4th down plays from a game"
"nfl4th","load_4th_pbp","function","function (seasons, fast = FALSE) NULL","Load calculated 4th down probabilities from list(""nflfastR"") data"
"nfl4th","make_2pt_table_data","function","function (probs) NULL","Get 2pt decision probabilities"
"nfl4th","make_table_data","function","function (probs) NULL","Get 4th down decision probabilities"
"nfl4th","nfl4th_clear_cache","function","function (type = c(""games"", ""fd_model"", ""wp_model"", ""all"")) NULL","Reset nfl4th Package Cache"
"nflfastR","add_qb_epa","function","function (pbp, ...) NULL","Compute QB epa"
"nflfastR","add_xpass","function","function (pbp, ...) NULL","Add expected pass columns"
"nflfastR","add_xyac","function","function (pbp, ...) NULL","Add expected yards after completion (xyac) variables"
"nflfastR","build_nflfastR_pbp","function","function (game_ids, dir = getOption(""nflfastR.raw_directory"", default = NULL), ..., decode = TRUE, rules = TRUE) NULL","Build a Complete nflfastR Data Set"
"nflfastR","calculate_expected_points","function","function (pbp_data) NULL","Compute expected points"
"nflfastR","calculate_player_stats","function","function (pbp, weekly = FALSE) NULL","Get Official Game Stats"
"nflfastR","calculate_player_stats_def","function","function (pbp, weekly = FALSE) NULL","Get Official Game Stats on Defense"
"nflfastR","calculate_player_stats_kicking","function","function (pbp, weekly = FALSE) NULL","Summarize Kicking Stats"
"nflfastR","calculate_series_conversion_rates","function","function (pbp, weekly = FALSE) NULL","Compute Series Conversion Information from Play by Play"
"nflfastR","calculate_standings","function","function (nflverse_object, tiebreaker_depth = 3, playoff_seeds = NULL) NULL","Compute Division Standings and Conference Seeds from Play by Play"
"nflfastR","calculate_stats","function","function (seasons = nflreadr::most_recent_season(), summary_level = c(""season"", ""week""), stat_type = c(""player"", ""team""), season_type = c(""REG"", ""POST"", ""REG+POST""), pbp = NULL) NULL","Calculate NFL Stats"
"nflfastR","calculate_win_probability","function","function (pbp_data) NULL","Compute win probability"
"nflfastR","clean_pbp","function","function (pbp, ...) NULL","Clean Play by Play Data"
"nflfastR","decode_player_ids","function","function (pbp, ..., fast = TRUE) NULL","Decode the player IDs in nflfastR play-by-play data"
"nflfastR","fast_scraper","function","function (game_ids, dir = getOption(""nflfastR.raw_directory"", default = NULL), ..., in_builder = FALSE) NULL","Get NFL Play by Play Data"
"nflfastR","fast_scraper_roster","function","function (...) NULL","Load Team Rosters for Multiple Seasons"
"nflfastR","fast_scraper_schedules","function","function (...) NULL","Load NFL Season Schedules"
"nflfastR","load_pbp","reexport","function (seasons = most_recent_season(), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Objects exported from other packages"
"nflfastR","load_player_stats","reexport","function (seasons = most_recent_season(), ..., summary_level = c(""week"", ""reg"", ""post"", ""reg+post""), file_type = getOption(""nflreadr.prefer"", default = ""rds""), stat_type = lifecycle::deprecated()) NULL","Objects exported from other packages"
"nflfastR","load_rosters","reexport","function (seasons = most_recent_season(roster = TRUE), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Objects exported from other packages"
"nflfastR","load_schedules","reexport","function (seasons = TRUE) NULL","Objects exported from other packages"
"nflfastR","load_team_stats","reexport","function (seasons = most_recent_season(), ..., summary_level = c(""week"", ""reg"", ""post"", ""reg+post""), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Objects exported from other packages"
"nflfastR","missing_raw_pbp","function","function (dir = getOption(""nflfastR.raw_directory"", default = NULL), seasons = TRUE, verbose = TRUE) NULL","Compute Missing Raw PBP Data on Local Filesystem"
"nflfastR","nflverse_sitrep","reexport","function (pkg = c(""nflreadr"", ""nflfastR"", ""nflseedR"", ""nfl4th"", ""nflplotR"", ""nflverse""), recursive = TRUE, redact_path = TRUE) NULL","Objects exported from other packages"
"nflfastR","report","function","function (...) NULL","Get a Situation Report on System, nflverse Package Versions and Dependencies"
"nflfastR","save_raw_pbp","function","function (game_ids, dir = getOption(""nflfastR.raw_directory"", default = NULL)) NULL","Download Raw PBP Data to Local Filesystem"
"nflfastR","update_db","function","function (dbdir = getOption(""nflfastR.dbdirectory"", default = "".""), dbname = ""pbp_db"", tblname = ""nflfastR_pbp"", force_rebuild = FALSE, db_connection = NULL) NULL","Update or Create a nflfastR Play-by-Play Database"
"nflplotR",".nflplotR_clear_cache","function","function () NULL","Clear nflplotR Cache"
"nflplotR","GeomNFLheads","data","","nflplotR: NFL Logo Plots in 'ggplot2' and 'gt'"
"nflplotR","GeomNFLlogo","data","","nflplotR: NFL Logo Plots in 'ggplot2' and 'gt'"
"nflplotR","GeomNFLwordmark","data","","nflplotR: NFL Logo Plots in 'ggplot2' and 'gt'"
"nflplotR","element_nfl_headshot","function","function (alpha = 1L, colour = NA_character_, hjust = 0.5, vjust = 0.5, color = NULL, angle = 0, size = grid::unit(0.5, ""cm"")) NULL","Theme Elements for Image Grobs"
"nflplotR","element_nfl_logo","function","function (alpha = 1L, colour = NA_character_, hjust = 0.5, vjust = 0.5, color = NULL, angle = 0, size = grid::unit(0.5, ""cm"")) NULL","Theme Elements for Image Grobs"
"nflplotR","element_nfl_wordmark","function","function (alpha = 1L, colour = NA_character_, hjust = 0.5, vjust = 0.5, color = NULL, angle = 0, size = grid::unit(0.5, ""cm"")) NULL","Theme Elements for Image Grobs"
"nflplotR","element_path","reexport","function (alpha = 1L, colour = NA_character_, hjust = 0.5, vjust = 0.5, color = NULL, angle = 0, size = grid::unit(0.5, ""cm"")) NULL","Objects exported from other packages"
"nflplotR","geom_from_path","function","function (...) NULL","ggplot2 Layer for Visualizing Images from URLs or Local Paths"
"nflplotR","geom_mean_lines","function","function (...) NULL","ggplot2 Layer for Horizontal and Vertical Reference Lines"
"nflplotR","geom_median_lines","function","function (...) NULL","ggplot2 Layer for Horizontal and Vertical Reference Lines"
"nflplotR","geom_nfl_headshots","function","function (mapping = NULL, data = NULL, stat = ""identity"", position = ""identity"", ..., na.rm = FALSE, show.legend = FALSE, inherit.aes = TRUE) NULL","ggplot2 Layer for Visualizing NFL Player Headshots"
"nflplotR","geom_nfl_logos","function","function (mapping = NULL, data = NULL, stat = ""identity"", position = ""identity"", ..., na.rm = FALSE, show.legend = FALSE, inherit.aes = TRUE) NULL","ggplot2 Layer for Visualizing NFL Team Logos"
"nflplotR","geom_nfl_wordmarks","function","function (mapping = NULL, data = NULL, stat = ""identity"", position = ""identity"", ..., na.rm = FALSE, show.legend = FALSE, inherit.aes = TRUE) NULL","ggplot2 Layer for Visualizing NFL Team Wordmarks"
"nflplotR","ggpreview","function","function (plot = ggplot2::last_plot(), width = NA, height = NA, asp = NULL, dpi = 300, device = ""png"", units = c(""in"", ""cm"", ""mm"", ""px""), scale = 1, limitsize = TRUE, bg = NULL, ...) NULL","Preview ggplot in Specified Dimensions"
"nflplotR","gt_nfl_cols_label","function","function (gt_object, columns = gt::everything(), ..., height = 30, type = c(""logo"", ""wordmark"", ""headshot"")) NULL","Render Logos, Wordmarks, and Headshots in 'gt' Table Column Labels"
"nflplotR","gt_nfl_headshots","function","function (gt_object, columns, height = 30, locations = NULL) NULL","Render Player Headshots in 'gt' Tables"
"nflplotR","gt_nfl_logos","function","function (gt_object, columns, height = 30, locations = NULL) NULL","Render Logos and Wordmarks in 'gt' Tables"
"nflplotR","gt_nfl_wordmarks","function","function (gt_object, columns, height = 30, locations = NULL) NULL","Render Logos and Wordmarks in 'gt' Tables"
"nflplotR","gt_pct_bar","function","function (gt_tbl, col_value, col_pct, ..., rows = gt::everything(), hide_col_pct = FALSE, value_position = c(""inline"", ""above""), value_scale = 1L, value_padding_left = ""0px"", value_padding_right = ""0px"", value_colors = c(""black"", ""white""), value_style.props = list(), fill_palette = ""hulk"", fill_palette.reverse = FALSE, fill_na.color = ""#808080"", fill_pct.domain = 0:100, fill_border.color = ""transparent"", fill_border.radius = ""10px"", fill_height = ""100%"", fill_style.props = list(), background_border.color = ""thin solid black"", background_border.radius = ""12px"", background_fill.color = ""#b1b1b1"", background_fill.width = ""100%"", background_fill.height = ""100%"", background_style.props = list()) NULL","Format Columns of 'gt' Tables as Percentage Bars"
"nflplotR","gt_render_image","function","function (gt_tbl, ...) NULL","Render 'gt' Table to Temporary png File"
"nflplotR","nfl_team_factor","function","function (teams, ...) NULL","Create Ordered NFL Team Name Factor"
"nflplotR","nfl_team_tiers","function","function (data, title = ""NFL Team Tiers, 2021 as of Week 4"", subtitle = ""created with the #nflplotR Tiermaker"", caption = NULL, tier_desc = c(`1` = ""Super Bowl"", `2` = ""Very Good"", `3` = ""Medium"", `4` = ""Bad"", `5` = ""What are they doing?"", `6` = """", `7` = """"), presort = FALSE, alpha = 0.8, width = 0.075, no_line_below_tier = NULL, devel = FALSE) NULL","Create NFL Team Tiers"
"nflplotR","nflverse_sitrep","reexport","function (pkg = c(""nflreadr"", ""nflfastR"", ""nflseedR"", ""nfl4th"", ""nflplotR"", ""nflverse""), recursive = TRUE, redact_path = TRUE) NULL","Get a Situation Report on System, nflverse Package Versions and Dependencies"
"nflplotR","scale_color_nfl","function","function (type = c(""primary"", ""secondary""), values = NULL, ..., aesthetics = ""colour"", breaks = ggplot2::waiver(), na.value = ""grey50"", guide = NULL, alpha = NA) NULL","Scales for NFL Team Colors"
"nflplotR","scale_colour_nfl","function","function (type = c(""primary"", ""secondary""), values = NULL, ..., aesthetics = ""colour"", breaks = ggplot2::waiver(), na.value = ""grey50"", guide = NULL, alpha = NA) NULL","Scales for NFL Team Colors"
"nflplotR","scale_fill_nfl","function","function (type = c(""primary"", ""secondary""), values = NULL, ..., aesthetics = ""fill"", breaks = ggplot2::waiver(), na.value = ""grey50"", guide = NULL, alpha = NA) NULL","Scales for NFL Team Colors"
"nflplotR","valid_team_names","function","function (exclude_duplicates = TRUE) NULL","Output Valid NFL Team Abbreviations"
"nflreadr",".__C__nflverse_data","data","",""
"nflreadr",".__C__nflverse_sitrep","data","",""
"nflreadr",".clear_cache","function","function () NULL","Clear function cache"
"nflreadr",".for_cran","function","function () NULL","CRAN setup code"
"nflreadr",".sitrep","function","function (pkg, recursive = TRUE, redact_path = TRUE, dev_repos = c(""https://nflverse.r-universe.dev"", ""https://ffverse.r-universe.dev"")) NULL","Get a Situation Report on System, nflverse/ffverse Package Versions and Dependencies"
"nflreadr","as.nflverse_data","function","function (df, nflverse_type = NULL, ...) NULL","nflverse data class"
"nflreadr","clean_homeaway","function","function (dataframe, invert = NULL) NULL","Clean Home/Away in dataframes into Team/Opponent dataframes"
"nflreadr","clean_player_names","function","function (player_name, lowercase = FALSE, convert_lastfirst = TRUE, use_name_database = TRUE, convert_to_ascii = rlang::is_installed(""stringi"")) NULL","Create Player Merge Names"
"nflreadr","clean_team_abbrs","function","function (abbr, current_location = TRUE, keep_non_matches = TRUE) NULL","Standardize NFL Team Abbreviations"
"nflreadr","clear_cache","function","function () NULL","Clear function cache"
"nflreadr","csv_from_url","function","function (...) NULL","Load .csv / .csv.gz file from a remote connection"
"nflreadr","ffverse_sitrep","function","function (pkg = c(""ffscrapr"", ""ffsimulator"", ""ffpros"", ""ffopportunity""), recursive = TRUE, redact_path = TRUE) NULL","Get a Situation Report on System, nflverse/ffverse Package Versions and Dependencies"
"nflreadr","get_current_season","function","function (roster = FALSE) NULL","Get Latest Season"
"nflreadr","get_current_week","function","function (use_date = FALSE, ...) NULL","Get Current Week"
"nflreadr","get_latest_season","function","function (roster = FALSE) NULL","Get Latest Season"
"nflreadr","join_coalesce","function","function (x, y, by = NULL, type = c(""left"", ""inner"", ""full""), ..., by.x = NULL, by.y = NULL, sort = TRUE, incomparables = c(NA, NaN)) NULL","Coalescing join"
"nflreadr","load_combine","function","function (seasons = TRUE, file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Combine Data from PFR"
"nflreadr","load_contracts","function","function (file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Historical Player Contracts from OverTheCap.com"
"nflreadr","load_depth_charts","function","function (seasons = most_recent_season(roster = TRUE), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Weekly Depth Charts"
"nflreadr","load_draft_picks","function","function (seasons = TRUE, file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Draft Picks from PFR"
