paramName	currentValue	baselineValue	previousValue	sampleSize	ciLower	ciUpper	updateSource	lastUpdated
bias_correction_f5_ml_away	-0.03814815	\N	-0.03814815	243	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_f5_ml_home	-0.12065844	\N	-0.12065844	243	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_f5_over	-0.03239437	\N	-0.03239437	284	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_f5_rl_away	0.01734982	\N	0.01734982	283	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_f5_rl_home	-0.01720848	\N	-0.01720848	283	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_f5_under	0.03264085	\N	0.03264085	284	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_fg_ml_away	-0.02560570	\N	-0.02560570	421	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_fg_ml_home	0.02565321	\N	0.02565321	421	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_fg_over	-0.02044444	\N	-0.02044444	405	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_fg_under	0.02051852	\N	0.02051852	405	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_nrfi	-0.03510563	\N	-0.03510563	284	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
bias_correction_yrfi	0.03510563	\N	0.03510563	284	\N	\N	AUTO_RECAL_v2026-recal-1.0	2026-05-23T17:02:32.152Z
brier_f5_ml_away	0.24772963	\N	\N	243	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_f5_ml_home	0.26106420	\N	\N	243	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_f5_over	0.24762596	\N	\N	285	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_f5_rl_away	0.25177430	\N	\N	284	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_f5_rl_home	0.25226021	\N	\N	284	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_f5_under	0.24755614	\N	\N	285	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_fg_ml_away	0.24750958	\N	\N	428	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_fg_ml_home	0.24750678	\N	\N	428	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:20.000Z
brier_fg_over	0.25765316	\N	\N	412	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_fg_under	0.25768204	\N	\N	412	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_nrfi	0.24799544	\N	\N	285	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
brier_yrfi	0.24799544	\N	\N	285	\N	\N	backtest_2026_recalibration_v2	2026-05-23T17:00:21.000Z
