gamesId,anGameId,gameDate,matchup,seq,completed,schedStatus,fg_proj,fg_ml_book,fg_total_book,fg_rl_book,fg_actual,fg_graded_games,f5_proj,f5_total_proj,f5_book,f5_actual,f5_graded_games,nrfi_proj,nrfi_book,nrfi_actual,nrfi_graded_games,teamhr_proj,k_props,k_proj,k_line,k_actual,k_graded,hr_props,hr_proj,hr_actual,hr_graded,bt_rows,bt_settled,bt_no_action,bt_quarantined,bt_with_clv,bt_with_closing,outcomeIngested
2250006,285604,2026-03-25,NYY@SF,1,1,complete,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,2,2,2,2,0,18,18,18,18,14,0,14,0,0,0,0
2252284,285618,2026-03-26,ARI@LAD,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0
2250011,285615,2026-03-26,BOS@CIN,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,18,18,18,18,15,0,1,14,0,0,0
2250016,285619,2026-03-26,CLE@SEA,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0
2250008,285610,2026-03-26,CWS@MIL,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250013,285614,2026-03-26,DET@SD,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,18,18,18,18,15,0,1,14,0,0,0
2250012,285613,2026-03-26,LAA@HOU,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,18,18,18,18,15,0,1,14,0,0,0
2250010,285612,2026-03-26,MIN@BAL,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,18,18,18,18,15,0,1,14,0,0,0
2250007,285609,2026-03-26,PIT@NYM,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250014,285617,2026-03-26,TB@STL,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,18,18,18,18,15,0,1,14,0,0,0
