anGameId,gameDate,matchup,seq,schedStatus,schedAway,schedHome,gamesId,gamesStatus,mlbGamePk,linkStatus,statusMismatch,published,hasClosingML,hasClosingTotal
285604,2026-03-25,NYY@SF,1,complete,7,0,2250006,final,823244,LINKED,0,1,0,0
285618,2026-03-26,ARI@LAD,1,complete,2,8,2252284,final,823974,LINKED,0,1,0,0
285615,2026-03-26,BOS@CIN,1,complete,3,0,2250011,final,824541,LINKED,0,1,0,0
285619,2026-03-26,CLE@SEA,1,complete,6,4,2250016,final,823163,LINKED,0,1,0,0
285610,2026-03-26,CWS@MIL,1,complete,2,14,2250008,final,823812,LINKED,0,1,0,0
285614,2026-03-26,DET@SD,1,complete,8,2,2250013,final,823325,LINKED,0,1,0,0
285613,2026-03-26,LAA@HOU,1,complete,3,0,2250012,final,824218,LINKED,0,1,0,0
285612,2026-03-26,MIN@BAL,1,complete,1,2,2250010,final,824865,LINKED,0,1,0,0
285609,2026-03-26,PIT@NYM,1,complete,7,11,2250007,final,823649,LINKED,0,1,0,0
285617,2026-03-26,TB@STL,1,complete,7,9,2250014,final,823081,LINKED,0,1,0,0
285616,2026-03-26,TEX@PHI,1,complete,3,5,2250015,final,823486,LINKED,0,1,0,0
285611,2026-03-26,WSH@CHC,1,complete,10,4,2250009,final,824704,LINKED,0,1,0,0
285629,2026-03-27,ARI@LAD,1,complete,4,5,2252293,final,823971,LINKED,0,1,0,0
285623,2026-03-27,ATH@TOR,1,complete,2,3,2250018,final,822839,LINKED,0,1,0,0
285628,2026-03-27,CLE@SEA,1,complete,1,5,2250023,final,823162,LINKED,0,1,0,0
285624,2026-03-27,COL@MIA,1,complete,1,2,2250019,final,823893,LINKED,0,1,0,0
285627,2026-03-27,DET@SD,1,complete,5,2,2250022,final,823324,LINKED,0,1,0,0
285625,2026-03-27,KC@ATL,1,complete,0,6,2250020,final,824946,LINKED,0,1,0,0
285626,2026-03-27,LAA@HOU,1,complete,6,2,2250021,final,824216,LINKED,0,1,0,0
285622,2026-03-27,NYY@SF,1,complete,3,0,2250017,final,823243,LINKED,0,1,0,0
285643,2026-03-28,ARI@LAD,1,complete,2,3,2252307,final,823973,LINKED,0,1,0,0
285632,2026-03-28,ATH@TOR,1,complete,7,8,2250026,final,822838,LINKED,0,1,0,0
285637,2026-03-28,BOS@CIN,1,complete,5,6,2250029,final,824540,LINKED,0,1,0,0
285644,2026-03-28,CLE@SEA,1,complete,6,5,2250037,final,823161,LINKED,0,1,0,0
285635,2026-03-28,COL@MIA,1,complete,3,4,2250031,final,823892,LINKED,0,1,0,0
285638,2026-03-28,CWS@MIL,1,complete,1,6,2250033,final,823811,LINKED,0,1,0,0
285642,2026-03-28,DET@SD,1,complete,0,3,2250036,final,823323,LINKED,0,1,0,0
285641,2026-03-28,KC@ATL,1,complete,2,6,2250034,final,824945,LINKED,0,1,0,0
285639,2026-03-28,LAA@HOU,1,complete,9,11,2250032,final,824213,LINKED,0,1,0,0
285634,2026-03-28,MIN@BAL,1,complete,4,1,2250027,final,824862,LINKED,0,1,0,0
285640,2026-03-28,NYY@SF,1,complete,3,1,2250035,final,823241,LINKED,0,1,0,0
285636,2026-03-28,PIT@NYM,1,complete,2,4,2250030,final,823651,LINKED,0,1,0,0
285630,2026-03-28,TB@STL,1,complete,5,6,2250024,final,823082,LINKED,0,1,0,0
285633,2026-03-28,TEX@PHI,1,complete,5,4,2250028,final,823488,LINKED,0,1,0,0
285631,2026-03-28,WSH@CHC,1,complete,2,10,2250025,final,824701,LINKED,0,1,0,0
285652,2026-03-29,ATH@TOR,1,complete,2,5,2250041,final,822837,LINKED,0,1,0,0
285654,2026-03-29,BOS@CIN,1,complete,2,3,2250042,final,824538,LINKED,0,1,0,0
285660,2026-03-29,CLE@SEA,1,complete,0,8,2250049,final,823160,LINKED,0,1,0,0
285653,2026-03-29,COL@MIA,1,complete,3,4,2250044,final,823891,LINKED,0,1,0,0
285657,2026-03-29,CWS@MIL,1,complete,7,9,2250046,final,823810,LINKED,0,1,0,0
285651,2026-03-29,KC@ATL,1,complete,4,1,2250040,final,824944,LINKED,0,1,0,0
285656,2026-03-29,LAA@HOU,1,complete,7,9,2250045,final,824215,LINKED,0,1,0,0
285649,2026-03-29,MIN@BAL,1,complete,6,8,2250038,final,824864,LINKED,0,1,0,0
285655,2026-03-29,PIT@NYM,1,complete,4,3,2250043,final,823647,LINKED,0,1,0,0
285658,2026-03-29,TB@STL,1,complete,11,7,2250047,final,823079,LINKED,0,1,0,0
285650,2026-03-29,TEX@PHI,1,complete,8,3,2250039,final,823487,LINKED,0,1,0,0
285659,2026-03-29,WSH@CHC,1,complete,6,3,2250048,final,824700,LINKED,0,1,0,0
285677,2026-03-30,ATH@ATL,1,complete,0,4,2250056,final,824943,LINKED,0,1,0,0
285681,2026-03-30,BOS@HOU,1,complete,1,8,2250060,final,824214,LINKED,0,1,0,0
285685,2026-03-30,CLE@LAD,1,complete,4,2,2250063,final,823972,LINKED,0,1,0,0
285676,2026-03-30,COL@TOR,1,complete,14,5,2250055,final,822834,LINKED,0,1,0,0
285675,2026-03-30,CWS@MIA,1,complete,9,4,2250054,final,823890,LINKED,0,1,0,0
