market	windowDays	accuracyBefore	accuracyAfter	maeBefore	maeAfter	triggerReason	sampleSize	runAt
F5_SHARE	0	0.5618	0.5947	0.0329	0.0000	drift_detected	50	2026-07-22T14:30:37.995Z
F5_SHARE	0	0.5618	0.5947	0.0329	0.0000	drift_detected	50	2026-07-22T14:30:37.459Z
F5_SHARE	0	0.5618	0.5312	0.0306	0.0000	drift_detected	50	2026-07-19T14:30:42.255Z
F5_SHARE	0	0.5618	0.5312	0.0306	0.0000	drift_detected	50	2026-07-19T14:30:41.792Z
F5_SHARE	0	0.5618	0.5132	0.0486	0.0000	drift_detected	50	2026-07-18T14:30:56.772Z
F5_SHARE	0	0.5618	0.5132	0.0486	0.0000	drift_detected	50	2026-07-18T14:30:56.294Z
F5_SHARE	0	0.5618	0.4988	0.0630	0.0000	drift_detected	50	2026-07-17T14:30:54.314Z
F5_SHARE	0	0.5618	0.4988	0.0630	0.0000	drift_detected	50	2026-07-17T14:30:53.725Z
F5_SHARE	0	0.5618	0.5081	0.0537	0.0000	drift_detected	50	2026-07-16T14:30:00.718Z
F5_SHARE	0	0.5618	0.5081	0.0537	0.0000	drift_detected	50	2026-07-15T14:30:22.874Z
F5_SHARE	0	0.5618	0.5081	0.0537	0.0000	drift_detected	50	2026-07-14T14:30:40.448Z
F5_SHARE	0	0.5618	0.5081	0.0537	0.0000	drift_detected	50	2026-07-13T14:30:09.930Z
F5_SHARE	0	0.5618	0.5081	0.0537	0.0000	drift_detected	50	2026-07-13T14:30:09.411Z
F5_SHARE	0	0.5618	0.5199	0.0419	0.0000	drift_detected	50	2026-07-12T14:30:54.893Z
F5_SHARE	0	0.5618	0.5199	0.0419	0.0000	drift_detected	50	2026-07-12T14:30:54.434Z
F5_SHARE	0	0.5618	0.5974	0.0356	0.0000	drift_detected	50	2026-07-07T14:31:08.496Z
F5_SHARE	0	0.5618	0.5974	0.0356	0.0000	drift_detected	50	2026-07-07T14:31:06.227Z
F5_SHARE	0	0.5618	0.5974	0.0356	0.0000	drift_detected	50	2026-07-07T14:30:32.081Z
F5_SHARE	0	0.5618	0.5974	0.0356	0.0000	drift_detected	50	2026-07-07T14:30:31.158Z
F5_SHARE	0	0.5618	0.5992	0.0374	0.0000	drift_detected	50	2026-07-06T14:30:47.221Z
F5_SHARE	0	0.5618	0.5992	0.0374	0.0000	drift_detected	50	2026-07-06T14:30:44.966Z
F5_SHARE	0	0.5618	0.5992	0.0374	0.0000	drift_detected	50	2026-07-06T14:30:08.199Z
F5_SHARE	0	0.5618	0.5992	0.0374	0.0000	drift_detected	50	2026-07-06T14:30:07.497Z
F5_SHARE	0	0.5618	0.6079	0.0461	0.0000	drift_detected	50	2026-07-05T14:35:13.241Z
F5_SHARE	0	0.5618	0.6079	0.0461	0.0000	drift_detected	50	2026-07-05T14:33:51.527Z
F5_SHARE	0	0.5618	0.5376	0.0242	0.0000	drift_detected	50	2026-06-30T14:31:18.336Z
F5_SHARE	0	0.5618	0.5376	0.0242	0.0000	drift_detected	50	2026-06-30T14:30:30.668Z
F5_SHARE	0	0.5618	0.5376	0.0242	0.0000	drift_detected	50	2026-06-30T14:30:06.205Z
F5_SHARE	0	0.5618	0.5376	0.0242	0.0000	drift_detected	50	2026-06-30T14:30:05.488Z
F5_SHARE	0	0.5618	0.5280	0.0338	0.0000	drift_detected	50	2026-06-29T14:31:47.723Z
