table,column,rows,nulls,pct
odds_history,awaySpread,1440398,422693,29.35
odds_history,awaySpreadOdds,1440398,422693,29.35
odds_history,homeSpread,1440398,422690,29.35
odds_history,homeSpreadOdds,1440398,422690,29.35
odds_history,total,1440398,415757,28.86
odds_history,overOdds,1440398,415757,28.86
odds_history,underOdds,1440398,415757,28.86
odds_history,awayML,1440398,413711,28.72
odds_history,homeML,1440398,413711,28.72
odds_history,spreadAwayBetsPct,1440398,202472,14.06
odds_history,spreadAwayMoneyPct,1440398,202472,14.06
odds_history,totalOverBetsPct,1440398,240801,16.72
odds_history,totalOverMoneyPct,1440398,240801,16.72
odds_history,mlAwayBetsPct,1440398,199601,13.86
odds_history,mlAwayMoneyPct,1440398,199601,13.86
odds_history,lineSource,1440398,75892,5.27
mlb_umpire_modifiers,totalH,88,88,100
mlb_umpire_modifiers,totalR,88,88,100
mlb_teams,tertiaryColor,30,19,63.33
mlb_strikeout_props,pitcherHand,2883,2847,98.75
mlb_strikeout_props,retrosheetId,2883,2847,98.75
mlb_strikeout_props,kProj,2883,99,3.43
mlb_strikeout_props,kLine,2883,2847,98.75
mlb_strikeout_props,kPer9,2883,2847,98.75
mlb_strikeout_props,kMedian,2883,2847,98.75
mlb_strikeout_props,kP5,2883,2847,98.75
mlb_strikeout_props,kP95,2883,2847,98.75
mlb_strikeout_props,pOver,2883,99,3.43
mlb_strikeout_props,pUnder,2883,99,3.43
mlb_strikeout_props,modelOverOdds,2883,99,3.43
mlb_strikeout_props,modelUnderOdds,2883,99,3.43
mlb_strikeout_props,edgeOver,2883,99,3.43
mlb_strikeout_props,edgeUnder,2883,99,3.43
mlb_strikeout_props,verdict,2883,99,3.43
mlb_strikeout_props,bestEdge,2883,392,13.6
mlb_strikeout_props,bestSide,2883,392,13.6
mlb_strikeout_props,bestMlStr,2883,392,13.6
mlb_strikeout_props,signalBreakdown,2883,2853,98.96
mlb_strikeout_props,matchupRows,2883,2853,98.96
mlb_strikeout_props,distribution,2883,2853,98.96
mlb_strikeout_props,inningBreakdown,2883,2853,98.96
mlb_strikeout_props,modelRunAt,2883,99,3.43
mlb_strikeout_props,anNoVigOverPct,2883,9,0.31
mlb_strikeout_props,anPlayerId,2883,9,0.31
mlb_strikeout_props,actualKs,2883,716,24.84
mlb_strikeout_props,backtestResult,2883,716,24.84
mlb_strikeout_props,modelError,2883,722,25.04
mlb_strikeout_props,modelCorrect,2883,776,26.92
mlb_strikeout_props,backtestRunAt,2883,908,31.49
mlb_schedule_history,dkAwayRunLine,10442,428,4.1
mlb_schedule_history,dkAwayRunLineOdds,10442,428,4.1
mlb_schedule_history,dkHomeRunLine,10442,428,4.1
mlb_schedule_history,dkHomeRunLineOdds,10442,428,4.1
mlb_schedule_history,dkTotal,10442,422,4.04
mlb_schedule_history,dkOverOdds,10442,422,4.04
mlb_schedule_history,dkUnderOdds,10442,423,4.05
mlb_schedule_history,dkAwayML,10442,381,3.65
mlb_schedule_history,dkHomeML,10442,382,3.66
mlb_schedule_history,awayRunLineCovered,10442,602,5.77
mlb_schedule_history,homeRunLineCovered,10442,602,5.77
mlb_schedule_history,totalResult,10442,595,5.7
mlb_schedule_history,awayWon,10442,176,1.69
mlb_schedule_history,dkClosingAwayRunLine,10442,9558,91.53
mlb_schedule_history,dkClosingAwayRunLineOdds,10442,9558,91.53
mlb_schedule_history,dkClosingHomeRunLine,10442,9558,91.53
mlb_schedule_history,dkClosingHomeRunLineOdds,10442,9558,91.53
mlb_schedule_history,dkClosingTotal,10442,9558,91.53
mlb_schedule_history,dkClosingOverOdds,10442,9558,91.53
mlb_schedule_history,dkClosingUnderOdds,10442,9558,91.53
mlb_schedule_history,dkClosingAwayML,10442,9558,91.53
mlb_schedule_history,dkClosingHomeML,10442,9558,91.53
mlb_schedule_history,closingLineLockedAt,10442,9558,91.53
mlb_players,iso,1402,920,65.62
mlb_players,barrelPct,1402,894,63.77
mlb_players,hardHitPct,1402,894,63.77
mlb_players,xSlg,1402,891,63.55
mlb_players,statcastFetchedAt,1402,891,63.55
mlb_pitcher_stats,era,577,85,14.73
mlb_pitcher_stats,k9,577,85,14.73
mlb_pitcher_stats,bb9,577,85,14.73
mlb_pitcher_stats,hr9,577,85,14.73
mlb_pitcher_stats,whip,577,85,14.73
mlb_pitcher_stats,ip,577,85,14.73
mlb_pitcher_stats,gamesStarted,577,84,14.56
mlb_pitcher_stats,gamesPlayed,577,84,14.56
mlb_pitcher_stats,xera,577,577,100
mlb_pitcher_stats,fip,577,214,37.09
mlb_pitcher_stats,xfip,577,214,37.09
mlb_pitcher_stats,fipMinus,577,219,37.95
mlb_pitcher_stats,eraMinus,577,219,37.95
mlb_pitcher_stats,war,577,218,37.78
mlb_pitcher_stats,throwsHand,577,57,9.88
mlb_pitcher_stats,nrfiStarts,577,187,32.41
mlb_pitcher_stats,nrfiCount,577,187,32.41
mlb_pitcher_stats,nrfiRate,577,187,32.41
mlb_pitcher_stats,f5RunsAllowedMean,577,187,32.41
mlb_pitcher_stats,fgRunsAllowedMean,577,187,32.41
mlb_pitcher_stats,ipMean3yr,577,187,32.41
mlb_pitcher_stats,nrfiSampleSeasons,577,187,32.41
mlb_pitcher_stats,nrfiCalibVersion,577,187,32.41
mlb_pitcher_stats,nrfiSeededAt,577,187,32.41
mlb_pitcher_rolling5,ip5,506,203,40.12
mlb_pitcher_rolling5,era5,506,203,40.12
mlb_pitcher_rolling5,k9_5,506,203,40.12
