TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY
games	1	id	int	NO	\N	PRI
games	2	fileId	int	NO	\N	
games	3	gameDate	varchar(20)	NO	\N	MUL
games	4	startTimeEst	varchar(12)	NO	TBD	
games	5	awayTeam	varchar(128)	NO	\N	
games	6	awayBookSpread	decimal(6,1)	YES	\N	
games	7	awayModelSpread	decimal(6,1)	YES	\N	
games	8	homeTeam	varchar(128)	NO	\N	
games	9	homeBookSpread	decimal(6,1)	YES	\N	
games	10	homeModelSpread	decimal(6,1)	YES	\N	
games	11	bookTotal	decimal(6,1)	YES	\N	
games	12	modelTotal	decimal(6,1)	YES	\N	
games	13	spreadEdge	varchar(128)	YES	\N	
games	14	spreadDiff	decimal(5,1)	YES	\N	
games	15	totalEdge	varchar(128)	YES	\N	
games	16	totalDiff	decimal(5,1)	YES	\N	
games	17	sport	varchar(64)	NO	NCAAM	MUL
games	18	createdAt	timestamp	NO	CURRENT_TIMESTAMP	
games	19	gameType	enum('regular_season','conference_tournament')	NO	regular_season	
games	20	conference	varchar(128)	YES	\N	
games	21	publishedToFeed	tinyint(1)	NO	0	
games	22	sortOrder	int	NO	9999	
games	23	rotNums	varchar(32)	YES	\N	
games	24	ncaaContestId	varchar(20)	YES	\N	
games	25	spreadAwayBetsPct	tinyint	YES	\N	
games	26	spreadAwayMoneyPct	tinyint	YES	\N	
games	27	totalOverBetsPct	tinyint	YES	\N	
games	28	totalOverMoneyPct	tinyint	YES	\N	
games	29	mlAwayBetsPct	tinyint	YES	\N	
games	30	mlAwayMoneyPct	tinyint	YES	\N	
games	31	awayML	varchar(16)	YES	\N	
games	32	homeML	varchar(16)	YES	\N	
games	33	gameStatus	enum('upcoming','live','final','postponed','suspended')	NO	upcoming	
games	34	awayScore	int	YES	\N	
games	35	homeScore	int	YES	\N	
games	36	gameClock	varchar(32)	YES	\N	
games	37	modelAwayML	varchar(16)	YES	\N	
games	38	modelHomeML	varchar(16)	YES	\N	
games	39	modelAwayScore	decimal(6,2)	YES	\N	
games	40	modelHomeScore	decimal(6,2)	YES	\N	
games	41	modelOverRate	decimal(5,2)	YES	\N	
games	42	modelUnderRate	decimal(5,2)	YES	\N	
games	43	modelAwayWinPct	decimal(5,2)	YES	\N	
games	44	modelHomeWinPct	decimal(5,2)	YES	\N	
games	45	modelSpreadClamped	tinyint(1)	YES	0	
games	46	modelTotalClamped	tinyint(1)	YES	0	
games	47	modelCoverDirection	varchar(8)	YES	\N	
games	48	modelRunAt	bigint	YES	\N	
games	49	publishedModel	tinyint(1)	NO	0	
games	50	awaySpreadOdds	varchar(16)	YES	\N	
games	51	homeSpreadOdds	varchar(16)	YES	\N	
games	52	overOdds	varchar(16)	YES	\N	
games	53	underOdds	varchar(16)	YES	\N	
games	54	openAwaySpread	varchar(16)	YES	\N	
games	55	openAwaySpreadOdds	varchar(16)	YES	\N	
games	56	openHomeSpread	varchar(16)	YES	\N	
games	57	openHomeSpreadOdds	varchar(16)	YES	\N	
games	58	openTotal	varchar(16)	YES	\N	
games	59	openOverOdds	varchar(16)	YES	\N	
games	60	openUnderOdds	varchar(16)	YES	\N	
games	61	openAwayML	varchar(16)	YES	\N	
games	62	openHomeML	varchar(16)	YES	\N	
games	63	awayGoalie	varchar(128)	YES	\N	
games	64	homeGoalie	varchar(128)	YES	\N	
games	65	awayGoalieConfirmed	tinyint(1)	YES	0	
games	66	homeGoalieConfirmed	tinyint(1)	YES	0	
games	67	modelAwayPLCoverPct	decimal(5,2)	YES	\N	
games	68	modelHomePLCoverPct	decimal(5,2)	YES	\N	
games	69	modelAwayPuckLine	varchar(8)	YES	\N	
games	70	modelHomePuckLine	varchar(8)	YES	\N	
games	71	modelAwayPLOdds	varchar(16)	YES	\N	
games	72	modelHomePLOdds	varchar(16)	YES	\N	
