id,mineActualSide,storedActualSide,mineCorrect,storedCorrect
120002,UNDER,OVER,0,0
120006,OVER,UNDER,0,1
120009,UNDER,OVER,1,0
120010,OVER,UNDER,0,1
120013,OVER,UNDER,1,0
120021,OVER,UNDER,1,0
150010,OVER,UNDER,0,1
180002,OVER,UNDER,0,0
240004,UNDER,OVER,1,0
240010,UNDER,OVER,1,0
240021,OVER,UNDER,0,0
390008,OVER,UNDER,0,1
450008,UNDER,OVER,0,0
450015,UNDER,OVER,0,0
450021,OVER,UNDER,0,1
480003,OVER,UNDER,0,0
480005,UNDER,OVER,1,0
480012,OVER,UNDER,0,1
630077,OVER,UNDER,1,1
630078,UNDER,OVER,0,0
780003,OVER,UNDER,0,1
780004,OVER,UNDER,1,1
780017,OVER,UNDER,0,1
780021,UNDER,OVER,1,1
810011,UNDER,OVER,1,1
810013,OVER,UNDER,0,1
810076,UNDER,OVER,1,0
810085,UNDER,OVER,0,0
810086,UNDER,OVER,0,0
810093,OVER,UNDER,0,1
840008,UNDER,OVER,1,0
870002,OVER,UNDER,0,1
870028,UNDER,OVER,1,0
900002,OVER,UNDER,1,1
900011,UNDER,OVER,1,0
900031,OVER,UNDER,0,1
900040,OVER,UNDER,0,1
900044,OVER,UNDER,0,1
900060,UNDER,OVER,1,0
1020078,OVER,UNDER,1,0
1020080,UNDER,OVER,1,0
1110014,UNDER,OVER,1,0
1110020,UNDER,OVER,1,0
1110026,OVER,UNDER,0,1
1200040,OVER,UNDER,1,1
1200044,OVER,UNDER,1,1
1320002,UNDER,OVER,1,0
1320004,UNDER,OVER,1,0
1320008,UNDER,OVER,1,0
1320012,OVER,UNDER,0,1
1410023,OVER,UNDER,1,1
1410031,OVER,UNDER,0,1
1410047,UNDER,OVER,1,0
1410064,UNDER,OVER,0,1
1470031,UNDER,OVER,1,0
1470077,OVER,UNDER,0,1
1470081,UNDER,OVER,1,0
1470084,OVER,UNDER,1,1
1470086,UNDER,OVER,1,1
1470091,OVER,UNDER,1,0
1470104,UNDER,OVER,1,1
1470139,UNDER,OVER,1,1
1470150,UNDER,PUSH,1,
1470184,UNDER,OVER,1,0
1470291,OVER,UNDER,0,1
1500003,UNDER,OVER,1,0
1530095,OVER,UNDER,1,1
1530148,UNDER,OVER,0,0
1530167,OVER,UNDER,0,1
1530170,OVER,PUSH,0,
1530177,OVER,UNDER,1,1
1530180,OVER,UNDER,0,1
1530190,OVER,UNDER,0,1
1530198,OVER,UNDER,1,1
1590008,UNDER,OVER,1,1
1590064,OVER,UNDER,0,1
1620004,UNDER,OVER,1,0
1620008,UNDER,OVER,1,0
1620009,UNDER,OVER,1,0
1620011,UNDER,OVER,1,0
1620017,OVER,UNDER,0,1
1680004,UNDER,OVER,1,0
1800002,UNDER,OVER,1,0
1800008,OVER,UNDER,0,1
1800014,OVER,UNDER,0,1
1800017,UNDER,OVER,1,1
1800022,UNDER,OVER,0,0
1800024,OVER,UNDER,1,0
1860007,OVER,UNDER,0,1
1920003,UNDER,OVER,1,0
1920006,UNDER,OVER,1,0
1920013,UNDER,OVER,1,0
1920025,UNDER,OVER,1,1
1920029,OVER,UNDER,0,1
1920032,UNDER,OVER,1,0
1920040,OVER,UNDER,1,1
1920043,UNDER,OVER,1,0
1920057,UNDER,OVER,1,1
1920059,OVER,UNDER,1,1
1920071,OVER,UNDER,0,1
1920077,OVER,UNDER,0,0
1920080,OVER,UNDER,0,1
1920084,UNDER,OVER,1,0
1920085,OVER,UNDER,0,1
2130004,OVER,UNDER,0,1
2190005,OVER,UNDER,0,1
2190023,UNDER,OVER,1,0
2250001,UNDER,OVER,1,1
