game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2250007,2026-03-26,PIT@NYM,1,F5,ML,,0.4008,HOME,-128,,HOME,1,,,0.160641,0.512160,home_fav,day,1,,0
2250007,2026-03-26,PIT@NYM,1,F5,RL,,0.4808,HOME,-0.5,,HOME,1,,,0.231169,0.655466,home_fav,day,1,,0
2250007,2026-03-26,PIT@NYM,1,F5,TOTAL,4.00,0.4600,UNDER,3.5,,OVER,0,-9.00,9.00,0.291600,0.776529,home_fav,day,1,,1
2250008,2026-03-26,CWS@MIL,1,F5,ML,,0.3998,HOME,+140,,HOME,1,,,0.159840,0.510492,home_fav,day,1,,0
2250008,2026-03-26,CWS@MIL,1,F5,RL,,0.4717,HOME,0.5,,HOME,1,,,0.222501,0.638091,home_fav,day,1,,0
2250008,2026-03-26,CWS@MIL,1,F5,TOTAL,4.00,0.5600,OVER,4.5,,OVER,1,-5.00,5.00,0.193600,0.579818,home_fav,day,1,,1
2250009,2026-03-26,WSH@CHC,1,F5,ML,,0.3492,HOME,+150,,AWAY,0,,,0.423541,1.052110,home_fav,day,1,,1
2250009,2026-03-26,WSH@CHC,1,F5,RL,,0.4149,HOME,0.5,,AWAY,0,,,0.342342,0.879718,home_fav,day,1,,1
2250009,2026-03-26,WSH@CHC,1,F5,TOTAL,4.00,0.5100,OVER,3.5,,OVER,1,-6.00,6.00,0.240100,0.673345,home_fav,day,1,,1
2250010,2026-03-26,MIN@BAL,1,F5,ML,,0.3597,HOME,+102,,PUSH,,,,,,home_fav,day,1,push(tie),
2250010,2026-03-26,MIN@BAL,1,F5,RL,,0.4292,HOME,0.5,,AWAY,0,,,0.325813,0.845832,home_fav,day,1,,1
2250010,2026-03-26,MIN@BAL,1,F5,TOTAL,4.50,0.4200,UNDER,4.5,,UNDER,1,4.50,4.50,0.176400,0.544727,home_fav,day,1,,0
2250011,2026-03-26,BOS@CIN,1,F5,ML,,0.4571,HOME,-180,,PUSH,,,,,,away_fav,day,1,push(tie),
2250011,2026-03-26,BOS@CIN,1,F5,RL,,0.5475,AWAY,-0.5,,HOME,0,,,0.299756,0.792968,away_fav,day,1,,0
2250011,2026-03-26,BOS@CIN,1,F5,TOTAL,4.50,0.4100,UNDER,3.5,,UNDER,1,4.50,4.50,0.168100,0.527633,away_fav,day,1,,0
2250012,2026-03-26,LAA@HOU,1,F5,ML,,0.3862,HOME,+142,,PUSH,,,,,,home_fav,day,1,push(tie),
2250012,2026-03-26,LAA@HOU,1,F5,RL,,0.4608,HOME,0.5,,AWAY,0,,,0.290737,0.774791,home_fav,day,1,,1
2250012,2026-03-26,LAA@HOU,1,F5,TOTAL,4.50,0.4200,UNDER,4.5,,UNDER,1,4.50,4.50,0.176400,0.544727,home_fav,day,1,,0
2250013,2026-03-26,DET@SD,1,F5,ML,,0.4244,HOME,-148,,AWAY,0,,,0.331315,0.857079,away_fav,day,1,,1
2250013,2026-03-26,DET@SD,1,F5,RL,,0.5146,AWAY,-0.5,,AWAY,1,,,0.235613,0.664365,away_fav,day,1,,1
2250013,2026-03-26,DET@SD,1,F5,TOTAL,4.00,0.4000,UNDER,3.5,,OVER,0,-4.00,4.00,0.360000,0.916291,away_fav,day,1,,1
2250014,2026-03-26,TB@STL,1,F5,ML,,0.4441,HOME,-142,,PUSH,,,,,,away_fav,day,1,push(tie),
2250014,2026-03-26,TB@STL,1,F5,RL,,0.5283,AWAY,-0.5,,HOME,0,,,0.279101,0.751412,away_fav,day,1,,0
2250014,2026-03-26,TB@STL,1,F5,TOTAL,4.50,0.4500,UNDER,4.5,,UNDER,1,2.50,2.50,0.202500,0.597837,away_fav,day,1,,0
2250015,2026-03-26,TEX@PHI,1,F5,ML,,0.4022,HOME,+124,,HOME,1,,,0.161765,0.514499,home_fav,day,1,,0
2250015,2026-03-26,TEX@PHI,1,F5,RL,,0.4808,HOME,0.5,,HOME,1,,,0.231169,0.655466,home_fav,day,1,,0
2250015,2026-03-26,TEX@PHI,1,F5,TOTAL,4.50,0.4200,UNDER,4.5,,OVER,0,-0.50,0.50,0.336400,0.867501,home_fav,day,1,,1
2250016,2026-03-26,CLE@SEA,1,F5,ML,,0.3826,HOME,+162,,PUSH,,,,,,home_fav,night,1,push(tie),
2250016,2026-03-26,CLE@SEA,1,F5,RL,,0.4608,HOME,0.5,,AWAY,0,,,0.290737,0.774791,home_fav,night,1,,1
2250016,2026-03-26,CLE@SEA,1,F5,TOTAL,3.50,0.5100,OVER,3.5,,OVER,1,-2.50,2.50,0.240100,0.673345,home_fav,night,1,,1
2252284,2026-03-26,ARI@LAD,1,F5,ML,,0.3436,HOME,+186,,HOME,1,,,0.118061,0.420985,home_fav,night,1,,0
2252284,2026-03-26,ARI@LAD,1,F5,RL,,0.4115,HOME,1.5,,HOME,1,,,0.169332,0.530178,home_fav,night,1,,0
2252284,2026-03-26,ARI@LAD,1,F5,TOTAL,5.00,0.3400,UNDER,4.5,,OVER,0,-1.00,1.00,0.435600,1.078810,home_fav,night,1,,1
2250017,2026-03-27,NYY@SF,1,F5,ML,,0.4813,HOME,-145,,PUSH,,,,,,away_fav,day,1,push(tie),
2250017,2026-03-27,NYY@SF,1,F5,RL,,0.5745,AWAY,-0.5,,HOME,0,,,0.330050,0.854490,away_fav,day,1,,0
2250017,2026-03-27,NYY@SF,1,F5,TOTAL,4.50,0.4100,UNDER,4.5,,UNDER,1,4.50,4.50,0.168100,0.527633,away_fav,day,1,,0
2250018,2026-03-27,ATH@TOR,1,F5,ML,,0.3930,HOME,+134,,HOME,1,,,0.154449,0.499226,home_fav,night,1,,0
2250018,2026-03-27,ATH@TOR,1,F5,RL,,0.4630,HOME,0.5,,HOME,1,,,0.214369,0.621757,home_fav,night,1,,0
2250018,2026-03-27,ATH@TOR,1,F5,TOTAL,4.50,0.5000,UNDER,4.5,,UNDER,1,1.50,1.50,0.250000,0.693147,home_fav,night,1,,0
2250019,2026-03-27,COL@MIA,1,F5,ML,,0.3961,HOME,+148,,HOME,1,,,0.156895,0.504347,home_fav,night,1,,0
