game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,closing_novig_p_away,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2250007,2026-03-26,PIT@NYM,1,FG,ML,,0.4520,HOME,+100,,,HOME,1,,,0.204304,0.601480,home_fav,day,1,,
2250007,2026-03-26,PIT@NYM,1,FG,RL,-0.51,,HOME,-1.5/+211,,,HOME,1,3.49,3.49,,,home_fav,day,1,,
2250007,2026-03-26,PIT@NYM,1,FG,TOTAL,7.00,0.5284,OVER,7,,,OVER,1,-11.00,11.00,0.222407,0.637902,home_fav,day,1,,
2250008,2026-03-26,CWS@MIL,1,FG,ML,,0.4420,HOME,+159,,,HOME,1,,,0.195364,0.583396,home_fav,day,1,,
2250008,2026-03-26,CWS@MIL,1,FG,RL,-0.70,,AWAY,+1.5/+130,,,HOME,0,11.30,11.30,,,home_fav,day,1,,
2250008,2026-03-26,CWS@MIL,1,FG,TOTAL,7.50,0.5941,OVER,7.5,,,OVER,1,-8.50,8.50,0.164755,0.520708,home_fav,day,1,,
2250009,2026-03-26,WSH@CHC,1,FG,ML,,0.3744,HOME,+169,,,AWAY,0,,,0.391375,0.982431,home_fav,day,1,,
2250009,2026-03-26,WSH@CHC,1,FG,RL,-1.45,,AWAY,+1.5/+102,,,AWAY,1,-7.45,7.45,,,home_fav,day,1,,
2250009,2026-03-26,WSH@CHC,1,FG,TOTAL,7.00,0.5879,OVER,7,,,OVER,1,-7.00,7.00,0.169826,0.531198,home_fav,day,1,,
2250010,2026-03-26,MIN@BAL,1,FG,ML,,0.3913,HOME,+120,,,HOME,1,,,0.153116,0.496430,home_fav,day,1,,
2250010,2026-03-26,MIN@BAL,1,FG,RL,-1.22,,AWAY,+1.5/+111,,,AWAY,1,-0.22,0.22,,,home_fav,day,1,,
2250010,2026-03-26,MIN@BAL,1,FG,TOTAL,8.50,0.4297,UNDER,8.5,,,UNDER,1,5.50,5.50,0.184642,0.561593,home_fav,day,1,,
2250011,2026-03-26,BOS@CIN,1,FG,ML,,0.5138,AWAY,-163,,,AWAY,1,,,0.236390,0.665921,away_fav,day,1,,
2250011,2026-03-26,BOS@CIN,1,FG,RL,0.15,,HOME,-1.5/-164,,,AWAY,0,-2.85,2.85,,,away_fav,day,1,,
2250011,2026-03-26,BOS@CIN,1,FG,TOTAL,8.00,0.4452,UNDER,8,,,UNDER,1,5.00,5.00,0.198203,0.589148,away_fav,day,1,,
2250012,2026-03-26,LAA@HOU,1,FG,ML,,0.4209,HOME,+149,,,AWAY,0,,,0.335357,0.865360,home_fav,day,1,,
2250012,2026-03-26,LAA@HOU,1,FG,RL,-0.87,,AWAY,+1.5/+126,,,AWAY,1,-3.87,3.87,,,home_fav,day,1,,
2250012,2026-03-26,LAA@HOU,1,FG,TOTAL,8.00,0.4651,UNDER,8,,,UNDER,1,5.00,5.00,0.216318,0.625675,home_fav,day,1,,
2250013,2026-03-26,DET@SD,1,FG,ML,,0.4820,HOME,-126,,,AWAY,0,,,0.268324,0.729811,away_fav,day,1,,
2250013,2026-03-26,DET@SD,1,FG,RL,-0.18,,HOME,-1.5/-196,,,AWAY,0,-6.18,6.18,,,away_fav,day,1,,
2250013,2026-03-26,DET@SD,1,FG,TOTAL,7.00,0.4540,UNDER,7,,,OVER,0,-3.00,3.00,0.298116,0.789658,away_fav,day,1,,
2250014,2026-03-26,TB@STL,1,FG,ML,,0.4908,HOME,-131,,,HOME,1,,,0.240885,0.674914,away_fav,day,1,,
2250014,2026-03-26,TB@STL,1,FG,RL,-0.10,,HOME,-1.5/-172,,,HOME,1,1.90,1.90,,,away_fav,day,1,,
2250014,2026-03-26,TB@STL,1,FG,TOTAL,8.00,0.5072,OVER,8,,,OVER,1,-8.00,8.00,0.242852,0.678850,away_fav,day,1,,
2250015,2026-03-26,TEX@PHI,1,FG,ML,,0.4469,HOME,+144,,,HOME,1,,,0.199720,0.592216,home_fav,day,1,,
2250015,2026-03-26,TEX@PHI,1,FG,RL,-0.59,,AWAY,+1.5/+139,,,HOME,0,1.41,1.41,,,home_fav,day,1,,
2250015,2026-03-26,TEX@PHI,1,FG,TOTAL,8.00,0.4621,UNDER,8,,,PUSH,,0.00,0.00,,,home_fav,day,1,push,
2250016,2026-03-26,CLE@SEA,1,FG,ML,,0.4223,HOME,+149,,,AWAY,0,,,0.333737,0.862039,home_fav,night,1,,
2250016,2026-03-26,CLE@SEA,1,FG,RL,-0.80,,AWAY,+1.5/+131,,,AWAY,1,-2.80,2.80,,,home_fav,night,1,,
2250016,2026-03-26,CLE@SEA,1,FG,TOTAL,6.50,0.5665,OVER,6.5,,,OVER,1,-3.50,3.50,0.187922,0.568278,home_fav,night,1,,
2252284,2026-03-26,ARI@LAD,1,FG,ML,,0.3689,HOME,+229,,,HOME,1,,,0.136087,0.460291,home_fav,night,1,,
2252284,2026-03-26,ARI@LAD,1,FG,RL,-1.42,,AWAY,+1.5/-104,,,HOME,0,4.58,4.58,,,home_fav,night,1,,
2252284,2026-03-26,ARI@LAD,1,FG,TOTAL,9.00,0.3502,UNDER,9,,,OVER,0,-1.00,1.00,0.422240,1.049251,home_fav,night,1,,
2250017,2026-03-27,NYY@SF,1,FG,ML,,0.5326,AWAY,-136,,,AWAY,1,,,0.218463,0.629985,away_fav,day,1,,
2250017,2026-03-27,NYY@SF,1,FG,RL,0.36,,HOME,-1.5/-152,,,AWAY,0,-2.64,2.64,,,away_fav,day,1,,
2250017,2026-03-27,NYY@SF,1,FG,TOTAL,8.50,0.4098,UNDER,8.5,,,UNDER,1,5.50,5.50,0.167936,0.527294,away_fav,day,1,,
2250018,2026-03-27,ATH@TOR,1,FG,ML,,0.4292,HOME,+149,,,HOME,1,,,0.184213,0.560716,home_fav,night,1,,
2250018,2026-03-27,ATH@TOR,1,FG,RL,-0.87,,AWAY,+1.5/+123,,,AWAY,1,0.13,0.13,,,home_fav,night,1,,
2250018,2026-03-27,ATH@TOR,1,FG,TOTAL,8.50,0.5176,OVER,8.5,,,UNDER,0,3.50,3.50,0.267910,0.728982,home_fav,night,1,,
2250019,2026-03-27,COL@MIA,1,FG,ML,,0.4390,HOME,+163,,,HOME,1,,,0.192721,0.578034,home_fav,night,1,,
2250019,2026-03-27,COL@MIA,1,FG,RL,-0.67,,AWAY,+1.5/+134,,,AWAY,1,0.33,0.33,,,home_fav,night,1,,
2250019,2026-03-27,COL@MIA,1,FG,TOTAL,8.00,0.4652,UNDER,8,,,UNDER,1,5.00,5.00,0.216411,0.625862,home_fav,night,1,,
2250020,2026-03-27,KC@ATL,1,FG,ML,,0.4015,HOME,+113,,,HOME,1,,,0.161202,0.513329,home_fav,night,1,,
2250020,2026-03-27,KC@ATL,1,FG,RL,-1.06,,AWAY,+1.5/+119,,,HOME,0,4.94,4.94,,,home_fav,night,1,,
2250020,2026-03-27,KC@ATL,1,FG,TOTAL,7.50,0.4629,UNDER,7.5,,,UNDER,1,1.50,1.50,0.214276,0.621571,home_fav,night,1,,
2250021,2026-03-27,LAA@HOU,1,FG,ML,,0.4222,HOME,+140,,,AWAY,0,,,0.333853,0.862276,home_fav,night,1,,
2250021,2026-03-27,LAA@HOU,1,FG,RL,-0.90,,AWAY,+1.5/+123,,,AWAY,1,-4.90,4.90,,,home_fav,night,1,,
2250021,2026-03-27,LAA@HOU,1,FG,TOTAL,8.50,0.4738,UNDER,8.5,,,UNDER,1,0.50,0.50,0.224486,0.642074,home_fav,night,1,,
2250022,2026-03-27,DET@SD,1,FG,ML,,0.4613,HOME,+108,,,AWAY,0,,,0.290198,0.773707,home_fav,night,1,,
2250022,2026-03-27,DET@SD,1,FG,RL,-0.43,,AWAY,+1.5/+146,,,AWAY,1,-3.43,3.43,,,home_fav,night,1,,
2250022,2026-03-27,DET@SD,1,FG,TOTAL,7.50,0.5075,OVER,7.5,,,UNDER,0,0.50,0.50,0.257556,0.708261,home_fav,night,1,,
2250023,2026-03-27,CLE@SEA,1,FG,ML,,0.4511,HOME,+149,,,HOME,1,,,0.203491,0.599839,home_fav,night,1,,
2250023,2026-03-27,CLE@SEA,1,FG,RL,-0.54,,AWAY,+1.5/+143,,,HOME,0,3.46,3.46,,,home_fav,night,1,,
2250023,2026-03-27,CLE@SEA,1,FG,TOTAL,7.00,0.5380,OVER,7,,,UNDER,0,1.00,1.00,0.289444,0.772190,home_fav,night,1,,
2252293,2026-03-27,ARI@LAD,1,FG,ML,,0.4040,HOME,+194,,,HOME,1,,,0.163216,0.517515,home_fav,night,1,,
2252293,2026-03-27,ARI@LAD,1,FG,RL,-0.99,,AWAY,+1.5/-122,,,AWAY,1,0.01,0.01,,,home_fav,night,1,,
2252293,2026-03-27,ARI@LAD,1,FG,TOTAL,8.50,0.3543,UNDER,8.5,,,OVER,0,-0.50,0.50,0.416928,1.037611,home_fav,night,1,,
2250024,2026-03-28,TB@STL,1,FG,ML,,0.4692,HOME,-115,,,HOME,1,,,0.220149,0.633370,away_fav,day,1,,
2250024,2026-03-28,TB@STL,1,FG,RL,-0.38,,HOME,-1.5/-183,,,HOME,1,0.62,0.62,,,away_fav,day,1,,
2250024,2026-03-28,TB@STL,1,FG,TOTAL,7.50,0.6032,OVER,7.5,,,OVER,1,-3.50,3.50,0.157450,0.505506,away_fav,day,1,,
2250025,2026-03-28,WSH@CHC,1,FG,ML,,0.3677,HOME,+203,,,HOME,1,,,0.135203,0.458391,home_fav,day,1,,
2250025,2026-03-28,WSH@CHC,1,FG,RL,-1.51,,HOME,+1.5/-101,,,HOME,1,6.49,6.49,,,home_fav,day,1,,
2250025,2026-03-28,WSH@CHC,1,FG,TOTAL,8.50,0.4385,UNDER,8.5,,,OVER,0,-3.50,3.50,0.315282,0.824395,home_fav,day,1,,
2250026,2026-03-28,ATH@TOR,1,FG,ML,,0.4589,HOME,+163,,,HOME,1,,,0.210589,0.614151,home_fav,day,1,,
2250026,2026-03-28,ATH@TOR,1,FG,RL,-0.51,,AWAY,+1.5/+135,,,AWAY,1,0.49,0.49,,,home_fav,day,1,,
2250026,2026-03-28,ATH@TOR,1,FG,TOTAL,8.00,0.5889,OVER,8,,,OVER,1,-7.00,7.00,0.169003,0.529499,home_fav,day,1,,
2250027,2026-03-28,MIN@BAL,1,FG,ML,,0.4018,HOME,+141,,,AWAY,0,,,0.357843,0.911801,home_fav,day,1,,
2250027,2026-03-28,MIN@BAL,1,FG,RL,-1.13,,AWAY,+1.5/+114,,,AWAY,1,-4.13,4.13,,,home_fav,day,1,,
2250027,2026-03-28,MIN@BAL,1,FG,TOTAL,7.50,0.5335,OVER,7.5,,,UNDER,0,2.50,2.50,0.284622,0.762497,home_fav,day,1,,
2250028,2026-03-28,TEX@PHI,1,FG,ML,,0.4770,HOME,+128,,,AWAY,0,,,0.273529,0.740239,home_fav,day,1,,
2250028,2026-03-28,TEX@PHI,1,FG,RL,-0.28,,AWAY,+1.5/+148,,,AWAY,1,-1.28,1.28,,,home_fav,day,1,,
2250028,2026-03-28,TEX@PHI,1,FG,TOTAL,7.50,0.6003,OVER,7.5,,,OVER,1,-1.50,1.50,0.159760,0.510326,home_fav,day,1,,
2250029,2026-03-28,BOS@CIN,1,FG,ML,,0.4343,HOME,-136,,,HOME,1,,,0.188616,0.569691,away_fav,day,1,,
2250029,2026-03-28,BOS@CIN,1,FG,RL,-0.77,,HOME,-1.5/-216,,,HOME,1,0.23,0.23,,,away_fav,day,1,,
2250029,2026-03-28,BOS@CIN,1,FG,TOTAL,7.50,0.5580,OVER,7.5,,,OVER,1,-3.50,3.50,0.195364,0.583396,away_fav,day,1,,
2250030,2026-03-28,PIT@NYM,1,FG,ML,,0.4620,HOME,+144,,,HOME,1,,,0.213444,0.619897,home_fav,day,1,,
2250030,2026-03-28,PIT@NYM,1,FG,RL,-0.47,,AWAY,+1.5/+139,,,HOME,0,1.53,1.53,,,home_fav,day,1,,
2250030,2026-03-28,PIT@NYM,1,FG,TOTAL,7.50,0.6026,OVER,7.5,,,UNDER,0,1.50,1.50,0.363127,0.922812,home_fav,day,1,,
2250031,2026-03-28,COL@MIA,1,FG,ML,,0.3835,HOME,+159,,,HOME,1,,,0.147072,0.483697,home_fav,day,1,,
2250031,2026-03-28,COL@MIA,1,FG,RL,-1.33,,AWAY,+1.5/+107,,,AWAY,1,-0.33,0.33,,,home_fav,day,1,,
2250031,2026-03-28,COL@MIA,1,FG,TOTAL,7.50,0.5212,OVER,7.5,,,UNDER,0,0.50,0.50,0.271649,0.736472,home_fav,day,1,,
2250032,2026-03-28,LAA@HOU,1,FG,ML,,0.4560,HOME,+113,,,HOME,1,,,0.207936,0.608806,home_fav,night,1,,
2250032,2026-03-28,LAA@HOU,1,FG,RL,-0.50,,AWAY,+1.5/+141,,,HOME,0,1.50,1.50,,,home_fav,night,1,,
2250032,2026-03-28,LAA@HOU,1,FG,TOTAL,9.00,0.4053,UNDER,9,,,OVER,0,-11.00,11.00,0.353668,0.903128,home_fav,night,1,,
2250033,2026-03-28,CWS@MIL,1,FG,ML,,0.3836,HOME,+163,,,HOME,1,,,0.147149,0.483859,home_fav,night,1,,
2250033,2026-03-28,CWS@MIL,1,FG,RL,-1.50,,HOME,+1.5/-100,,,HOME,1,3.50,3.50,,,home_fav,night,1,,
2250033,2026-03-28,CWS@MIL,1,FG,TOTAL,8.00,0.6056,OVER,8,,,UNDER,0,1.00,1.00,0.366751,0.930390,home_fav,night,1,,
2250034,2026-03-28,KC@ATL,1,FG,ML,,0.4364,HOME,+129,,,HOME,1,,,0.190445,0.573410,home_fav,night,1,,
2250034,2026-03-28,KC@ATL,1,FG,RL,-0.74,,AWAY,+1.5/+130,,,HOME,0,3.26,3.26,,,home_fav,night,1,,
2250034,2026-03-28,KC@ATL,1,FG,TOTAL,8.50,0.4613,UNDER,8.5,,,UNDER,1,0.50,0.50,0.212798,0.618596,home_fav,night,1,,
2250035,2026-03-28,NYY@SF,1,FG,ML,,0.4393,HOME,-131,,,AWAY,0,,,0.314384,0.822573,away_fav,night,1,,
2250035,2026-03-28,NYY@SF,1,FG,RL,-0.64,,HOME,-1.5/-225,,,AWAY,0,-2.64,2.64,,,away_fav,night,1,,
