game_id,date,teams,prop_id,market,sub_market,player,hand,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,actual_ks,correct,signed_error,abs_error,brier,logloss,completed,notes,stored_result,stored_correct,stored_error,verdict
2250006,2026-03-25,NYY@SF,3,K_PROP,away,Max Fried,L,4.73,0.3390,UNDER,5.5,,UNDER,4,1,0.73,0.73,0.114921,0.414001,1,,NO_ACTION,,-0.73,EDGE
2250006,2026-03-25,NYY@SF,4,K_PROP,home,Logan Webb,R,7.06,0.5470,OVER,6.5,,OVER,7,1,0.06,0.06,0.205209,0.603306,1,,NO_ACTION,,-0.06,EDGE
2250007,2026-03-26,PIT@NYM,30037,K_PROP,away,Paul Skenes,RHP,6.46,0.4600,UNDER,6.5,,UNDER,1,1,5.46,5.46,0.211600,0.616186,1,,NO_ACTION,,-5.46,NEUTRAL
2250007,2026-03-26,PIT@NYM,30038,K_PROP,home,Freddy Peralta,RHP,5.88,0.3748,UNDER,6.5,,OVER,7,0,-1.12,1.12,0.390875,0.981363,1,,NO_ACTION,,1.12,NEUTRAL
2250008,2026-03-26,CWS@MIL,30039,K_PROP,away,Shane Smith,RHP,5.56,0.6290,OVER,4.5,,UNDER,2,0,3.56,3.56,0.395641,0.991553,1,,NO_ACTION,,-3.56,EDGE OVER
2250008,2026-03-26,CWS@MIL,30040,K_PROP,home,Jacob Misiorowski,RHP,5.72,0.3520,UNDER,6.5,,OVER,11,0,-5.28,5.28,0.419904,1.044124,1,,NO_ACTION,,5.28,EDGE UNDER
2250009,2026-03-26,WSH@CHC,30041,K_PROP,away,Cade Cavalli,RHP,6.25,0.7120,OVER,4,,OVER,5,1,1.25,1.25,0.082944,0.339677,1,,NO_ACTION,,-1.25,EDGE OVER
2250009,2026-03-26,WSH@CHC,30042,K_PROP,home,Matthew Boyd,LHP,4.64,0.3250,UNDER,5.5,,OVER,7,0,-2.36,2.36,0.455625,1.123930,1,,NO_ACTION,,2.36,EDGE UNDER
2250017,2026-03-27,NYY@SF,90027,K_PROP,away,Cam Schlittler,,4.05,0.3805,UNDER,4.5,,OVER,8,0,-3.95,3.95,0.383780,0.966269,1,,LOSS,0,3.95,UNDER
2250017,2026-03-27,NYY@SF,90028,K_PROP,home,Robbie Ray,,5.52,0.3179,UNDER,6.5,,UNDER,4,1,1.52,1.52,0.101060,0.382579,1,,WIN,1,-1.52,UNDER
2250018,2026-03-27,ATH@TOR,90029,K_PROP,away,Luis Severino,,2.17,0.1748,UNDER,3.5,,UNDER,3,1,-0.83,0.83,0.030555,0.192129,1,,WIN,1,0.83,UNDER
2250018,2026-03-27,ATH@TOR,90030,K_PROP,home,Kevin Gausman,,4.88,0.3630,UNDER,5.5,,OVER,11,0,-6.12,6.12,0.405769,1.013352,1,,LOSS,0,6.12,UNDER
2250019,2026-03-27,COL@MIA,90031,K_PROP,away,Kyle Freeland,,2.57,0.2570,UNDER,3.5,,UNDER,2,1,0.57,0.57,0.066049,0.297059,1,,WIN,1,-0.57,UNDER
2250019,2026-03-27,COL@MIA,90032,K_PROP,home,Sandy Alcantara,,5.1,0.4018,UNDER,5.5,,UNDER,5,1,0.10,0.10,0.161443,0.513830,1,,WIN,1,-0.10,UNDER
2250020,2026-03-27,KC@ATL,90033,K_PROP,home,Chris Sale,,6.87,0.5303,OVER,6.5,,UNDER,6,0,0.87,0.87,0.281218,0.755661,1,,LOSS,0,-0.87,OVER
2250020,2026-03-27,KC@ATL,90034,K_PROP,away,Cole Ragans,,7.39,0.6060,OVER,6.5,,UNDER,5,0,2.39,2.39,0.367236,0.931404,1,,LOSS,0,-2.39,OVER
2250021,2026-03-27,LAA@HOU,90035,K_PROP,home,Mike Burrows,,5.85,0.5293,OVER,5.5,,OVER,6,1,-0.15,0.15,0.221558,0.636200,1,,WIN,1,0.15,OVER
2250021,2026-03-27,LAA@HOU,90036,K_PROP,away,Yusei Kikuchi,,3.48,0.2704,UNDER,4.5,,UNDER,3,1,0.48,0.48,0.073116,0.315259,1,,WIN,1,-0.48,UNDER
