game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2250007,2026-03-26,PIT@NYM,1,NRFI,NRFI,,0.5400,NRFI,-178,,YRFI,0,,,0.291600,0.776529,home_fav,day,1,actual-from-string,
2250008,2026-03-26,CWS@MIL,1,NRFI,NRFI,,0.4600,YRFI,-136,,YRFI,1,,,0.211600,0.616186,home_fav,day,1,actual-from-string,
2250009,2026-03-26,WSH@CHC,1,NRFI,NRFI,,0.4900,YRFI,-158,,NRFI,0,,,0.260100,0.713350,home_fav,day,1,actual-from-string,
2250010,2026-03-26,MIN@BAL,1,NRFI,NRFI,,0.4700,YRFI,-111,,NRFI,0,,,0.280900,0.755023,home_fav,day,1,actual-from-string,
2250011,2026-03-26,BOS@CIN,1,NRFI,NRFI,,0.5000,YRFI,-164,,NRFI,0,,,0.250000,0.693147,away_fav,day,1,actual-from-string,
2250012,2026-03-26,LAA@HOU,1,NRFI,NRFI,,0.5100,NRFI,-132,,NRFI,1,,,0.240100,0.673345,home_fav,day,1,actual-from-string,
2250013,2026-03-26,DET@SD,1,NRFI,NRFI,,0.5100,NRFI,-174,,YRFI,0,,,0.260100,0.713350,away_fav,day,1,actual-from-string,
2250014,2026-03-26,TB@STL,1,NRFI,NRFI,,0.4900,YRFI,-125,,NRFI,0,,,0.260100,0.713350,away_fav,day,1,actual-from-string,
2250015,2026-03-26,TEX@PHI,1,NRFI,NRFI,,0.4600,YRFI,-142,,YRFI,1,,,0.211600,0.616186,home_fav,day,1,actual-from-string,
2250016,2026-03-26,CLE@SEA,1,NRFI,NRFI,,0.5100,NRFI,-150,,YRFI,0,,,0.260100,0.713350,home_fav,night,1,actual-from-string,
2252284,2026-03-26,ARI@LAD,1,NRFI,NRFI,,0.4500,YRFI,-113,,NRFI,0,,,0.302500,0.798508,home_fav,night,1,actual-from-string,
2250017,2026-03-27,NYY@SF,1,NRFI,NRFI,,0.4500,YRFI,-115,,NRFI,0,,,0.302500,0.798508,away_fav,day,1,actual-from-string,
2250018,2026-03-27,ATH@TOR,1,NRFI,NRFI,,0.4700,YRFI,-120,,NRFI,0,,,0.280900,0.755023,home_fav,night,1,actual-from-string,
2250019,2026-03-27,COL@MIA,1,NRFI,NRFI,,0.4200,YRFI,-122,,NRFI,0,,,0.336400,0.867501,home_fav,night,1,actual-from-string,
2250020,2026-03-27,KC@ATL,1,NRFI,NRFI,,0.4700,YRFI,-156,,YRFI,1,,,0.220900,0.634878,home_fav,night,1,actual-from-string,
2250021,2026-03-27,LAA@HOU,1,NRFI,NRFI,,0.4500,YRFI,-120,,YRFI,1,,,0.202500,0.597837,home_fav,night,1,actual-from-string,
2250022,2026-03-27,DET@SD,1,NRFI,NRFI,,0.4900,YRFI,-136,,NRFI,0,,,0.260100,0.713350,home_fav,night,1,actual-from-string,
2250023,2026-03-27,CLE@SEA,1,NRFI,NRFI,,0.4700,YRFI,-142,,YRFI,1,,,0.220900,0.634878,home_fav,night,1,actual-from-string,
2252293,2026-03-27,ARI@LAD,1,NRFI,NRFI,,0.5200,NRFI,-104,,NRFI,1,,,0.230400,0.653926,home_fav,night,1,actual-from-string,
2250024,2026-03-28,TB@STL,1,NRFI,NRFI,,0.3100,YRFI,-162,,YRFI,1,,,0.096100,0.371064,away_fav,day,1,actual-from-string,
2250025,2026-03-28,WSH@CHC,1,NRFI,NRFI,,0.5000,YRFI,-100,,NRFI,0,,,0.250000,0.693147,home_fav,day,1,actual-from-string,
2250026,2026-03-28,ATH@TOR,1,NRFI,NRFI,,0.4400,YRFI,-113,,NRFI,0,,,0.313600,0.820981,home_fav,day,1,actual-from-string,
2250027,2026-03-28,MIN@BAL,1,NRFI,NRFI,,0.5200,NRFI,-142,,NRFI,1,,,0.230400,0.653926,home_fav,day,1,actual-from-string,
2250028,2026-03-28,TEX@PHI,1,NRFI,NRFI,,0.5000,YRFI,-132,,YRFI,1,,,0.250000,0.693147,home_fav,day,1,actual-from-string,
2250029,2026-03-28,BOS@CIN,1,NRFI,NRFI,,0.4600,YRFI,-154,,YRFI,1,,,0.211600,0.616186,away_fav,day,1,actual-from-string,
2250030,2026-03-28,PIT@NYM,1,NRFI,NRFI,,0.4800,YRFI,-142,,NRFI,0,,,0.270400,0.733969,home_fav,day,1,actual-from-string,
