gameId,gameDate,modelVersion,date,seed,n_train_games,n_train_final,league_env_mult,T_fg,T_f5,k_factor,hr_factor,total_sd,f5_total_sd,k_method,total_recenter,rl_passthrough,nrfi.mode,p1_version,fitted_through,n_T_fg,n_T_f5,n_k_train,n_hr_train,nrfi.n_train,nrfi.feature_keys,nrfi.beta
2250006,2026-03-25,wf-19288f01-p2d,2026-03-25,True,0,0,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250007,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250008,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250009,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250010,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250011,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250012,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250013,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250014,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250015,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250016,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2252284,2026-03-26,wf-19288f01-p2d,2026-03-26,True,1,1,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250017,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250018,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250019,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250020,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250021,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250022,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250023,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2252293,2026-03-27,wf-19288f01-p2d,2026-03-27,True,12,12,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250024,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250025,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250026,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250027,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250028,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250029,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250030,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250031,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250032,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250033,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250034,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250035,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
2250036,2026-03-28,wf-19288f01-p2d,2026-03-28,True,20,20,1.0,1.0,1.0,1.0,1.0,4.5,2.9,ratio_of_means,pOver2=Phi(Phi^-1(pOver1)+(projTotal2-projTotal1)/sd),True,prior_only_passthrough,wf-19288f01-p1,,,,,,,,
