gameId,gameDate,refId,source,modelVersion,pick,prob,projValue,line,actual,result,correct,brier,signedError
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p1,HOME,0.45800,,-112,AWAY,LOSS,0,0.293764,
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p2,HOME,0.45800,,-112,AWAY,LOSS,0,0.293764,
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p2d,HOME,0.45800,,-112,AWAY,LOSS,0,0.293764,
2250007,2026-03-26,0,live_pregame,live,HOME,0.40080,,-128,HOME,WIN,1,0.160641,
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.43160,,-128,HOME,WIN,1,0.186279,
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.43160,,-128,HOME,WIN,1,0.186279,
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.43160,,-128,HOME,WIN,1,0.186279,
2250008,2026-03-26,0,live_pregame,live,HOME,0.39980,,+140,HOME,WIN,1,0.159840,
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.39920,,+140,HOME,WIN,1,0.159361,
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.39920,,+140,HOME,WIN,1,0.159361,
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.39920,,+140,HOME,WIN,1,0.159361,
2250009,2026-03-26,0,live_pregame,live,HOME,0.34920,,+150,AWAY,LOSS,0,0.423541,
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.37280,,+150,AWAY,LOSS,0,0.393380,
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.37280,,+150,AWAY,LOSS,0,0.393380,
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.37280,,+150,AWAY,LOSS,0,0.393380,
2250010,2026-03-26,0,live_pregame,live,HOME,0.35970,,+102,TIE,PUSH,,,
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.37160,,+102,TIE,PUSH,,,
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.37160,,+102,TIE,PUSH,,,
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.37160,,+102,TIE,PUSH,,,
2250011,2026-03-26,0,live_pregame,live,HOME,0.45710,,-180,TIE,PUSH,,,
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.44020,,-180,TIE,PUSH,,,
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.44020,,-180,TIE,PUSH,,,
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.44020,,-180,TIE,PUSH,,,
2250012,2026-03-26,0,live_pregame,live,HOME,0.38620,,+142,TIE,PUSH,,,
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.36210,,+142,TIE,PUSH,,,
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.36210,,+142,TIE,PUSH,,,
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.36210,,+142,TIE,PUSH,,,
2250013,2026-03-26,0,live_pregame,live,HOME,0.42440,,-148,AWAY,LOSS,0,0.331315,
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.43430,,-148,AWAY,LOSS,0,0.320016,
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.43430,,-148,AWAY,LOSS,0,0.320016,
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.43430,,-148,AWAY,LOSS,0,0.320016,
2250014,2026-03-26,0,live_pregame,live,HOME,0.44410,,-142,TIE,PUSH,,,
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.44260,,-142,TIE,PUSH,,,
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.44260,,-142,TIE,PUSH,,,
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.44260,,-142,TIE,PUSH,,,
2250015,2026-03-26,0,live_pregame,live,HOME,0.40220,,+124,HOME,WIN,1,0.161765,
