gameId,gameDate,refId,source,modelVersion,pick,prob,projValue,line,actual,result,correct,brier,signedError
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p1,UNDER,0.45620,4.1590,3.5,7.0,LOSS,0,0.295718,-2.841
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p2,UNDER,0.45620,4.1590,3.5,7.0,LOSS,0,0.295718,-2.841
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.45620,4.1590,3.5,7.0,LOSS,0,0.295718,-2.841
2250007,2026-03-26,0,live_pregame,live,UNDER,0.46000,4.0000,3.5,13.0,LOSS,0,0.291600,-9.000
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.46280,4.2080,3.5,13.0,LOSS,0,0.288584,-8.792
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.46280,4.2080,3.5,13.0,LOSS,0,0.288584,-8.792
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.46280,4.2080,3.5,13.0,LOSS,0,0.288584,-8.792
2250008,2026-03-26,0,live_pregame,live,OVER,0.56000,4.0000,4.5,9.0,WIN,1,0.193600,-5.000
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.48510,4.3710,4.5,9.0,LOSS,0,0.265122,-4.629
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.48510,4.3710,4.5,9.0,LOSS,0,0.265122,-4.629
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.48510,4.3710,4.5,9.0,LOSS,0,0.265122,-4.629
2250009,2026-03-26,0,live_pregame,live,OVER,0.51000,4.0000,3.5,10.0,WIN,1,0.240100,-6.000
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p1,OVER,0.52300,4.6690,3.5,10.0,WIN,1,0.227529,-5.331
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p2,OVER,0.52300,4.6690,3.5,10.0,WIN,1,0.227529,-5.331
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,OVER,0.52300,4.6690,3.5,10.0,WIN,1,0.227529,-5.331
2250010,2026-03-26,0,live_pregame,live,UNDER,0.42000,4.5000,4.5,0.0,WIN,1,0.176400,4.500
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.40260,4.2680,4.5,0.0,WIN,1,0.162087,4.268
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.40260,4.2680,4.5,0.0,WIN,1,0.162087,4.268
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.40260,4.2680,4.5,0.0,WIN,1,0.162087,4.268
2250011,2026-03-26,0,live_pregame,live,UNDER,0.41000,4.5000,3.5,0.0,WIN,1,0.168100,4.500
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.45170,4.6340,3.5,0.0,WIN,1,0.204033,4.634
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.45170,4.6340,3.5,0.0,WIN,1,0.204033,4.634
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.45170,4.6340,3.5,0.0,WIN,1,0.204033,4.634
2250012,2026-03-26,0,live_pregame,live,UNDER,0.42000,4.5000,4.5,0.0,WIN,1,0.176400,4.500
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.41930,4.3900,4.5,0.0,WIN,1,0.175812,4.390
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.41930,4.3900,4.5,0.0,WIN,1,0.175812,4.390
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.41930,4.3900,4.5,0.0,WIN,1,0.175812,4.390
2250013,2026-03-26,0,live_pregame,live,UNDER,0.40000,4.0000,3.5,8.0,LOSS,0,0.360000,-4.000
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.37290,3.5740,3.5,8.0,LOSS,0,0.393254,-4.426
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.37290,3.5740,3.5,8.0,LOSS,0,0.393254,-4.426
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.37290,3.5740,3.5,8.0,LOSS,0,0.393254,-4.426
2250014,2026-03-26,0,live_pregame,live,UNDER,0.45000,4.5000,4.5,2.0,WIN,1,0.202500,2.500
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.38230,4.1200,4.5,2.0,WIN,1,0.146153,2.120
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.38230,4.1200,4.5,2.0,WIN,1,0.146153,2.120
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.38230,4.1200,4.5,2.0,WIN,1,0.146153,2.120
2250015,2026-03-26,0,live_pregame,live,UNDER,0.42000,4.5000,4.5,5.0,LOSS,0,0.336400,-0.500
2250015,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.41630,4.3620,4.5,5.0,LOSS,0,0.340706,-0.638
2250015,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.41630,4.3620,4.5,5.0,LOSS,0,0.340706,-0.638
2250015,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.41630,4.3620,4.5,5.0,LOSS,0,0.340706,-0.638
2250016,2026-03-26,0,live_pregame,live,OVER,0.51000,3.5000,3.5,6.0,WIN,1,0.240100,-2.500
2250016,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.47980,3.8460,3.5,6.0,LOSS,0,0.270608,-2.154
2250016,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.47980,3.8460,3.5,6.0,LOSS,0,0.270608,-2.154
2250016,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.47980,3.8460,3.5,6.0,LOSS,0,0.270608,-2.154
2252284,2026-03-26,0,live_pregame,live,UNDER,0.34000,5.0000,4.5,6.0,LOSS,0,0.435600,-1.000
2252284,2026-03-26,0,walkforward_replay,wf-19288f01-p1,UNDER,0.39570,4.6560,4.5,6.0,LOSS,0,0.365178,-1.344
2252284,2026-03-26,0,walkforward_replay,wf-19288f01-p2,UNDER,0.39570,4.6560,4.5,6.0,LOSS,0,0.365178,-1.344
2252284,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.39570,4.6560,4.5,6.0,LOSS,0,0.365178,-1.344
2250017,2026-03-27,0,live_pregame,live,UNDER,0.41000,4.5000,4.5,0.0,WIN,1,0.168100,4.500
2250017,2026-03-27,0,walkforward_replay,wf-19288f01-p1,UNDER,0.40850,4.3060,4.5,0.0,WIN,1,0.166872,4.306
2250017,2026-03-27,0,walkforward_replay,wf-19288f01-p2,UNDER,0.40850,4.3060,4.5,0.0,WIN,1,0.166872,4.306
2250017,2026-03-27,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.40850,4.3060,4.5,0.0,WIN,1,0.166872,4.306
2250018,2026-03-27,0,live_pregame,live,UNDER,0.50000,4.5000,4.5,3.0,WIN,1,0.250000,1.500
2250018,2026-03-27,0,walkforward_replay,wf-19288f01-p1,UNDER,0.43960,4.5430,4.5,3.0,WIN,1,0.193248,1.543
2250018,2026-03-27,0,walkforward_replay,wf-19288f01-p2,UNDER,0.43960,4.5430,4.5,3.0,WIN,1,0.193248,1.543
2250018,2026-03-27,0,walkforward_replay,wf-19288f01-p2d,UNDER,0.43960,4.5430,4.5,3.0,WIN,1,0.193248,1.543
2250019,2026-03-27,0,live_pregame,live,UNDER,0.42000,4.5000,4.5,3.0,WIN,1,0.176400,1.500
