gameId,gameDate,refId,source,modelVersion,pick,prob,projValue,line,actual,result,correct,brier,signedError
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p1,HOME,0.37000,0.0500,-1.5,AWAY,LOSS,0,0.396900,-6.950
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p2,HOME,0.37000,0.0500,-1.5,AWAY,LOSS,0,0.396900,-6.950
2250006,2026-03-25,0,walkforward_replay,wf-19288f01-p2d,HOME,0.37000,0.0500,-1.5,AWAY,LOSS,0,0.396900,-6.950
2250007,2026-03-26,0,live_pregame,live,HOME,,-0.5100,-1.5,HOME,WIN,1,,3.490
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.35940,-0.1000,-1.5,HOME,WIN,1,0.129168,3.900
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.35940,-0.1000,-1.5,HOME,WIN,1,0.129168,3.900
2250007,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.35940,-0.1000,-1.5,HOME,WIN,1,0.129168,3.900
2250008,2026-03-26,0,live_pregame,live,AWAY,,-0.7000,1.5,HOME,LOSS,0,,11.300
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p1,AWAY,0.58210,-0.5500,1.5,HOME,LOSS,0,0.338840,11.450
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p2,AWAY,0.58210,-0.5500,1.5,HOME,LOSS,0,0.338840,11.450
2250008,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,AWAY,0.58210,-0.5500,1.5,HOME,LOSS,0,0.338840,11.450
2250009,2026-03-26,0,live_pregame,live,AWAY,,-1.4500,1.5,AWAY,WIN,1,,-7.450
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p1,AWAY,0.53110,-1.1200,1.5,AWAY,WIN,1,0.219867,-7.120
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p2,AWAY,0.53110,-1.1200,1.5,AWAY,WIN,1,0.219867,-7.120
2250009,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,AWAY,0.53110,-1.1200,1.5,AWAY,WIN,1,0.219867,-7.120
2250010,2026-03-26,0,live_pregame,live,AWAY,,-1.2200,1.5,AWAY,WIN,1,,-0.220
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p1,AWAY,0.54540,-1.0000,1.5,AWAY,WIN,1,0.206661,0.000
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p2,AWAY,0.54540,-1.0000,1.5,AWAY,WIN,1,0.206661,0.000
2250010,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,AWAY,0.54540,-1.0000,1.5,AWAY,WIN,1,0.206661,0.000
2250011,2026-03-26,0,live_pregame,live,HOME,,0.1500,-1.5,AWAY,LOSS,0,,-2.850
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.36480,-0.1400,-1.5,AWAY,LOSS,0,0.403479,-3.140
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.36480,-0.1400,-1.5,AWAY,LOSS,0,0.403479,-3.140
2250011,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.36480,-0.1400,-1.5,AWAY,LOSS,0,0.403479,-3.140
2250012,2026-03-26,0,live_pregame,live,AWAY,,-0.8700,1.5,AWAY,WIN,1,,-3.870
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p1,AWAY,0.52340,-1.2300,1.5,AWAY,WIN,1,0.227148,-4.230
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p2,AWAY,0.52340,-1.2300,1.5,AWAY,WIN,1,0.227148,-4.230
2250012,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,AWAY,0.52340,-1.2300,1.5,AWAY,WIN,1,0.227148,-4.230
2250013,2026-03-26,0,live_pregame,live,HOME,,-0.1800,-1.5,AWAY,LOSS,0,,-6.180
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.35000,-0.0200,-1.5,AWAY,LOSS,0,0.422500,-6.020
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.35000,-0.0200,-1.5,AWAY,LOSS,0,0.422500,-6.020
2250013,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.35000,-0.0200,-1.5,AWAY,LOSS,0,0.422500,-6.020
2250014,2026-03-26,0,live_pregame,live,HOME,,-0.1000,-1.5,HOME,WIN,1,,1.900
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p1,HOME,0.36340,-0.0400,-1.5,HOME,WIN,1,0.132060,1.960
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p2,HOME,0.36340,-0.0400,-1.5,HOME,WIN,1,0.132060,1.960
2250014,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,HOME,0.36340,-0.0400,-1.5,HOME,WIN,1,0.132060,1.960
2250015,2026-03-26,0,live_pregame,live,AWAY,,-0.5900,1.5,HOME,LOSS,0,,1.410
2250015,2026-03-26,0,walkforward_replay,wf-19288f01-p1,AWAY,0.62820,-0.0200,1.5,HOME,LOSS,0,0.394635,1.980
2250015,2026-03-26,0,walkforward_replay,wf-19288f01-p2,AWAY,0.62820,-0.0200,1.5,HOME,LOSS,0,0.394635,1.980
2250015,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,AWAY,0.62820,-0.0200,1.5,HOME,LOSS,0,0.394635,1.980
2250016,2026-03-26,0,live_pregame,live,AWAY,,-0.8000,1.5,AWAY,WIN,1,,-2.800
2250016,2026-03-26,0,walkforward_replay,wf-19288f01-p1,AWAY,0.57830,-0.6800,1.5,AWAY,WIN,1,0.177831,-2.680
2250016,2026-03-26,0,walkforward_replay,wf-19288f01-p2,AWAY,0.57830,-0.6800,1.5,AWAY,WIN,1,0.177831,-2.680
2250016,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,AWAY,0.57830,-0.6800,1.5,AWAY,WIN,1,0.177831,-2.680
2252284,2026-03-26,0,live_pregame,live,AWAY,,-1.4200,1.5,HOME,LOSS,0,,4.580
2252284,2026-03-26,0,walkforward_replay,wf-19288f01-p1,AWAY,0.50240,-1.4500,1.5,HOME,LOSS,0,0.252406,4.550
2252284,2026-03-26,0,walkforward_replay,wf-19288f01-p2,AWAY,0.50240,-1.4500,1.5,HOME,LOSS,0,0.252406,4.550
2252284,2026-03-26,0,walkforward_replay,wf-19288f01-p2d,AWAY,0.50240,-1.4500,1.5,HOME,LOSS,0,0.252406,4.550
2250017,2026-03-27,0,live_pregame,live,HOME,,0.3600,-1.5,AWAY,LOSS,0,,-2.640
2250017,2026-03-27,0,walkforward_replay,wf-19288f01-p1,HOME,0.33820,-0.3700,-1.5,AWAY,LOSS,0,0.437979,-3.370
2250017,2026-03-27,0,walkforward_replay,wf-19288f01-p2,HOME,0.33820,-0.3700,-1.5,AWAY,LOSS,0,0.437979,-3.370
