bucketBy,bucket,series,n,mean_pfav,fav_winrate,brier,brier_se,logloss
favStrength,1_tossup[.500-.525),live_cond,503,0.5123,0.5010,0.2500,0.0006,0.6932
favStrength,2_[.525-.550),live_cond,360,0.5369,0.5444,0.2481,0.0020,0.6894
favStrength,3_[.550-.600),live_cond,343,0.5684,0.5452,0.2491,0.0038,0.6914
favStrength,4_[.600-.650),live_cond,81,0.6186,0.6173,0.2337,0.0127,0.6599
favStrength,5_[.650+],live_cond,11,0.6635,0.6364,0.2291,0.0469,0.6503
favSide,homeFav,live_cond,669,0.5414,0.5620,0.2461,0.0020,0.6853
favSide,awayFav,live_cond,629,0.5424,0.5024,0.2501,0.0022,0.6934
ALL,ALL,live_cond,1298,0.5419,0.5331,0.2481,0.0015,0.6892
favStrength,1_tossup[.500-.525),p1_cond,460,0.5123,0.4848,0.2502,0.0007,0.6936
favStrength,2_[.525-.550),p1_cond,335,0.5369,0.5881,0.2451,0.0020,0.6833
favStrength,3_[.550-.600),p1_cond,403,0.5702,0.5732,0.2445,0.0035,0.6821
favStrength,4_[.600-.650),p1_cond,103,0.6173,0.6311,0.2330,0.0112,0.6588
favStrength,5_[.650+],p1_cond,12,0.6680,0.5000,0.2777,0.0487,0.7521
favSide,homeFav,p1_cond,673,0.5456,0.5765,0.2430,0.0022,0.6791
favSide,awayFav,p1_cond,640,0.5465,0.5219,0.2492,0.0023,0.6917
ALL,ALL,p1_cond,1313,0.5460,0.5499,0.2461,0.0016,0.6852
favStrength,1_tossup[.500-.525),p2_raw,215,0.5133,0.4977,0.2500,0.0010,0.6932
favStrength,2_[.525-.550),p2_raw,333,0.5380,0.4925,0.2515,0.0021,0.6961
favStrength,3_[.550-.600),p2_raw,573,0.5718,0.5497,0.2471,0.0030,0.6872
favStrength,4_[.600-.650),p2_raw,155,0.6181,0.6452,0.2293,0.0091,0.6511
favStrength,5_[.650+],p2_raw,37,0.6811,0.5676,0.2575,0.0297,0.7107
favSide,homeFav,p2_raw,1234,0.5651,0.5357,0.2467,0.0021,0.6865
favSide,awayFav,p2_raw,79,0.5170,0.5823,0.2496,0.0025,0.6924
ALL,ALL,p2_raw,1313,0.5622,0.5385,0.2469,0.0020,0.6869
