gameId,gameDate,month,awayTeam,homeTeam,mlbGamePk,venue,parkFactor3yr,actualF5Away,actualF5Home,actualF5Total,f5Tie,awayF5Win,awayCover,games_actualF5Away,games_actualF5Home,gamesF5Mismatch,inn1Total,awayStarterId,homeStarterId,awayStarterOutsGame,homeStarterOutsGame,awayStarterAsofIp,awayStarterPriorStarts,homeStarterAsofIp,homeStarterPriorStarts,matchupAsofIp,awayTeamAsofDepth,homeTeamAsofDepth,matchupTeamAsofDepth,bookTotal,totalLineUsed,totalLineSource,book_f5Total,live_awayAbs,live_homeAbs,live_pushAdj,live_tRaw,live_rlCoverStored,live_rlCoverFixed,live_condAway,live_projF5Total,live_synthLine,live_overRate,p1_pF5AwayMl,p1_projF5Total,p1_pF5Over,p1_pF5AwayRl,p1_projTotal,p1_tRaw,p1_pushAdj,p1_homeAbs,p1_condAway,p2_pF5AwayMl,p2_projF5Total,p2_pF5Over,p2_pF5AwayRl,calib_month,calib_T_f5,calib_league_env_mult,calib_f5_total_sd
2250006,2026-03-25,2026-03,NYY,SF,823244,Oracle Park,0.9410097101514341,7,0,7,0,1,1,7,0,0,0,608331,657277,19,15,,0,,0,,,,,7.0,7.0,bookTotal,3.5,,,,,,,,,,,0.458,4.159,0.4562,0.6298,7.75,0.17774813322310218,0.1669288799338613,0.37507112006613874,0.5497729893260959,0.458,4.159,0.4562,0.6298,2026-03,1.0,1.0,2.9
2250007,2026-03-26,2026-03,PIT,NYM,823649,Citi Field,1.0238596433357876,4,9,13,0,0,0,4,9,0,7,694973,642547,2,15,,0,,0,,,,,7.0,7.0,bookTotal,3.5,0.4008,0.43310000000000004,0.1661,0.1763,0.4808,0.5721975416716633,0.48063316944477746,4.2,4.0,0.46,0.4316,4.208,0.4628,0.6028,7.9,0.176552990402416,0.1662117942414496,0.4021882057585504,0.5176374491977203,0.4316,4.208,0.4628,0.6028,2026-03,1.0,1.0,2.9
2250008,2026-03-26,2026-03,CWS,MIL,823812,American Family Field,0.9522189984168762,1,8,9,0,0,0,1,8,0,1,681343,694819,5,15,,0,,0,,,,,7.5,7.5,bookTotal,4.5,0.3998,0.44780000000000003,0.1524,0.1535,0.4717,0.5527811467673431,0.47168475696083056,4.99,4.0,0.56,0.3992,4.371,0.4851,0.5666,8.22,0.17133754940729978,0.16308252964437986,0.43771747035562014,0.47698848947480244,0.3992,4.371,0.4851,0.5666,2026-03,1.0,1.0,2.9
2250009,2026-03-26,2026-03,WSH,CHC,824704,Wrigley Field,1.005140346320558,7,3,10,0,1,1,7,3,0,0,676917,571510,11,11,,0,,0,,,,,7.0,7.0,bookTotal,3.5,0.3492,0.493,0.1577,0.1624,0.41490000000000005,0.5096514780956903,0.4146283543101401,4.58,4.0,0.51,0.3728,4.669,0.523,0.5324,8.76,0.1615131946754933,0.15718791680529598,0.470012083194704,0.4423287319124456,0.3728,4.669,0.523,0.5324,2026-03,1.0,1.0,2.9
2250010,2026-03-26,2026-03,MIN,BAL,824865,Oriole Park at Camden Yards,1.0451331923662392,0,0,0,1,0,1,0,0,0,0,657746,669432,16,21,,0,,0,,,,,8.5,8.5,bookTotal,4.5,0.35969999999999996,0.4789,0.1614,0.1685,0.4292,0.5251546029096112,0.4289291676603863,4.42,4.5,0.42,0.3716,4.268,0.4026,0.5422,8.02,0.17491102181650223,0.16522661308990133,0.46317338691009874,0.4451507508827897,0.3716,4.268,0.4026,0.5422,2026-03,1.0,1.0,2.9
2250011,2026-03-26,2026-03,BOS,CIN,824541,Great American Ball Park,0.9902854490964874,0,0,0,1,0,1,0,0,0,0,676979,671096,18,18,,0,,0,,,,,8.0,8.0,bookTotal,3.5,0.4571,0.3791,0.1638,0.1725,0.5475,0.6248442358287492,0.5466395599138961,4.32,4.5,0.41,0.4402,4.634,0.4517,0.6015,8.62,0.16410594426706948,0.1587435665602417,0.4010564334397584,0.5232649433658356,0.4402,4.634,0.4517,0.6015,2026-03,1.0,1.0,2.9
2250012,2026-03-26,2026-03,LAA,HOU,824218,Daikin Park,0.9911732357433639,0,0,0,1,0,1,0,0,0,0,667755,686613,18,14,,0,,0,,,,,8.0,8.0,bookTotal,4.5,0.3862,0.45030000000000003,0.1635,0.172,0.4608,0.55427567244471,0.461685594739988,4.37,4.5,0.42,0.3621,4.39,0.4193,0.5286,8.3,0.16980227490247043,0.16216136494148226,0.47573863505851777,0.43218345973590677,0.3621,4.39,0.4193,0.5286,2026-03,1.0,1.0,2.9
2250013,2026-03-26,2026-03,DET,SD,823325,Petco Park,0.8944051349677884,8,0,8,0,1,1,8,0,0,4,669373,601713,18,9,,0,,0,,,,,7.0,7.0,bookTotal,3.5,0.4244,0.4,0.1757,0.1923,0.5146000000000001,0.6081533058352542,0.514798641436196,3.7800000000000002,4.0,0.4,0.4343,3.574,0.3729,0.625,6.76,0.20147137654877884,0.1811628259292673,0.3845371740707327,0.5303862767257369,0.4343,3.574,0.3729,0.625,2026-03,1.0,1.0,2.9
2250014,2026-03-26,2026-03,TB,STL,823081,Busch Stadium,0.9270781176097251,1,1,2,1,0,1,1,1,0,0,656876,669461,15,15,,0,,0,,,,,8.0,8.0,bookTotal,4.5,0.44409999999999994,0.3978,0.158,0.1629,0.5283,0.6044155700712588,0.5274973274735717,4.65,4.5,0.45,0.4426,4.12,0.3823,0.6162,7.81,0.17979148498418512,0.16815489099051106,0.38924510900948894,0.5320702077902717,0.4426,4.12,0.3823,0.6162,2026-03,1.0,1.0,2.9
2250015,2026-03-26,2026-03,TEX,PHI,823486,Citizens Bank Park,1.0484931745187165,0,5,5,0,0,0,0,5,0,2,543135,650911,14,18,,0,,0,,,,,8.0,8.0,bookTotal,4.5,0.4022,0.43520000000000003,0.1625,0.1704,0.4808,0.5688061134328357,0.480296154764748,4.38,4.5,0.42,0.4423,4.362,0.4163,0.6093,8.16,0.17136953166949345,0.16310171900169607,0.3945982809983039,0.5284991139812084,0.4423,4.362,0.4163,0.6093,2026-03,1.0,1.0,2.9
2250016,2026-03-26,2026-03,CLE,SEA,823163,T-Mobile Park,0.8411265978531404,3,3,6,1,0,1,3,3,0,2,676440,669302,15,16,,0,,0,,,,,6.5,6.5,bookTotal,3.5,0.3826,0.44909999999999994,0.1683,0.1801,0.4608,0.5572717446194542,0.46002164241914156,4.1,3.5,0.51,0.3837,3.846,0.4798,0.5665,7.3,0.19012964140037078,0.17435778484022246,0.4419422151597776,0.46472914411934074,0.3837,3.846,0.4798,0.5665,2026-03,1.0,1.0,2.9
