team,n_games,actualF5RS2026,TEAM_F5_RS_3yr,staleGap,p2_totalBias_teamGames,actualF5Total_teamGames
ARI,104,2.4327,2.9591,-0.5264,+0.0191,5.106
ATH,103,2.5049,2.3794,+0.1255,-0.2865,5.660
ATL,103,2.7379,2.4176,+0.3203,-0.3457,5.107
BAL,104,2.4904,2.5367,-0.0463,-0.1948,5.212
BOS,102,2.4216,2.6228,-0.2012,-0.0875,4.735
CHC,103,2.6990,2.7130,-0.0140,-0.3900,5.233
CIN,102,2.5098,2.5569,-0.0471,-0.2139,5.098
CLE,105,2.2095,2.3206,-0.1111,+0.1682,4.295
COL,105,2.7048,2.1500,+0.5548,-0.0791,6.038
CWS,102,2.9118,2.0411,+0.8707,-1.0464,5.520
DET,104,2.5192,2.5412,-0.0220,-0.0648,4.606
HOU,105,2.7048,2.4926,+0.2122,-1.1129,5.971
KC,105,2.2095,2.3029,-0.0934,-0.3412,5.086
LAA,104,2.6058,2.3548,+0.2510,-0.5384,5.250
LAD,104,2.8269,2.9172,-0.0903,+0.1248,4.769
MIA,104,2.5769,2.3167,+0.2602,-0.3368,5.038
MIL,103,2.6214,2.8348,-0.2134,+0.0130,4.612
MIN,105,3.0476,2.4663,+0.5813,-0.9930,5.838
NYM,104,2.2115,2.6844,-0.4729,-0.0313,4.904
NYY,103,2.4951,2.9588,-0.4637,+0.0591,4.650
PHI,104,2.3846,2.6206,-0.2360,+0.1503,4.856
PIT,104,2.9327,2.1912,+0.7415,-0.5239,5.356
SD,104,2.0962,2.5706,-0.4744,-0.1380,4.750
SEA,104,2.2788,2.4588,-0.1800,+0.0121,4.260
SF,103,2.1456,2.3412,-0.1956,-0.0498,4.913
STL,103,2.5146,2.2757,+0.2389,-0.1164,4.816
TB,103,2.4951,2.3127,+0.1824,-0.0410,4.583
TEX,103,2.4757,2.3900,+0.0857,-0.5883,5.087
TOR,104,1.9135,2.4706,-0.5571,+0.3365,4.356
WSH,104,3.0865,2.3118,+0.7747,-0.4741,5.798
