sliceType,sliceKey,n,actual_mean,p1_proj_mean,p1_bias,p1_bias_se,p1_bias_pct,p2_proj_mean,p2_bias,p2_bias_se,p2_bias_pct,live_n,live_bias,live_bias_se,p2atlive_bias
starterIpDepth,1_lt4.5,162,5.265,4.845,-0.421,0.278,-7.99,4.950,-0.316,0.278,-6.00,158,-0.521,0.282,-0.333
starterIpDepth,2_4.5-5.0,231,5.173,5.079,-0.094,0.182,-1.82,5.186,0.013,0.183,0.25,228,-0.246,0.184,0.052
starterIpDepth,3_5.0-5.5,513,5.207,4.747,-0.460,0.152,-8.83,4.854,-0.353,0.152,-6.77,506,-0.519,0.155,-0.357
starterIpDepth,4_ge5.5,410,4.756,4.414,-0.343,0.154,-7.20,4.512,-0.244,0.153,-5.13,409,-0.323,0.157,-0.245
starterIpDepth,no-prior-start,239,4.958,4.723,-0.235,0.197,-4.74,4.792,-0.166,0.197,-3.34,235,-0.244,0.198,-0.195
teamBullpenDepthQ,Q1_le4.83,308,5.253,5.087,-0.166,0.188,-3.17,5.170,-0.083,0.188,-1.58,302,-0.209,0.192,-0.115
teamBullpenDepthQ,Q2_le5.02,309,5.485,4.717,-0.768,0.203,-14.00,4.828,-0.657,0.203,-11.98,305,-0.859,0.206,-0.660
teamBullpenDepthQ,Q3_le5.16,307,4.945,4.627,-0.317,0.181,-6.42,4.735,-0.210,0.181,-4.24,302,-0.332,0.182,-0.197
teamBullpenDepthQ,Q4_le5.31,308,4.961,4.632,-0.329,0.171,-6.63,4.738,-0.223,0.171,-4.49,307,-0.399,0.174,-0.212
teamBullpenDepthQ,Q5_gt5.31,308,4.607,4.530,-0.077,0.168,-1.67,4.621,0.014,0.168,0.30,306,-0.117,0.170,0.005
teamBullpenDepthQ,none,15,5.067,4.316,-0.751,0.993,-14.82,4.316,-0.751,0.993,-14.82,14,-0.535,1.045,-0.601
team(seasonStarterIp=4.30),WSH,104,5.798,5.216,-0.582,0.321,-10.04,5.324,-0.474,0.322,-8.18,103,-0.557,0.329,-0.463
team(seasonStarterIp=4.34),CWS,102,5.520,4.383,-1.137,0.362,-20.60,4.473,-1.046,0.362,-18.96,101,-0.985,0.370,-1.062
team(seasonStarterIp=4.56),SD,104,4.750,4.518,-0.232,0.323,-4.89,4.612,-0.138,0.323,-2.90,102,-0.392,0.327,-0.217
team(seasonStarterIp=4.61),COL,105,6.038,5.836,-0.202,0.360,-3.34,5.959,-0.079,0.359,-1.31,101,-0.653,0.368,-0.185
team(seasonStarterIp=4.64),TOR,104,4.356,4.596,0.240,0.284,5.51,4.692,0.337,0.285,7.73,103,0.302,0.287,0.335
team(seasonStarterIp=4.67),NYM,104,4.904,4.771,-0.133,0.340,-2.71,4.873,-0.031,0.341,-0.64,102,-0.356,0.343,-0.117
team(seasonStarterIp=4.85),HOU,105,5.971,4.762,-1.209,0.354,-20.25,4.859,-1.113,0.355,-18.64,105,-1.183,0.351,-1.113
team(seasonStarterIp=4.88),ATH,103,5.660,5.262,-0.399,0.348,-7.04,5.374,-0.286,0.348,-5.06,102,-0.419,0.356,-0.236
team(seasonStarterIp=4.93),TB,103,4.583,4.448,-0.134,0.294,-2.93,4.542,-0.041,0.294,-0.89,102,-0.066,0.299,-0.030
team(seasonStarterIp=5.05),MIL,103,4.612,4.531,-0.081,0.290,-1.75,4.625,0.013,0.290,0.28,102,0.060,0.295,0.014
team(seasonStarterIp=5.05),LAA,104,5.250,4.618,-0.632,0.301,-12.04,4.712,-0.538,0.301,-10.26,104,-0.561,0.305,-0.538
team(seasonStarterIp=5.10),PIT,104,5.356,4.733,-0.622,0.372,-11.62,4.832,-0.524,0.372,-9.78,102,-0.732,0.382,-0.520
team(seasonStarterIp=5.11),ATL,103,5.107,4.664,-0.442,0.286,-8.66,4.761,-0.346,0.286,-6.77,102,-0.513,0.291,-0.312
team(seasonStarterIp=5.11),MIA,104,5.038,4.604,-0.435,0.269,-8.63,4.702,-0.337,0.269,-6.68,103,-0.447,0.278,-0.333
team(seasonStarterIp=5.14),BOS,102,4.735,4.556,-0.180,0.290,-3.79,4.648,-0.087,0.291,-1.85,99,-0.280,0.302,-0.075
team(seasonStarterIp=5.14),DET,104,4.606,4.448,-0.158,0.281,-3.43,4.541,-0.065,0.282,-1.41,103,-0.121,0.286,-0.075
team(seasonStarterIp=5.15),CHC,103,5.233,4.743,-0.490,0.338,-9.37,4.843,-0.390,0.338,-7.45,102,-0.580,0.341,-0.361
team(seasonStarterIp=5.15),CIN,102,5.098,4.783,-0.315,0.307,-6.19,4.884,-0.214,0.307,-4.20,101,-0.312,0.310,-0.183
team(seasonStarterIp=5.17),TEX,103,5.087,4.406,-0.681,0.250,-13.39,4.499,-0.588,0.250,-11.56,101,-0.963,0.257,-0.607
team(seasonStarterIp=5.22),MIN,105,5.838,4.747,-1.091,0.334,-18.69,4.845,-0.993,0.334,-17.01,104,-1.089,0.343,-0.987
team(seasonStarterIp=5.23),KC,105,5.086,4.648,-0.438,0.348,-8.60,4.745,-0.341,0.348,-6.71,104,-0.512,0.351,-0.347
team(seasonStarterIp=5.23),STL,103,4.816,4.604,-0.212,0.318,-4.40,4.699,-0.116,0.320,-2.42,101,-0.199,0.324,-0.141
team(seasonStarterIp=5.33),BAL,104,5.212,4.912,-0.300,0.300,-5.75,5.017,-0.195,0.301,-3.74,102,-0.392,0.304,-0.179
team(seasonStarterIp=5.35),PHI,104,4.856,4.905,0.050,0.308,1.02,5.006,0.150,0.309,3.10,103,-0.025,0.302,0.205
team(seasonStarterIp=5.36),NYY,103,4.650,4.610,-0.040,0.305,-0.86,4.710,0.059,0.305,1.27,101,0.120,0.312,0.064
team(seasonStarterIp=5.41),SF,103,4.913,4.761,-0.152,0.340,-3.09,4.863,-0.050,0.339,-1.01,102,-0.380,0.348,-0.022
team(seasonStarterIp=5.45),ARI,104,5.106,5.018,-0.088,0.301,-1.73,5.125,0.019,0.302,0.37,103,-0.240,0.308,0.017
team(seasonStarterIp=5.52),CLE,105,4.295,4.370,0.074,0.276,1.73,4.463,0.168,0.276,3.92,104,-0.034,0.281,0.167
team(seasonStarterIp=5.56),LAD,104,4.769,4.795,0.026,0.296,0.54,4.894,0.125,0.296,2.62,104,-0.072,0.296,0.125
team(seasonStarterIp=5.76),SEA,104,4.260,4.184,-0.076,0.284,-1.79,4.272,0.012,0.285,0.28,104,0.048,0.277,0.012
parkPfTercile,pf_low[0.841-0.959],518,4.442,4.256,-0.186,0.126,-4.19,4.346,-0.096,0.126,-2.15,511,-0.191,0.128,-0.093
parkPfTercile,pf_mid[0.959-1.005],518,4.994,4.630,-0.364,0.141,-7.28,4.726,-0.269,0.141,-5.38,515,-0.391,0.142,-0.263
parkPfTercile,pf_high[1.005-1.264],519,5.715,5.257,-0.457,0.156,-8.00,5.368,-0.347,0.156,-6.07,510,-0.572,0.158,-0.362
park,ARI(pf=1.080),53,5.358,5.218,-0.141,0.494,-2.63,5.326,-0.032,0.496,-0.60,52,-0.252,0.508,-0.037
park,ATH(pf=1.248),50,6.920,5.937,-0.983,0.528,-14.21,6.068,-0.852,0.528,-12.31,50,-1.218,0.535,-0.852
park,ATL(pf=0.977),52,4.731,4.574,-0.157,0.381,-3.32,4.657,-0.074,0.383,-1.56,52,-0.359,0.392,-0.074
park,BAL(pf=1.045),54,5.352,5.104,-0.248,0.401,-4.64,5.211,-0.141,0.405,-2.63,53,-0.337,0.402,-0.119
park,BOS(pf=0.954),52,4.673,4.380,-0.293,0.359,-6.26,4.476,-0.197,0.359,-4.21,51,-0.369,0.379,-0.178
park,CHC(pf=1.005),52,5.654,4.786,-0.867,0.507,-15.34,4.885,-0.769,0.507,-13.60,51,-1.046,0.514,-0.718
park,CIN(pf=0.990),50,5.020,4.794,-0.226,0.451,-4.50,4.885,-0.135,0.451,-2.70,50,-0.184,0.450,-0.135
park,CLE(pf=0.921),53,4.491,4.230,-0.260,0.397,-5.80,4.323,-0.168,0.395,-3.74,53,-0.444,0.398,-0.168
park,COL(pf=1.264),53,6.509,6.514,0.004,0.496,0.07,6.659,0.150,0.494,2.30,49,-0.682,0.509,-0.050
park,CWS(pf=0.953),49,4.449,4.313,-0.136,0.449,-3.05,4.409,-0.040,0.445,-0.90,48,-0.034,0.464,-0.051
park,DET(pf=0.935),52,4.327,4.316,-0.011,0.424,-0.25,4.416,0.089,0.425,2.06,51,0.055,0.424,0.072
park,HOU(pf=0.991),53,5.679,4.685,-0.995,0.480,-17.51,4.777,-0.902,0.481,-15.88,53,-0.862,0.477,-0.902
park,KC(pf=0.998),53,5.170,4.649,-0.521,0.521,-10.07,4.753,-0.417,0.523,-8.06,52,-0.726,0.531,-0.430
park,LAA(pf=0.977),52,5.019,4.601,-0.419,0.441,-8.34,4.706,-0.313,0.441,-6.23,52,-0.281,0.448,-0.313
park,LAD(pf=1.001),50,4.560,4.696,0.136,0.428,2.99,4.792,0.232,0.427,5.09,50,-0.036,0.439,0.232
park,MIA(pf=0.959),52,4.788,4.418,-0.371,0.370,-7.74,4.515,-0.273,0.370,-5.71,51,-0.351,0.381,-0.265
park,MIL(pf=0.952),54,4.593,4.348,-0.245,0.350,-5.33,4.429,-0.164,0.350,-3.56,54,-0.018,0.351,-0.164
