rank,score,driver,gameId,gameDate,awayTeam,homeTeam,venue,parkFactor3yr,totalLineUsed,actualF5,p2_projF5Total,p1_condAway,p1_pF5AwayRl,awayCover,outcome,awayStarterOutsGame,homeStarterOutsGame,matchupAsofIp,ml3_z,rl_z,tot_z,tags
1,7.11,total,2250461,2026-05-02,CIN,PIT,PNC Park,1.051,8.0,4-15,5.02,0.544,0.6158,0,home,4,17,5.07,-0.00,1.44,5.67,EARLY_KO|F5_BLOWUP|MISS_OVER4+
2,6.52,total,2251286,2026-07-07,KC,NYM,Citi Field,1.024,8.5,9-9,5.38,0.499,0.5733,1,tie,13,3,3.33,2.21,-0.68,5.00,EARLY_KO|F5_BLOWUP|TIE|SHORT_DEPTH|MISS_OVER4+
3,6.06,total,2250228,2026-04-13,BOS,MIN,Target Field,1.039,7.5,3-13,4.531,0.550,0.625,0,home,5,18,5.17,0.06,1.57,4.43,EARLY_KO|F5_BLOWUP|MISS_OVER4+
4,5.65,total,2251150,2026-06-26,KC,CWS,Rate Field,0.953,9.0,1-13,4.693,0.584,0.6516,0,home,4,18,,0.36,1.93,3.36,EARLY_KO|F5_BLOWUP|FAV58_LOST|NO_PRIOR_START|MISS_OVER4+
5,5.64,total,2250372,2026-04-25,SEA,STL,Busch Stadium,0.927,7.5,6-7,3.993,0.584,0.6603,0,home,9,10,5.90,0.37,2.06,3.21,F5_BLOWUP|FAV58_LOST|MISS_OVER4+
6,5.50,total,2251348,2026-07-12,MIL,PIT,PNC Park,1.051,8.5,2-14,4.864,0.532,0.6073,0,home,9,16,5.42,-0.10,1.33,4.26,F5_BLOWUP|MISS_OVER4+
7,5.22,total,2251239,2026-07-03,SF,COL,Coors Field,1.264,11.5,2-14,5.756,0.548,0.6108,0,home,9,18,5.64,0.02,1.38,3.82,F5_BLOWUP|HIGH_PARK|HIGH_LINE|MISS_OVER4+
8,5.21,total,2251006,2026-06-14,COL,ATH,Sutter Health Park,1.248,14.0,14-8,6.383,0.517,0.579,1,away,15,12,5.31,-0.53,-0.73,6.48,F5_BLOWUP|HIGH_PARK|HIGH_LINE|MISS_OVER4+
9,4.98,total,2251275,2026-07-06,HOU,WSH,Nationals Park,1.153,10.0,6-12,6.11,0.495,0.5628,0,home,13,18,5.08,-0.43,0.77,4.64,F5_BLOWUP|HIGH_PARK|HIGH_LINE|MISS_OVER4+
10,4.93,total,2251087,2026-06-21,STL,KC,Kauffman Stadium,0.998,9.0,12-7,4.229,0.498,0.5875,1,away,6,5,6.06,-0.32,-0.81,6.06,EARLY_KO|F5_BLOWUP|MISS_OVER4+
