gameId,gameDate,series,market,games_f5,linescore_f5,pick,stored_actual_side,stored_result,true_actual_side,true_result,flip
2250733,2026-05-23,live,f5_ml,3-1,1-5,HOME,AWAY,LOSS,HOME,WIN,FLIP
2250733,2026-05-23,live,f5_rl,3-1,1-5,AWAY,AWAY,WIN,HOME,LOSS,FLIP
2250733,2026-05-23,live,f5_total,3-1,1-5,UNDER,OVER,LOSS,OVER,LOSS,
2250733,2026-05-23,wf-19288f01-p1,f5_ml,3-1,1-5,AWAY,AWAY,WIN,HOME,LOSS,FLIP
2250733,2026-05-23,wf-19288f01-p1,f5_rl,3-1,1-5,AWAY,AWAY,WIN,HOME,LOSS,FLIP
2250733,2026-05-23,wf-19288f01-p1,f5_total,3-1,1-5,UNDER,OVER,LOSS,OVER,LOSS,
2250733,2026-05-23,wf-19288f01-p2,f5_ml,3-1,1-5,AWAY,AWAY,WIN,HOME,LOSS,FLIP
2250733,2026-05-23,wf-19288f01-p2,f5_rl,3-1,1-5,AWAY,AWAY,WIN,HOME,LOSS,FLIP
2250733,2026-05-23,wf-19288f01-p2,f5_total,3-1,1-5,OVER,OVER,WIN,OVER,WIN,
2250738,2026-05-24,live,f5_ml,4-1,2-0,AWAY,AWAY,WIN,AWAY,WIN,
2250738,2026-05-24,live,f5_rl,4-1,2-0,AWAY,AWAY,WIN,AWAY,WIN,
2250738,2026-05-24,live,f5_total,4-1,2-0,OVER,UNDER,LOSS,UNDER,LOSS,
2250738,2026-05-24,wf-19288f01-p1,f5_ml,4-1,2-0,HOME,AWAY,LOSS,AWAY,LOSS,
2250738,2026-05-24,wf-19288f01-p1,f5_rl,4-1,2-0,AWAY,AWAY,WIN,AWAY,WIN,
2250738,2026-05-24,wf-19288f01-p1,f5_total,4-1,2-0,OVER,UNDER,LOSS,UNDER,LOSS,
2250738,2026-05-24,wf-19288f01-p2,f5_ml,4-1,2-0,HOME,AWAY,LOSS,AWAY,LOSS,
2250738,2026-05-24,wf-19288f01-p2,f5_rl,4-1,2-0,AWAY,AWAY,WIN,AWAY,WIN,
2250738,2026-05-24,wf-19288f01-p2,f5_total,4-1,2-0,OVER,UNDER,LOSS,UNDER,LOSS,
2251290,2026-07-07,live,f5_ml,2-3,3-0,HOME,HOME,WIN,AWAY,LOSS,FLIP
2251290,2026-07-07,wf-19288f01-p1,f5_ml,2-3,3-0,HOME,HOME,WIN,AWAY,LOSS,FLIP
2251290,2026-07-07,wf-19288f01-p2,f5_ml,2-3,3-0,HOME,HOME,WIN,AWAY,LOSS,FLIP
