gameId,market,series,field,ledger,grades,note
2250092,f5_ml,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250092,f5_ml,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250103,f5_ml,live,_presence,PUSH,absent,"graded by evaluator, absent from mlb_replay_grades"
2250103,f5_ml,wf-19288f01-p1,_presence,PUSH,absent,"graded by evaluator, absent from mlb_replay_grades"
2250103,f5_ml,wf-19288f01-p2,_presence,PUSH,absent,"graded by evaluator, absent from mlb_replay_grades"
2250376,f5_ml,live,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250376,f5_ml,wf-19288f01-p1,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250376,f5_ml,wf-19288f01-p2,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_ml,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_rl,live,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_total,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_ml,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_rl,wf-19288f01-p1,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_total,wf-19288f01-p1,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_ml,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_rl,wf-19288f01-p2,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250506,f5_total,wf-19288f01-p2,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_ml,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_rl,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_total,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_ml,wf-19288f01-p1,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_rl,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_total,wf-19288f01-p1,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_ml,wf-19288f01-p2,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_rl,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250508,f5_total,wf-19288f01-p2,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_ml,live,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_rl,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_total,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_ml,wf-19288f01-p1,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_rl,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_total,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_ml,wf-19288f01-p2,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_rl,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250710,f5_total,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_ml,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_rl,live,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_total,live,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_ml,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_rl,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_total,wf-19288f01-p1,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_ml,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_rl,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2250726,f5_total,wf-19288f01-p2,_presence,WIN,absent,"graded by evaluator, absent from mlb_replay_grades"
2251041,f5_ml,live,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
2251041,f5_ml,wf-19288f01-p1,_presence,LOSS,absent,"graded by evaluator, absent from mlb_replay_grades"
