gameId,gameDate,away,home,f5Total,bookTotal,f5AwayRunLine,f5HomeRunLine,issues
2250048,2026-03-29,WSH,CHC,5.5,9.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250055,2026-03-30,COL,TOR,4.5,8.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250080,2026-04-01,WSH,PHI,4.5,8.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250081,2026-04-01,COL,TOR,4.5,7.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250090,2026-04-01,CLE,LAD,4.5,8.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250094,2026-04-03,LAD,WSH,4.5,9.5,-1.5,1.5,abs(f5RL)==abs(fgRL)
2250109,2026-04-04,LAD,WSH,5.5,9.5,-1.5,1.5,abs(f5RL)==abs(fgRL)
2250118,2026-04-04,PHI,COL,5.5,10.0,-1.5,1.5,abs(f5RL)==abs(fgRL)
2250124,2026-04-05,MIA,NYY,4.5,8.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250193,2026-04-10,HOU,SEA,6.5,8.0,0.5,-0.5,f5Total/bookTotal=0.81
2250194,2026-04-10,TEX,LAD,4.5,8.5,-1.5,-0.5,rl_not_mirrored(-1.5/-0.5);abs(f5RL)==abs(fgRL)
2250199,2026-04-11,ATH,NYM,7.5,7.5,-2.5,-0.5,f5Total/bookTotal=1.00;rl_not_mirrored(-2.5/-0.5)
2250200,2026-04-11,CWS,KC,4.5,9.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250224,2026-04-13,WSH,PIT,3.5,7.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250248,2026-04-15,KC,DET,4.5,8.5,1.5,-0.5,rl_not_mirrored(1.5/-0.5);abs(f5RL)==abs(fgRL)
2250249,2026-04-15,WSH,PIT,3.5,9.5,0.5,-0.5,f5Total/bookTotal=0.37
2250250,2026-04-15,SF,CIN,10.5,9.0,5.5,0.5,f5Total/bookTotal=1.17;rl_not_mirrored(5.5/0.5)
2250251,2026-04-15,CHC,PHI,4.5,9.0,0.5,1.5,rl_not_mirrored(0.5/1.5)
2250252,2026-04-15,LAA,NYY,6.5,10.5,2.5,-0.5,rl_not_mirrored(2.5/-0.5)
2250253,2026-04-15,MIA,ATL,4.5,9.0,0.5,-2.5,rl_not_mirrored(0.5/-2.5)
2250263,2026-04-16,LAA,NYY,5.5,10.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250267,2026-04-16,BAL,CLE,2.5,8.0,0.5,-0.5,f5Total/bookTotal=0.31
2250280,2026-04-17,LAD,COL,4.5,9.5,-1.5,1.5,abs(f5RL)==abs(fgRL)
2250311,2026-04-19,ATL,PHI,4.5,8.0,0.5,-2.5,rl_not_mirrored(0.5/-2.5)
2250314,2026-04-20,CIN,TB,5.5,8.0,-0.5,-0.5,rl_not_mirrored(-0.5/-0.5)
2250319,2026-04-20,LAD,COL,6.5,12.0,-1.5,1.5,abs(f5RL)==abs(fgRL)
2250340,2026-04-22,TOR,LAA,3.5,8.5,0.5,-1.5,rl_not_mirrored(0.5/-1.5)
2250358,2026-04-24,DET,CIN,5.5,9.0,-3.5,0.5,rl_not_mirrored(-3.5/0.5)
2250359,2026-04-24,BOS,BAL,4.5,8.5,0.5,-4.5,rl_not_mirrored(0.5/-4.5)
2250360,2026-04-24,CLE,TOR,9.5,8.0,-2.5,0.5,f5Total/bookTotal=1.19;rl_not_mirrored(-2.5/0.5)
2250361,2026-04-24,COL,NYM,2.5,7.5,1.5,-0.5,f5Total/bookTotal=0.33;rl_not_mirrored(1.5/-0.5);abs(f5RL)==abs(fgRL)
2250363,2026-04-24,PHI,ATL,5.5,9.0,-1.5,1.5,abs(f5RL)==abs(fgRL)
2250408,2026-04-28,TB,CLE,0.5,7.5,0.5,-0.5,f5Total/bookTotal=0.07
2250412,2026-04-28,SF,PHI,1.5,8.0,0.5,-0.5,f5Total/bookTotal=0.19
2250414,2026-04-28,WSH,NYM,4.5,8.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250421,2026-04-28,MIA,LAD,4.5,7.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250438,2026-04-30,STL,PIT,3.5,7.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250442,2026-04-30,KC,ATH,7.5,9.0,3.5,-0.5,f5Total/bookTotal=0.83;rl_not_mirrored(3.5/-0.5)
2250444,2026-05-01,TEX,DET,4.5,8.0,-0.5,3.5,rl_not_mirrored(-0.5/3.5)
2250446,2026-05-01,MIL,WSH,2.5,8.0,-2.5,2.5,f5Total/bookTotal=0.31
