cohort,series,market,month,n_pop,n_graded,n_decided,n_push,hits,hit_rate,hit_ci_lo,hit_ci_hi,brier,logloss,avg_prob,obs_rate,brier_abs,alt_hit_rate,mae,bias,bias_ci_lo,bias_ci_hi,mae_exp,bias_exp,bias_exp_ci_lo,bias_exp_ci_hi
all,live,f5_ml,2026-03,76,75,61,14,32,0.5246,0.4016,0.6447,0.2536,0.7009,0.4018,0.4754,0.2372,0.5902,,,,,,,,
all,live,f5_ml,2026-04,392,388,326,62,180,0.5521,0.4979,0.6052,0.2506,0.6947,0.4215,0.4479,0.239,0.5031,,,,,,,,
all,live,f5_ml,2026-05,419,405,350,55,196,0.56,0.5076,0.6111,0.2457,0.6845,0.4239,0.4657,0.2357,0.5286,,,,,,,,
all,live,f5_ml,2026-06,394,394,328,66,172,0.5244,0.4704,0.5778,0.251,0.6952,0.4196,0.4878,0.2395,0.5488,,,,,,,,
all,live,f5_ml,2026-07,274,274,233,41,117,0.5021,0.4384,0.5658,0.2498,0.6926,0.4181,0.4764,0.2389,0.5494,,,,,,,,
all,live,f5_ml,MAR+APR,468,463,387,76,212,0.5478,0.498,0.5967,0.2511,0.6957,0.4184,0.4522,0.2387,0.5168,,,,,,,,
all,live,f5_ml,ALL,1555,1536,1298,238,697,0.537,0.5098,0.564,0.2494,0.692,0.4201,0.4692,0.2381,0.5339,,,,,,,,
all,live,f5_rl,2026-03,76,66,66,0,29,0.4394,0.3263,0.5592,0.2635,0.7205,0.4752,0.5303,,,,,,,,,,
all,live,f5_rl,2026-04,392,315,315,0,143,0.454,0.3999,0.5092,0.2574,0.7082,0.4985,0.4825,,,,,,,,,,
all,live,f5_rl,2026-05,419,280,280,0,141,0.5036,0.4454,0.5617,0.2494,0.6919,0.5009,0.4893,,,,,,,,,,
all,live,f5_rl,2026-06,394,24,24,0,12,0.5,0.3143,0.6857,0.2481,0.6893,0.4783,0.5833,,,,,,,,,,
all,live,f5_rl,2026-07,274,157,157,0,77,0.4904,0.4134,0.5679,0.2548,0.7029,0.4948,0.5478,,,,,,,,,,
all,live,f5_rl,MAR+APR,468,381,381,0,172,0.4514,0.4022,0.5017,0.2585,0.7103,0.4945,0.4908,,,,,,,,,,
all,live,f5_rl,ALL,1555,842,842,0,402,0.4774,0.4439,0.5112,0.2545,0.7022,0.4962,0.5036,,,,,,,,,,
all,live,f5_total,2026-03,76,67,67,0,34,0.5075,0.3906,0.6235,0.2551,0.7036,0.46,0.4925,,,2.612,-0.224,-0.994,0.546,2.644,-0.027,-0.792,0.737
