series,market,month,n,side_a,pct_a,side_b,pct_b,pct_away_alt
live,f5_ml,2026-03,75,pct_away,0.0133,pct_home,0.9867,0.2667
live,f5_ml,2026-04,388,pct_away,0.0335,pct_home,0.9665,0.4923
live,f5_ml,2026-05,405,pct_away,0.0617,pct_home,0.9383,0.4963
live,f5_ml,2026-06,394,pct_away,0.0533,pct_home,0.9467,0.4949
live,f5_ml,2026-07,274,pct_away,0.0292,pct_home,0.9708,0.4927
live,f5_ml,MAR+APR,463,pct_away,0.0302,pct_home,0.9698,0.4557
live,f5_ml,ALL,1536,pct_away,0.0443,pct_home,0.9557,0.4831
live,f5_rl,2026-03,66,pct_away,0.2424,pct_home,0.7576,
live,f5_rl,2026-04,315,pct_away,0.4762,pct_home,0.5238,
live,f5_rl,2026-05,280,pct_away,0.4786,pct_home,0.5214,
live,f5_rl,2026-06,24,pct_away,0.3333,pct_home,0.6667,
live,f5_rl,2026-07,157,pct_away,0.4586,pct_home,0.5414,
live,f5_rl,MAR+APR,381,pct_away,0.4357,pct_home,0.5643,
live,f5_rl,ALL,842,pct_away,0.4513,pct_home,0.5487,
live,f5_total,2026-03,67,pct_over,0.2687,pct_under,0.7313,
live,f5_total,2026-04,315,pct_over,0.2794,pct_under,0.7206,
live,f5_total,2026-05,280,pct_over,0.1393,pct_under,0.8607,
live,f5_total,2026-06,24,pct_over,0.2083,pct_under,0.7917,
live,f5_total,2026-07,157,pct_over,0.0701,pct_under,0.9299,
live,f5_total,MAR+APR,382,pct_over,0.2775,pct_under,0.7225,
live,f5_total,ALL,843,pct_over,0.191,pct_under,0.809,
wf-19288f01-p1,f5_ml,2026-03,76,pct_away,0.0,pct_home,1.0,0.4211
wf-19288f01-p1,f5_ml,2026-04,392,pct_away,0.0638,pct_home,0.9362,0.4898
wf-19288f01-p1,f5_ml,2026-05,419,pct_away,0.074,pct_home,0.926,0.5036
wf-19288f01-p1,f5_ml,2026-06,394,pct_away,0.0533,pct_home,0.9467,0.4898
wf-19288f01-p1,f5_ml,2026-07,274,pct_away,0.0401,pct_home,0.9599,0.4745
wf-19288f01-p1,f5_ml,MAR+APR,468,pct_away,0.0534,pct_home,0.9466,0.4786
wf-19288f01-p1,f5_ml,ALL,1555,pct_away,0.0566,pct_home,0.9434,0.4875
wf-19288f01-p1,f5_rl,2026-03,67,pct_away,0.9851,pct_home,0.0149,
wf-19288f01-p1,f5_rl,2026-04,315,pct_away,0.9079,pct_home,0.0921,
wf-19288f01-p1,f5_rl,2026-05,280,pct_away,0.975,pct_home,0.025,
wf-19288f01-p1,f5_rl,2026-06,24,pct_away,0.9167,pct_home,0.0833,
wf-19288f01-p1,f5_rl,2026-07,157,pct_away,0.9236,pct_home,0.0764,
wf-19288f01-p1,f5_rl,MAR+APR,382,pct_away,0.9215,pct_home,0.0785,
wf-19288f01-p1,f5_rl,ALL,843,pct_away,0.9395,pct_home,0.0605,
wf-19288f01-p1,f5_total,2026-03,68,pct_over,0.1176,pct_under,0.8824,
wf-19288f01-p1,f5_total,2026-04,315,pct_over,0.2317,pct_under,0.7683,
wf-19288f01-p1,f5_total,2026-05,280,pct_over,0.2,pct_under,0.8,
wf-19288f01-p1,f5_total,2026-06,24,pct_over,0.25,pct_under,0.75,
wf-19288f01-p1,f5_total,2026-07,157,pct_over,0.1146,pct_under,0.8854,
wf-19288f01-p1,f5_total,MAR+APR,383,pct_over,0.2115,pct_under,0.7885,
wf-19288f01-p1,f5_total,ALL,844,pct_over,0.1908,pct_under,0.8092,
wf-19288f01-p2,f5_ml,2026-03,76,pct_away,0.0,pct_home,1.0,0.4211
wf-19288f01-p2,f5_ml,2026-04,392,pct_away,0.0638,pct_home,0.9362,0.4898
wf-19288f01-p2,f5_ml,2026-05,419,pct_away,0.074,pct_home,0.926,0.7589
wf-19288f01-p2,f5_ml,2026-06,394,pct_away,0.0533,pct_home,0.9467,0.8274
wf-19288f01-p2,f5_ml,2026-07,274,pct_away,0.0401,pct_home,0.9599,0.8723
wf-19288f01-p2,f5_ml,MAR+APR,468,pct_away,0.0534,pct_home,0.9466,0.4786
wf-19288f01-p2,f5_ml,ALL,1555,pct_away,0.0566,pct_home,0.9434,0.7119
wf-19288f01-p2,f5_rl,2026-03,67,pct_away,0.9851,pct_home,0.0149,
wf-19288f01-p2,f5_rl,2026-04,315,pct_away,0.9079,pct_home,0.0921,
wf-19288f01-p2,f5_rl,2026-05,280,pct_away,0.975,pct_home,0.025,
wf-19288f01-p2,f5_rl,2026-06,24,pct_away,0.9167,pct_home,0.0833,
wf-19288f01-p2,f5_rl,2026-07,157,pct_away,0.9236,pct_home,0.0764,
wf-19288f01-p2,f5_rl,MAR+APR,382,pct_away,0.9215,pct_home,0.0785,
wf-19288f01-p2,f5_rl,ALL,843,pct_away,0.9395,pct_home,0.0605,
wf-19288f01-p2,f5_total,2026-03,68,pct_over,0.1176,pct_under,0.8824,
wf-19288f01-p2,f5_total,2026-04,315,pct_over,0.2317,pct_under,0.7683,
wf-19288f01-p2,f5_total,2026-05,280,pct_over,0.3714,pct_under,0.6286,
wf-19288f01-p2,f5_total,2026-06,24,pct_over,0.3333,pct_under,0.6667,
wf-19288f01-p2,f5_total,2026-07,157,pct_over,0.1847,pct_under,0.8153,
wf-19288f01-p2,f5_total,MAR+APR,383,pct_over,0.2115,pct_under,0.7885,
wf-19288f01-p2,f5_total,ALL,844,pct_over,0.263,pct_under,0.737,
