series,market,decile,n,p_lo,p_hi,mean_p,obs_rate,gap
live,f5_ml,1,129,0.2695,0.3644,0.3426,0.4341,0.0915
live,f5_ml,2,130,0.3644,0.3827,0.3747,0.4,0.0253
live,f5_ml,3,130,0.3828,0.397,0.3899,0.4385,0.0486
live,f5_ml,4,130,0.397,0.4069,0.4021,0.4231,0.021
live,f5_ml,5,130,0.407,0.418,0.4127,0.5,0.0873
live,f5_ml,6,129,0.418,0.4277,0.4229,0.4419,0.019
live,f5_ml,7,130,0.4277,0.4402,0.4337,0.4615,0.0278
live,f5_ml,8,130,0.4402,0.4578,0.4484,0.5154,0.067
live,f5_ml,9,130,0.4579,0.4775,0.4674,0.5385,0.071
live,f5_ml,10,130,0.4777,0.5823,0.5065,0.5385,0.0319
live,f5_rl,1,84,0.3279,0.4315,0.4048,0.5595,0.1548
live,f5_rl,2,84,0.4316,0.4549,0.446,0.5,0.054
live,f5_rl,3,84,0.455,0.471,0.4632,0.4643,0.0011
live,f5_rl,4,84,0.4712,0.4831,0.4771,0.5357,0.0586
live,f5_rl,5,85,0.4831,0.4944,0.4888,0.5529,0.0641
live,f5_rl,6,84,0.4949,0.506,0.5005,0.5238,0.0233
live,f5_rl,7,84,0.5061,0.5192,0.5131,0.5952,0.0821
live,f5_rl,8,84,0.5192,0.5362,0.5275,0.3929,-0.1346
live,f5_rl,9,84,0.537,0.5623,0.5494,0.4405,-0.1089
live,f5_rl,10,85,0.5638,0.6633,0.5907,0.4706,-0.1201
live,f5_total,1,84,0.17,0.36,0.3248,0.4405,0.1157
live,f5_total,2,84,0.36,0.39,0.3773,0.4524,0.0751
live,f5_total,3,84,0.39,0.41,0.401,0.3571,-0.0438
live,f5_total,4,85,0.41,0.43,0.4181,0.4941,0.076
live,f5_total,5,84,0.43,0.44,0.435,0.619,0.184
live,f5_total,6,84,0.44,0.46,0.451,0.5476,0.0967
live,f5_total,7,85,0.46,0.48,0.4689,0.5882,0.1193
live,f5_total,8,84,0.48,0.5,0.4912,0.4405,-0.0507
live,f5_total,9,84,0.5,0.53,0.5164,0.5119,-0.0045
live,f5_total,10,85,0.53,0.64,0.5632,0.5529,-0.0102
wf-19288f01-p1,f5_ml,1,131,0.2621,0.3577,0.3357,0.3893,0.0536
wf-19288f01-p1,f5_ml,2,131,0.3583,0.3784,0.369,0.374,0.005
wf-19288f01-p1,f5_ml,3,131,0.3788,0.3944,0.3874,0.4046,0.0172
wf-19288f01-p1,f5_ml,4,132,0.3945,0.4072,0.401,0.4015,0.0006
wf-19288f01-p1,f5_ml,5,131,0.4073,0.4198,0.4138,0.5344,0.1206
wf-19288f01-p1,f5_ml,6,131,0.4198,0.4311,0.4254,0.4656,0.0403
wf-19288f01-p1,f5_ml,7,132,0.4311,0.4452,0.438,0.5,0.062
wf-19288f01-p1,f5_ml,8,131,0.4454,0.4617,0.4534,0.5191,0.0657
wf-19288f01-p1,f5_ml,9,131,0.4619,0.4844,0.4718,0.5267,0.055
wf-19288f01-p1,f5_ml,10,132,0.4846,0.598,0.5104,0.5985,0.0881
wf-19288f01-p1,f5_rl,1,84,0.4231,0.5117,0.4901,0.4762,-0.0139
wf-19288f01-p1,f5_rl,2,84,0.5122,0.5372,0.5272,0.5,-0.0272
wf-19288f01-p1,f5_rl,3,84,0.5374,0.555,0.5467,0.5238,-0.0229
wf-19288f01-p1,f5_rl,4,85,0.5553,0.5678,0.561,0.4824,-0.0787
wf-19288f01-p1,f5_rl,5,84,0.568,0.579,0.5739,0.5,-0.0739
wf-19288f01-p1,f5_rl,6,84,0.579,0.5909,0.585,0.5833,-0.0017
wf-19288f01-p1,f5_rl,7,85,0.5911,0.6055,0.5986,0.4471,-0.1515
wf-19288f01-p1,f5_rl,8,84,0.6057,0.6224,0.6138,0.5119,-0.1019
wf-19288f01-p1,f5_rl,9,84,0.6226,0.6411,0.6313,0.5119,-0.1194
wf-19288f01-p1,f5_rl,10,85,0.6416,0.7595,0.6618,0.5059,-0.1559
wf-19288f01-p1,f5_total,1,84,0.1493,0.3679,0.3279,0.4286,0.1006
wf-19288f01-p1,f5_total,2,84,0.3688,0.3925,0.3817,0.5357,0.154
wf-19288f01-p1,f5_total,3,85,0.3926,0.4133,0.4033,0.4118,0.0085
wf-19288f01-p1,f5_total,4,84,0.4136,0.4266,0.4203,0.4167,-0.0036
wf-19288f01-p1,f5_total,5,85,0.427,0.4452,0.4361,0.4471,0.011
wf-19288f01-p1,f5_total,6,84,0.4452,0.459,0.4526,0.5357,0.0832
wf-19288f01-p1,f5_total,7,84,0.4593,0.4782,0.4679,0.6071,0.1392
wf-19288f01-p1,f5_total,8,85,0.4784,0.4983,0.4891,0.5765,0.0874
wf-19288f01-p1,f5_total,9,84,0.4989,0.523,0.5094,0.5595,0.0502
wf-19288f01-p1,f5_total,10,85,0.5239,0.681,0.5573,0.4941,-0.0631
wf-19288f01-p2,f5_ml,1,131,0.2621,0.3897,0.358,0.3435,-0.0145
wf-19288f01-p2,f5_ml,2,131,0.3898,0.4085,0.4002,0.3893,-0.0109
wf-19288f01-p2,f5_ml,3,131,0.409,0.4223,0.4163,0.4198,0.0035
wf-19288f01-p2,f5_ml,4,132,0.4223,0.4333,0.4282,0.4621,0.0339
wf-19288f01-p2,f5_ml,5,131,0.4334,0.4422,0.438,0.4733,0.0353
wf-19288f01-p2,f5_ml,6,131,0.4423,0.4518,0.4471,0.5115,0.0644
wf-19288f01-p2,f5_ml,7,132,0.452,0.4608,0.4562,0.4697,0.0135
wf-19288f01-p2,f5_ml,8,131,0.4608,0.4723,0.4666,0.5038,0.0372
wf-19288f01-p2,f5_ml,9,131,0.4724,0.4893,0.4796,0.5496,0.07
wf-19288f01-p2,f5_ml,10,132,0.4894,0.583,0.5078,0.5909,0.0831
wf-19288f01-p2,f5_rl,1,84,0.4231,0.5117,0.4901,0.4762,-0.0139
wf-19288f01-p2,f5_rl,2,84,0.5122,0.5372,0.5272,0.5,-0.0272
wf-19288f01-p2,f5_rl,3,84,0.5374,0.555,0.5467,0.5238,-0.0229
wf-19288f01-p2,f5_rl,4,85,0.5553,0.5678,0.561,0.4824,-0.0787
wf-19288f01-p2,f5_rl,5,84,0.568,0.579,0.5739,0.5,-0.0739
wf-19288f01-p2,f5_rl,6,84,0.579,0.5909,0.585,0.5833,-0.0017
wf-19288f01-p2,f5_rl,7,85,0.5911,0.6055,0.5986,0.4471,-0.1515
wf-19288f01-p2,f5_rl,8,84,0.6057,0.6224,0.6138,0.5119,-0.1019
wf-19288f01-p2,f5_rl,9,84,0.6226,0.6411,0.6313,0.5119,-0.1194
wf-19288f01-p2,f5_rl,10,85,0.6416,0.7595,0.6618,0.5059,-0.1559
wf-19288f01-p2,f5_total,1,84,0.1493,0.3748,0.3358,0.4524,0.1166
wf-19288f01-p2,f5_total,2,84,0.3757,0.404,0.3903,0.4643,0.074
wf-19288f01-p2,f5_total,3,85,0.404,0.4233,0.4141,0.5176,0.1036
wf-19288f01-p2,f5_total,4,84,0.4234,0.4411,0.433,0.4286,-0.0045
wf-19288f01-p2,f5_total,5,85,0.4411,0.4538,0.4477,0.4118,-0.0359
wf-19288f01-p2,f5_total,6,84,0.4541,0.4727,0.4632,0.5119,0.0487
wf-19288f01-p2,f5_total,7,84,0.4727,0.4944,0.483,0.5952,0.1123
wf-19288f01-p2,f5_total,8,85,0.4945,0.5128,0.503,0.6,0.097
wf-19288f01-p2,f5_total,9,84,0.5134,0.5407,0.5262,0.4881,-0.0381
wf-19288f01-p2,f5_total,10,85,0.5409,0.681,0.5719,0.5412,-0.0307
