gameId,gamePk,gameDate,statsapi_f5,games_f5,linescore_f5,verdict
2250020,824946,2026-03-27,0-4(n5=5),0-4,0-4,MATCH
2250009,824704,2026-03-26,7-3(n5=5),7-3,7-3,MATCH
2250041,822837,2026-03-29,2-5(n5=5),2-5,2-5,MATCH
2250037,823161,2026-03-28,0-2(n5=5),0-2,0-2,MATCH
2250034,824945,2026-03-28,0-0(n5=5),0-0,0-0,MATCH
2250023,823162,2026-03-27,1-3(n5=5),1-3,1-3,MATCH
2250019,823893,2026-03-27,1-2(n5=5),1-2,1-2,MATCH
2250017,823243,2026-03-27,0-0(n5=5),0-0,0-0,MATCH
2250060,824214,2026-03-30,0-4(n5=5),0-4,0-4,MATCH
2250010,824865,2026-03-26,0-0(n5=5),0-0,0-0,MATCH
2252334,825108,2026-03-30,0-8(n5=5),0-8,0-8,MATCH
2250074,823322,2026-03-31,4-3(n5=5),4-3,4-3,MATCH
2250188,824941,2026-04-10,2-1(n5=5),2-1,2-1,MATCH
2250196,824697,2026-04-11,3-1(n5=5),3-1,3-1,MATCH
2250335,823236,2026-04-21,1-3(n5=5),1-3,1-3,MATCH
2250385,824933,2026-04-25,3-2(n5=5),3-2,3-2,MATCH
2250090,823970,2026-04-01,2-0(n5=5),2-0,2-0,MATCH
2250364,824124,2026-04-24,0-5(n5=5),0-5,0-5,MATCH
2250178,823724,2026-04-09,0-1(n5=5),0-1,0-1,MATCH
2252367,825105,2026-04-02,10-1(n5=5),10-1,10-1,MATCH
2250409,824849,2026-04-28,1-4(n5=5),1-4,1-4,MATCH
2250438,823391,2026-04-30,5-3(n5=5),5-3,5-3,MATCH
2250356,823639,2026-04-23,2-7(n5=5),2-7,2-7,MATCH
2250291,823882,2026-04-18,3-1(n5=5),3-1,3-1,MATCH
2250558,823792,2026-05-09,2-0(n5=5),2-0,2-0,MATCH
2250675,823865,2026-05-19,3-4(n5=5),3-4,3-4,MATCH
2250749,824921,2026-05-24,1-0(n5=5),1-0,1-0,MATCH
2250588,824927,2026-05-12,2-5(n5=5),2-5,2-5,MATCH
2253097,823216,2026-05-26,3-2(n5=5),3-2,3-2,MATCH
2250447,823557,2026-05-01,1-5(n5=5),1-5,1-5,MATCH
2250836,825001,2026-05-31,13-3(n5=5),13-3,13-3,MATCH
2253067,825081,2026-05-24,0-7(n5=5),0-7,0-7,MATCH
2250526,823551,2026-05-07,2-1(n5=5),2-1,2-1,MATCH
2250805,824594,2026-05-29,2-1(n5=5),2-1,2-1,MATCH
2250662,824277,2026-05-18,4-1(n5=5),4-1,4-1,MATCH
2250620,823384,2026-05-15,3-7(n5=5),3-7,3-7,MATCH
2250983,822802,2026-06-13,1-1(n5=5),1-1,1-1,MATCH
2250919,823047,2026-06-07,2-3(n5=5),2-3,2-3,MATCH
2250950,823287,2026-06-10,2-2(n5=5),2-2,2-2,MATCH
2253513,822960,2026-06-27,1-3(n5=5),1-3,1-3,MATCH
2251014,824666,2026-06-15,0-1(n5=5),0-1,0-1,MATCH
2250891,823049,2026-06-05,3-4(n5=5),3-4,3-4,MATCH
2250886,823538,2026-06-05,5-3(n5=5),5-3,5-3,MATCH
2251036,824178,2026-06-17,0-3(n5=5),0-3,0-3,MATCH
2250888,823860,2026-06-05,4-0(n5=5),4-0,4-0,MATCH
2251025,823775,2026-06-16,0-1(n5=5),0-1,0-1,MATCH
2251018,823938,2026-06-15,3-3(n5=5),3-3,3-3,MATCH
2251153,823039,2026-06-26,0-0(n5=5),0-0,0-0,MATCH
2251344,822875,2026-07-11,7-1(n5=5),7-1,7-1,MATCH
2251231,823119,2026-07-02,0-0(n5=5),0-0,0-0,MATCH
2251444,822873,2026-07-22,3-2(n5=5),3-2,3-2,MATCH
2251272,824010,2026-07-05,5-3(n5=5),5-3,5-3,MATCH
2251402,823113,2026-07-19,3-3(n5=5),3-3,3-3,MATCH
2251249,824499,2026-07-04,8-4(n5=5),8-4,8-4,MATCH
2251359,822876,2026-07-12,1-4(n5=5),1-4,1-4,MATCH
2251394,824411,2026-07-19,2-1(n5=5),2-1,2-1,MATCH
2251307,823928,2026-07-08,3-3(n5=5),3-3,3-3,MATCH
2251244,823120,2026-07-03,2-0(n5=5),2-0,2-0,MATCH
2251232,823935,2026-07-02,6-10(n5=5),6-10,6-10,MATCH
2251325,823604,2026-07-10,2-1(n5=5),2-1,2-1,MATCH
2250733,824516,2026-05-23,1-5(n5=5),3-1,1-5,GAMES_MISMATCH
2250738,824839,2026-05-24,2-0(n5=5),4-1,2-0,GAMES_MISMATCH
2251290,823035,2026-07-07,3-0(n5=5),2-3,3-0,GAMES_MISMATCH
