gameId,gameDate,month,bookTotal,f5Total_book,modelF5Total_synth,synth_reconstructed,diff_synth_book
2250006,2026-03-25,2026-03,7.0,3.5,,4.0,
2250007,2026-03-26,2026-03,7.0,3.5,4.0,4.0,0.5
2250008,2026-03-26,2026-03,7.5,4.5,4.0,4.0,-0.5
2250009,2026-03-26,2026-03,7.0,3.5,4.0,4.0,0.5
2250010,2026-03-26,2026-03,8.5,4.5,4.5,4.5,0.0
2250011,2026-03-26,2026-03,8.0,3.5,4.5,4.5,1.0
2250012,2026-03-26,2026-03,8.0,4.5,4.5,4.5,0.0
2250013,2026-03-26,2026-03,7.0,3.5,4.0,4.0,0.5
2250014,2026-03-26,2026-03,8.0,4.5,4.5,4.5,0.0
2250015,2026-03-26,2026-03,8.0,4.5,4.5,4.5,0.0
2250016,2026-03-26,2026-03,6.5,3.5,3.5,3.5,0.0
2250017,2026-03-27,2026-03,8.5,4.5,4.5,4.5,0.0
2250018,2026-03-27,2026-03,8.5,4.5,4.5,4.5,0.0
2250019,2026-03-27,2026-03,8.0,4.5,4.5,4.5,0.0
2250020,2026-03-27,2026-03,7.5,3.5,4.0,4.0,0.5
2250021,2026-03-27,2026-03,8.5,4.5,4.5,4.5,0.0
2250022,2026-03-27,2026-03,7.5,3.5,4.0,4.0,0.5
2250023,2026-03-27,2026-03,7.0,3.5,4.0,4.0,0.5
2250024,2026-03-28,2026-03,7.5,3.5,4.0,4.0,0.5
2250025,2026-03-28,2026-03,8.5,4.5,4.5,4.5,0.0
2250026,2026-03-28,2026-03,8.0,4.5,4.5,4.5,0.0
2250027,2026-03-28,2026-03,7.5,4.5,4.0,4.0,-0.5
2250028,2026-03-28,2026-03,7.5,4.5,4.0,4.0,-0.5
2250029,2026-03-28,2026-03,7.5,3.5,4.0,4.0,0.5
2250030,2026-03-28,2026-03,7.5,3.5,4.0,4.0,0.5
2250031,2026-03-28,2026-03,7.5,4.5,4.0,4.0,-0.5
2250032,2026-03-28,2026-03,9.0,4.5,5.0,5.0,0.5
2250033,2026-03-28,2026-03,8.0,4.5,4.5,4.5,0.0
2250034,2026-03-28,2026-03,8.5,4.5,4.5,4.5,0.0
2250035,2026-03-28,2026-03,8.5,4.5,4.5,4.5,0.0
2250036,2026-03-28,2026-03,8.0,4.5,4.5,4.5,0.0
2250037,2026-03-28,2026-03,7.0,3.5,4.0,4.0,0.5
2250038,2026-03-29,2026-03,9.0,4.5,5.0,5.0,0.5
2250039,2026-03-29,2026-03,8.0,4.5,4.5,4.5,0.0
2250040,2026-03-29,2026-03,8.0,4.5,4.5,4.5,0.0
2250041,2026-03-29,2026-03,9.0,4.5,5.0,5.0,0.5
2250042,2026-03-29,2026-03,8.5,4.5,4.5,4.5,0.0
2250043,2026-03-29,2026-03,7.5,4.5,4.0,4.0,-0.5
2250044,2026-03-29,2026-03,8.0,4.5,4.5,4.5,0.0
2250045,2026-03-29,2026-03,9.0,4.5,5.0,5.0,0.5
2250046,2026-03-29,2026-03,7.5,4.5,4.0,4.0,-0.5
2250047,2026-03-29,2026-03,7.5,4.5,4.0,4.0,-0.5
2250048,2026-03-29,2026-03,9.0,5.5,5.0,5.0,-0.5
2250049,2026-03-29,2026-03,7.5,4.5,4.0,4.0,-0.5
2250050,2026-03-30,2026-03,10.0,5.5,5.5,5.5,0.0
