btId,gameId,gameDate,market,modelSide,stored_result,derived_outcome,stored_correct,confidencePassed,modelProb,bookNoVigProb,edge,bookLine,lineUsed,f5_actual,staleActuals,edgeCheck,threshCheck,status,quarantineReason,voidReason,auditVersion,note
640767,2250006,2026-03-25,f5_over,,NO_ACTION,WIN,,,,,,F5 O3.5,3.5,7-0,,,,WARN:noaction-conf1,modelProb=null,,v2026-full-audit-1.0,
640768,2250006,2026-03-25,f5_under,,NO_ACTION,LOSS,,,,,,F5 U3.5,3.5,7-0,,,,WARN:noaction-conf1,modelProb=null,,v2026-full-audit-1.0,
641135,2250092,2026-04-02,f5_over,,NO_ACTION,,,,,,,,,1-3,,,,WARN:noaction-conf1,modelProb=null,,v2026-full-audit-1.0,
641136,2250092,2026-04-02,f5_under,,NO_ACTION,,,,,,,,,1-3,,,,WARN:noaction-conf1,modelProb=null,,v2026-full-audit-1.0,
365756,2250248,2026-04-15,f5_ml_home,f5_ml_home,PUSH,PUSH,,0,0.47,0.6468,-0.1737,F5 ML,,1-1,,,edge=-0.1737 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641827,2250248,2026-04-15,f5_over,,LOSS,LOSS,0,,0.49,,-0.093,F5 O4.5,4.5,1-1,,,p=0.49 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365759,2250248,2026-04-15,f5_rl_away,f5_rl_away,WIN,WIN,1,0,0.44,0.5443,-0.1018,1.5,1.5,1-1,,,edge=-0.1018 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641828,2250248,2026-04-15,f5_under,,WIN,WIN,1,,0.51,,0.093,F5 U4.5,4.5,1-1,,,p=0.51 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365768,2250249,2026-04-15,f5_ml_home,f5_ml_home,WIN,WIN,1,0,0.46,0.8624,-0.3987,F5 ML,,0-2,,,edge=-0.3987 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641823,2250249,2026-04-15,f5_over,,LOSS,LOSS,0,,0.31,,-0.2296,F5 O3.5,3.5,0-2,,,p=0.31 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365771,2250249,2026-04-15,f5_rl_away,f5_rl_away,LOSS,LOSS,0,0,0.45,0.4877,-0.0413,0.5,0.5,0-2,,,edge=-0.0413 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641824,2250249,2026-04-15,f5_under,,WIN,WIN,1,,0.69,,0.2296,F5 U3.5,3.5,0-2,,,,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365781,2250250,2026-04-15,f5_ml_away,f5_ml_away,LOSS,LOSS,0,0,0.44,0.5084,-0.0712,F5 ML,,2-8,,,edge=-0.0712 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365780,2250250,2026-04-15,f5_ml_home,f5_ml_home,WIN,WIN,1,0,0.4,0.4916,-0.0895,F5 ML,,2-8,,,edge=-0.0895 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641819,2250250,2026-04-15,f5_over,,LOSS,LOSS,0,,0.38,,-0.1603,F5 O10.5,10.5,2-8,,,p=0.38 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365782,2250250,2026-04-15,f5_rl_home,f5_rl_home,WIN,WIN,1,0,0.48,0.4987,-0.0202,0.5,0.5,2-8,,,edge=-0.0202 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641820,2250250,2026-04-15,f5_under,,WIN,WIN,1,,0.62,,0.1603,F5 U10.5,10.5,2-8,,,,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365793,2250251,2026-04-15,f5_ml_away,f5_ml_away,WIN,WIN,1,0,0.39,0.6057,-0.2206,F5 ML,,5-1,,,edge=-0.2206 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641815,2250251,2026-04-15,f5_over,,WIN,WIN,1,,0.46,,-0.0676,F5 O4.5,4.5,5-1,,,p=0.46 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365795,2250251,2026-04-15,f5_rl_away,f5_rl_away,WIN,WIN,1,0,0.45,0.582,-0.1295,0.5,0.5,5-1,,,edge=-0.1295 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641816,2250251,2026-04-15,f5_under,,LOSS,LOSS,0,,0.54,,0.0676,F5 U4.5,4.5,5-1,,,p=0.54 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365805,2250252,2026-04-15,f5_ml_away,f5_ml_away,WIN,WIN,1,0,0.28,0.2975,-0.0141,F5 ML,,4-3,,,edge=-0.0141 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365804,2250252,2026-04-15,f5_ml_home,f5_ml_home,LOSS,LOSS,0,0,0.58,0.7025,-0.1216,F5 ML,,4-3,,,edge=-0.1216 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641831,2250252,2026-04-15,f5_over,,WIN,WIN,1,,0.44,,-0.0335,F5 O6.5,6.5,4-3,,,p=0.44 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365807,2250252,2026-04-15,f5_rl_away,f5_rl_away,WIN,WIN,1,0,0.33,0.4611,-0.1332,2.5,2.5,4-3,,,edge=-0.1332 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641832,2250252,2026-04-15,f5_under,,LOSS,LOSS,0,,0.56,,0.0335,F5 U6.5,6.5,4-3,,,p=0.56 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365816,2250253,2026-04-15,f5_ml_home,f5_ml_home,WIN,WIN,1,0,0.44,0.8553,-0.4112,F5 ML,,0-2,,,edge=-0.4112 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641835,2250253,2026-04-15,f5_over,,LOSS,LOSS,0,,0.41,,-0.1535,F5 O4.5,4.5,0-2,,,p=0.41 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365819,2250253,2026-04-15,f5_rl_away,f5_rl_away,LOSS,LOSS,0,0,0.47,0.5383,-0.0644,0.5,0.5,0-2,,,edge=-0.0644 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641836,2250253,2026-04-15,f5_under,,WIN,WIN,1,,0.59,,0.1535,F5 U4.5,4.5,0-2,,,p=0.59 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365829,2250254,2026-04-15,f5_ml_away,f5_ml_away,WIN,WIN,1,0,0.47,0.4831,-0.0084,F5 ML,,3-0,,,edge=-0.0084 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365828,2250254,2026-04-15,f5_ml_home,f5_ml_home,LOSS,LOSS,0,0,0.37,0.5169,-0.1504,F5 ML,,3-0,,,edge=-0.1504 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641839,2250254,2026-04-15,f5_over,,LOSS,LOSS,0,,0.44,,-0.1058,F5 O4.5,4.5,3-0,,,p=0.44 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365830,2250254,2026-04-15,f5_rl_home,f5_rl_home,LOSS,LOSS,0,0,0.43,0.4939,-0.0591,-0.5,-0.5,3-0,,,edge=-0.0591 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641840,2250254,2026-04-15,f5_under,,WIN,WIN,1,,0.56,,0.1058,F5 U4.5,4.5,3-0,,,p=0.56 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365709,2250255,2026-04-15,f5_ml_away,f5_ml_away,WIN,WIN,1,0,0.42,0.5902,-0.1712,F5 ML,,1-0,,,edge=-0.1712 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641843,2250255,2026-04-15,f5_over,,LOSS,LOSS,0,,0.59,,0.1267,F5 O4.5,4.5,1-0,,,p=0.59 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365711,2250255,2026-04-15,f5_rl_away,f5_rl_away,WIN,WIN,1,0,0.49,0.5084,-0.0158,-0.5,-0.5,1-0,,,edge=-0.0158 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641844,2250255,2026-04-15,f5_under,,WIN,WIN,1,,0.41,,-0.1267,F5 U4.5,4.5,1-0,,,p=0.41 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365672,2250256,2026-04-15,f5_ml_home,f5_ml_home,WIN,WIN,1,0,0.42,0.6048,-0.1831,F5 ML,,1-3,,,edge=-0.1831 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641847,2250256,2026-04-15,f5_over,,LOSS,LOSS,0,,0.47,,-0.0401,F5 O4.5,4.5,1-3,,,p=0.47 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365674,2250256,2026-04-15,f5_rl_home,f5_rl_home,WIN,WIN,1,0,0.5,0.5123,-0.0123,-0.5,-0.5,1-3,,,edge=-0.0123 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641848,2250256,2026-04-15,f5_under,,WIN,WIN,1,,0.53,,0.0401,F5 U4.5,4.5,1-3,,,p=0.53 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365685,2250257,2026-04-15,f5_ml_away,f5_ml_away,WIN,WIN,1,0,0.41,0.4958,-0.0875,F5 ML,,6-0,,,edge=-0.0875 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365684,2250257,2026-04-15,f5_ml_home,f5_ml_home,LOSS,LOSS,0,0,0.43,0.5042,-0.0755,F5 ML,,6-0,,,edge=-0.0755 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641851,2250257,2026-04-15,f5_over,,WIN,WIN,1,,0.42,,-0.0494,F5 O4.5,4.5,6-0,,,p=0.42 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365687,2250257,2026-04-15,f5_rl_away,f5_rl_away,WIN,WIN,1,0,0.49,0.5829,-0.0951,0.5,0.5,6-0,,,edge=-0.0951 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641852,2250257,2026-04-15,f5_under,,LOSS,LOSS,0,,0.58,,0.0494,F5 U4.5,4.5,6-0,,,p=0.58 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365697,2250258,2026-04-15,f5_ml_away,f5_ml_away,PUSH,PUSH,,0,0.4,0.4873,-0.0829,F5 ML,,2-2,,,edge=-0.0829 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365696,2250258,2026-04-15,f5_ml_home,f5_ml_home,PUSH,PUSH,,0,0.45,0.5127,-0.0603,F5 ML,,2-2,,,edge=-0.0603 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
641855,2250258,2026-04-15,f5_over,,LOSS,LOSS,0,,0.46,,-0.0094,F5 O5.5,5.5,2-2,,,p=0.46 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
