btId,gameId,gameDate,market,modelSide,stored_result,derived_outcome,stored_correct,confidencePassed,modelProb,bookNoVigProb,edge,bookLine,lineUsed,f5_actual,staleActuals,edgeCheck,threshCheck,status,quarantineReason,voidReason,auditVersion,note
630008,2250006,2026-03-25,f5_ml_away,f5_ml_away,NO_ACTION,WIN,,0,,0.5,,F5 ML,,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
630007,2250006,2026-03-25,f5_ml_home,f5_ml_home,NO_ACTION,LOSS,,0,,0.5,,F5 ML,,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
640767,2250006,2026-03-25,f5_over,,NO_ACTION,WIN,,,,,,F5 O3.5,3.5,7-0,,,,WARN:noaction-conf1,modelProb=null,,v2026-full-audit-1.0,
630010,2250006,2026-03-25,f5_rl_away,f5_rl_away,NO_ACTION,WIN,,0,,0.4085,,-0.5,-0.5,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
630009,2250006,2026-03-25,f5_rl_home,f5_rl_home,NO_ACTION,LOSS,,0,,0.5915,,0.5,0.5,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
640768,2250006,2026-03-25,f5_under,,NO_ACTION,LOSS,,,,,,F5 U3.5,3.5,7-0,,,,WARN:noaction-conf1,modelProb=null,,v2026-full-audit-1.0,
280489,2250007,2026-03-26,f5_ml_away,f5_ml_away,QUARANTINED,LOSS,,0,0.4,0.5314,,F5 ML,,4-9,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
280488,2250007,2026-03-26,f5_ml_home,f5_ml_home,QUARANTINED,WIN,,0,0.43,0.4686,,F5 ML,,4-9,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
640771,2250007,2026-03-26,f5_over,,QUARANTINED,WIN,,,0.46,,,F5 O3.5,3.5,4-9,,,,ok,leakage:modelRunAt=1776250825827>=gameStart=1774541700000,,v2026-full-audit-1.0,
280491,2250007,2026-03-26,f5_rl_away,f5_rl_away,QUARANTINED,LOSS,,0,0.48,0.4307,,-0.5,-0.5,4-9,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
280490,2250007,2026-03-26,f5_rl_home,f5_rl_home,QUARANTINED,WIN,,0,0.52,0.5693,,0.5,0.5,4-9,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
640772,2250007,2026-03-26,f5_under,,QUARANTINED,LOSS,,,0.54,,,F5 U3.5,3.5,4-9,,,,ok,leakage:modelRunAt=1776250825827>=gameStart=1774541700000,,v2026-full-audit-1.0,
280225,2250008,2026-03-26,f5_ml_away,f5_ml_away,QUARANTINED,LOSS,,0,0.4,0.3952,,F5 ML,,1-8,,,,ok,modelRunAt=1776250826153 >= gameStartUtcMs=1774545000000,,v2026-full-audit-1.0,
280224,2250008,2026-03-26,f5_ml_home,f5_ml_home,QUARANTINED,WIN,,0,0.45,0.6048,,F5 ML,,1-8,,,,ok,modelRunAt=1776250826153 >= gameStartUtcMs=1774545000000,,v2026-full-audit-1.0,
640775,2250008,2026-03-26,f5_over,,QUARANTINED,WIN,,,0.56,,,F5 O4.5,4.5,1-8,,,,ok,leakage:modelRunAt=1776250826153>=gameStart=1774545000000,,v2026-full-audit-1.0,
280227,2250008,2026-03-26,f5_rl_away,f5_rl_away,QUARANTINED,LOSS,,0,0.47,0.4918,,0.5,0.5,1-8,,,,ok,modelRunAt=1776250826153 >= gameStartUtcMs=1774545000000,,v2026-full-audit-1.0,
280226,2250008,2026-03-26,f5_rl_home,f5_rl_home,QUARANTINED,WIN,,0,0.53,0.5082,,-0.5,-0.5,1-8,,,,ok,modelRunAt=1776250826153 >= gameStartUtcMs=1774545000000,,v2026-full-audit-1.0,
640776,2250008,2026-03-26,f5_under,,QUARANTINED,LOSS,,,0.44,,,F5 U4.5,4.5,1-8,,,,ok,leakage:modelRunAt=1776250826153>=gameStart=1774545000000,,v2026-full-audit-1.0,
280255,2250009,2026-03-26,f5_ml_away,f5_ml_away,QUARANTINED,WIN,,0,0.35,0.3791,,F5 ML,,7-3,,,,ok,modelRunAt=1776250826222 >= gameStartUtcMs=1774545600000,,v2026-full-audit-1.0,
280254,2250009,2026-03-26,f5_ml_home,f5_ml_home,QUARANTINED,LOSS,,0,0.49,0.6209,,F5 ML,,7-3,,,,ok,modelRunAt=1776250826222 >= gameStartUtcMs=1774545600000,,v2026-full-audit-1.0,
