gameId,gameDate,matchup,mlbGamePk,actualF5Away,actualF5Home,actualF5Total,lsF5,f5AwayRunLine,f5Total,modelF5AwayWinPct,modelF5HomeWinPct,modelF5AwayRLCoverPct,modelF5AwayScore,modelF5HomeScore,modelF5OverRate,stored_f5MlResult,derived_f5MlResult,f5Ml_status,stored_f5MlCorrect,derived_f5MlCorrect,stored_f5RlResult,derived_f5Rl_probConv,derived_f5Rl_marginConv,f5Rl_status,f5Rl_convDisagree,stored_f5RlCorrect,derived_f5RlCorrect_probConv,derived_f5RlCorrect_marginConv,stored_f5TotalResult,derived_f5TotalResult,f5Total_status,stored_f5TotalCorrect,derived_f5TotalCorrect,stored_brierF5Ml,derived_brierF5Ml_away,derived_brierF5Ml_home,brierF5Ml_status,stored_brierF5Total,derived_brierF5Total,brierF5Total_status,f5BacktestRunAt
2250006,2026-03-25,NYY@SF 2026-03-25,823244,7,0,7,7-0,-0.5,3.5,,,,,,,WIN,,stored-not-derivable,1,,WIN,,,stored-not-derivable,0,1,,,OVER,OVER,match,1,,,,,both-null,,,both-null,1775509155475
2250007,2026-03-26,PIT@NYM 2026-03-26,823649,4,9,13,4-9,-0.5,3.5,40.08,43.31,48.08,2.04,2.16,0.46,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,OVER,OVER,match,0,0,0.160641,0.160641,0.321376,match-away-base,0.2916,0.2916,match,1784992359459
2250008,2026-03-26,CWS@MIL 2026-03-26,823812,1,8,9,1-8,0.5,4.5,39.98,44.78,47.17,2.39,2.6,0.56,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,1,1,0.15984,0.15984,0.304925,match-away-base,0.1936,0.1936,match,1784992359459
2250009,2026-03-26,WSH@CHC 2026-03-26,824704,7,3,10,7-3,0.5,3.5,34.92,49.3,41.49,2.01,2.57,0.51,LOSS,LOSS,match,0,0,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,OVER,OVER,match,1,1,0.423541,0.423541,0.243049,match-away-base,0.2401,0.2401,match,1784992359459
2250010,2026-03-26,MIN@BAL 2026-03-26,824865,0,0,0,0-0,0.5,4.5,35.97,47.89,42.92,1.98,2.44,0.42,PUSH,PUSH,match,,,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,,,,both-null,0.1764,0.1764,match,1784992359459
2250011,2026-03-26,BOS@CIN 2026-03-26,824541,0,0,0,0-0,-0.5,3.5,45.71,37.91,54.75,2.31,2.01,0.41,PUSH,PUSH,match,,,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,,,,both-null,0.1681,0.1681,match,1784992359459
2250012,2026-03-26,LAA@HOU 2026-03-26,824218,0,0,0,0-0,0.5,4.5,38.62,45.03,46.08,2.06,2.31,0.42,PUSH,PUSH,match,,,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,,,,both-null,0.1764,0.1764,match,1784992359459
2250013,2026-03-26,DET@SD 2026-03-26,823325,8,0,8,8-0,-0.5,3.5,42.44,40,51.46,1.93,1.85,0.4,LOSS,LOSS,match,0,0,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.331315,0.331315,0.16,match-away-base,0.36,0.36,match,1784992359459
2250014,2026-03-26,TB@STL 2026-03-26,823081,1,1,2,1-1,-0.5,4.5,44.41,39.78,52.83,2.42,2.23,0.45,PUSH,PUSH,match,,,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,,,,both-null,0.2025,0.2025,match,1784992359459
2250015,2026-03-26,TEX@PHI 2026-03-26,823486,0,5,5,0-5,0.5,4.5,40.22,43.52,48.08,2.13,2.25,0.42,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.161765,0.161765,0.318999,match-away-base,0.3364,0.3364,match,1784992359459
