gameId,matchup,f5AwayRunLine,f5Total,graded_rl,graded_total
2252284,ARI@LAD 2026-03-26,1.5,4.5,WIN,OVER
2252307,ARI@LAD 2026-03-28,1.5,4.5,LOSS,UNDER
2250048,WSH@CHC 2026-03-29,1.5,5.5,LOSS,UNDER
2250055,COL@TOR 2026-03-30,1.5,4.5,LOSS,UNDER
2250080,WSH@PHI 2026-04-01,1.5,4.5,LOSS,UNDER
2250081,COL@TOR 2026-04-01,1.5,4.5,LOSS,UNDER
2250090,CLE@LAD 2026-04-01,1.5,4.5,LOSS,UNDER
2250094,LAD@WSH 2026-04-03,-1.5,4.5,WIN,OVER
2250109,LAD@WSH 2026-04-04,-1.5,5.5,WIN,OVER
2250118,PHI@COL 2026-04-04,-1.5,5.5,LOSS,UNDER
2250124,MIA@NYY 2026-04-05,1.5,4.5,WIN,OVER
2250194,TEX@LAD 2026-04-10,-1.5,4.5,WIN,OVER
2250197,MIN@TOR 2026-04-11,-4.5,4.5,LOSS,OVER
2250198,LAA@CIN 2026-04-11,5.5,4.5,LOSS,OVER
2250199,ATH@NYM 2026-04-11,-2.5,7.5,WIN,OVER
2250200,CWS@KC 2026-04-11,1.5,4.5,LOSS,UNDER
2250224,WSH@PIT 2026-04-13,1.5,3.5,WIN,OVER
2250248,KC@DET 2026-04-15,1.5,4.5,LOSS,UNDER
2250250,SF@CIN 2026-04-15,5.5,10.5,LOSS,UNDER
2250252,LAA@NYY 2026-04-15,2.5,6.5,LOSS,OVER
2250263,LAA@NYY 2026-04-16,1.5,5.5,LOSS,UNDER
2250267,BAL@CLE 2026-04-16,0.5,2.5,LOSS,OVER
2250280,LAD@COL 2026-04-17,-1.5,4.5,WIN,OVER
2250316,ATL@WSH 2026-04-20,2.5,3.5,WIN,OVER
2250319,LAD@COL 2026-04-20,-1.5,6.5,WIN,UNDER
2250358,DET@CIN 2026-04-24,-3.5,5.5,LOSS,OVER
2250360,CLE@TOR 2026-04-24,-2.5,9.5,WIN,OVER
2250361,COL@NYM 2026-04-24,1.5,2.5,LOSS,UNDER
2250363,PHI@ATL 2026-04-24,-1.5,5.5,LOSS,UNDER
2252691,SD@ARI 2026-04-26,-0.5,8.5,LOSS,UNDER
2250408,TB@CLE 2026-04-28,0.5,0.5,LOSS,OVER
