rgId,gameId,gameDate,market,source,modelVersion,pick,prob,projValue,line,actual,stored_result,stored_correct,stored_brier,stored_signedError,f5_actual,issues,status
4,2250007,2026-03-26,f5_ml,live_pregame,live,HOME,0.4008,,-128,HOME,WIN,1,0.160641,,4-9,,ok
11,2250008,2026-03-26,f5_ml,live_pregame,live,HOME,0.3998,,+140,HOME,WIN,1,0.15984,,1-8,,ok
18,2250009,2026-03-26,f5_ml,live_pregame,live,HOME,0.3492,,+150,AWAY,LOSS,0,0.423541,,7-3,,ok
25,2250010,2026-03-26,f5_ml,live_pregame,live,HOME,0.3597,,+102,TIE,PUSH,,,,0-0,,ok
32,2250011,2026-03-26,f5_ml,live_pregame,live,HOME,0.4571,,-180,TIE,PUSH,,,,0-0,,ok
39,2250012,2026-03-26,f5_ml,live_pregame,live,HOME,0.3862,,+142,TIE,PUSH,,,,0-0,,ok
46,2250013,2026-03-26,f5_ml,live_pregame,live,HOME,0.4244,,-148,AWAY,LOSS,0,0.331315,,8-0,,ok
53,2250014,2026-03-26,f5_ml,live_pregame,live,HOME,0.4441,,-142,TIE,PUSH,,,,1-1,,ok
60,2250015,2026-03-26,f5_ml,live_pregame,live,HOME,0.4022,,+124,HOME,WIN,1,0.161765,,0-5,,ok
67,2250016,2026-03-26,f5_ml,live_pregame,live,HOME,0.3826,,+162,TIE,PUSH,,,,3-3,,ok
81,2250017,2026-03-27,f5_ml,live_pregame,live,HOME,0.4813,,-145,TIE,PUSH,,,,0-0,,ok
88,2250018,2026-03-27,f5_ml,live_pregame,live,HOME,0.393,,+134,HOME,WIN,1,0.154449,,1-2,,ok
95,2250019,2026-03-27,f5_ml,live_pregame,live,HOME,0.3961,,+148,HOME,WIN,1,0.156895,,1-2,,ok
102,2250020,2026-03-27,f5_ml,live_pregame,live,HOME,0.3672,,+114,HOME,WIN,1,0.134836,,0-4,,ok
109,2250021,2026-03-27,f5_ml,live_pregame,live,HOME,0.3904,,+128,AWAY,LOSS,0,0.371612,,5-2,,ok
116,2250022,2026-03-27,f5_ml,live_pregame,live,HOME,0.4164,,-104,HOME,WIN,1,0.173389,,0-1,,ok
123,2250023,2026-03-27,f5_ml,live_pregame,live,HOME,0.4045,,+140,HOME,WIN,1,0.16362,,1-3,,ok
137,2250024,2026-03-28,f5_ml,live_pregame,live,HOME,0.4312,,-118,HOME,WIN,1,0.185933,,0-2,,ok
144,2250025,2026-03-28,f5_ml,live_pregame,live,HOME,0.3434,,+176,HOME,WIN,1,0.117924,,2-6,,ok
151,2250026,2026-03-28,f5_ml,live_pregame,live,HOME,0.419,,+150,HOME,WIN,1,0.175561,,0-1,,ok
158,2250027,2026-03-28,f5_ml,live_pregame,live,HOME,0.3707,,+136,AWAY,LOSS,0,0.396018,,3-1,,ok
165,2250028,2026-03-28,f5_ml,live_pregame,live,HOME,0.434,,+110,AWAY,LOSS,0,0.320356,,3-0,,ok
172,2250029,2026-03-28,f5_ml,live_pregame,live,HOME,0.3987,,-142,HOME,WIN,1,0.158962,,3-5,,ok
179,2250030,2026-03-28,f5_ml,live_pregame,live,HOME,0.4175,,+132,TIE,PUSH,,,,0-0,,ok
186,2250031,2026-03-28,f5_ml,live_pregame,live,HOME,0.3513,,+158,TIE,PUSH,,,,3-3,,ok
193,2250032,2026-03-28,f5_ml,live_pregame,live,HOME,0.4154,,+106,AWAY,LOSS,0,0.341757,,6-3,,ok
200,2250033,2026-03-28,f5_ml,live_pregame,live,HOME,0.3561,,+140,HOME,WIN,1,0.126807,,1-4,,ok
207,2250034,2026-03-28,f5_ml,live_pregame,live,HOME,0.4007,,+120,TIE,PUSH,,,,0-0,,ok
214,2250035,2026-03-28,f5_ml,live_pregame,live,HOME,0.4043,,-130,AWAY,LOSS,0,0.354858,,3-1,,ok
221,2250036,2026-03-28,f5_ml,live_pregame,live,HOME,0.4023,,-120,HOME,WIN,1,0.161845,,0-3,,ok
228,2250037,2026-03-28,f5_ml,live_pregame,live,HOME,0.3766,,+152,HOME,WIN,1,0.141828,,0-2,,ok
242,2250038,2026-03-29,f5_ml,live_pregame,live,HOME,0.4034,,+124,AWAY,LOSS,0,0.355932,,4-3,,ok
249,2250039,2026-03-29,f5_ml,live_pregame,live,HOME,0.3544,,+122,AWAY,LOSS,0,0.416799,,5-0,,ok
