gameId,gamePk,gameDate,matchup,kind,statsapi_f5,innings,games_actualF5,games_actualF5Total,linescores_f5,games_vs_api,linescores_vs_api,actualF5Total_vs_api,note
3270003,824850,2026-04-30,HOU@BAL G2,disputed,11-3,9,11-3,,11-3,AGREE,AGREE,,
3270004,823471,2026-04-30,SF@PHI G2,disputed,2-4,10,2-4,,2-4,AGREE,AGREE,,
2250733,824516,2026-05-23,STL@CIN G2,disputed,1-5,11,3-1,6,1-5,DISAGREE,AGREE,AGREE,
2250738,824839,2026-05-24,DET@BAL,disputed,2-0,9,4-1,2,2-0,DISAGREE,AGREE,AGREE,
2251290,823035,2026-07-07,MIL@STL G2,disputed,3-0,9,2-3,3,3-0,DISAGREE,AGREE,AGREE,
2250006,823244,2026-03-25,NYY@SF,sample,7-0,9,7-0,7,7-0,AGREE,AGREE,AGREE,
2250029,824540,2026-03-28,BOS@CIN,sample,3-5,11,3-5,8,3-5,AGREE,AGREE,AGREE,
2250053,823484,2026-03-30,WSH@PHI,sample,7-2,9,7-2,9,7-2,AGREE,AGREE,AGREE,
2252346,825107,2026-03-31,DET@ARI,sample,5-1,9,5-1,6,5-1,AGREE,AGREE,AGREE,
2250099,824458,2026-04-03,CHC@CLE,sample,1-1,9,1-1,2,1-1,AGREE,AGREE,AGREE,
2250122,823405,2026-04-05,BAL@PIT,sample,1-6,9,1-6,7,1-6,AGREE,AGREE,AGREE,
2250146,824052,2026-04-06,ATL@LAA,sample,1-6,9,1-6,7,1-6,AGREE,AGREE,AGREE,
2250170,822753,2026-04-08,STL@WSH,sample,3-1,9,3-1,4,3-1,AGREE,AGREE,AGREE,
2250193,823156,2026-04-10,HOU@SEA,sample,3-5,9,3-5,8,3-5,AGREE,AGREE,AGREE,
2250216,823804,2026-04-12,WSH@MIL,sample,2-3,9,2-3,5,2-3,AGREE,AGREE,AGREE,
2250239,824616,2026-04-14,TB@CWS,sample,4-3,9,4-3,7,4-3,AGREE,AGREE,AGREE,
2250262,824289,2026-04-16,KC@DET,sample,1-6,9,1-6,7,1-6,AGREE,AGREE,AGREE,
2250286,824694,2026-04-18,NYM@CHC,sample,1-1,9,1-1,2,1-1,AGREE,AGREE,AGREE,
2250310,823150,2026-04-19,TEX@SEA,sample,0-5,9,0-5,5,0-5,AGREE,AGREE,AGREE,
2250334,823148,2026-04-21,ATH@SEA,sample,2-2,9,2-2,4,2-2,AGREE,AGREE,AGREE,
2250357,822912,2026-04-23,PIT@TEX,sample,1-6,9,1-6,7,1-6,AGREE,AGREE,AGREE,
2250382,823799,2026-04-25,PIT@MIL,sample,2-2,10,2-2,4,2-2,AGREE,AGREE,AGREE,
2250404,824609,2026-04-27,LAA@CWS,sample,4-1,9,4-1,5,4-1,AGREE,AGREE,AGREE,
2250428,823312,2026-04-29,CHC@SD,sample,3-3,9,3-3,6,3-3,AGREE,AGREE,AGREE,
2250453,824366,2026-05-01,ATL@COL,sample,1-6,9,1-6,7,1-6,AGREE,AGREE,AGREE,
2250476,822742,2026-05-03,MIL@WSH,sample,1-2,9,1-2,3,1-2,AGREE,AGREE,AGREE,
2250500,823469,2026-05-05,ATH@PHI,sample,0-1,9,0-1,1,0-1,AGREE,AGREE,AGREE,
2252828,825091,2026-05-06,PIT@ARI,sample,1-0,9,1-0,1,1-0,AGREE,AGREE,AGREE,
2252849,825088,2026-05-08,NYM@ARI,sample,1-1,10,1-1,2,1-1,AGREE,AGREE,AGREE,
2250572,823221,2026-05-10,PIT@SF,sample,3-2,12,3-2,5,3-2,AGREE,AGREE,AGREE,
2252900,822903,2026-05-12,ARI@TEX,sample,1-7,9,1-7,8,1-7,AGREE,AGREE,AGREE,
2250618,824602,2026-05-14,KC@CWS,sample,1-5,9,1-5,6,1-5,AGREE,AGREE,AGREE,
2250642,823706,2026-05-16,MIL@MIN,sample,1-1,9,1-1,2,1-1,AGREE,AGREE,AGREE,
2250665,823867,2026-05-18,ATL@MIA,sample,0-12,9,0-12,12,0-12,AGREE,AGREE,AGREE,
2253002,825086,2026-05-19,SF@ARI,sample,3-1,9,3-1,4,3-1,AGREE,AGREE,AGREE,
2250712,823546,2026-05-22,TB@NYY,sample,0-1,9,0-1,1,0-1,AGREE,AGREE,AGREE,
2250726,824840,2026-05-24,DET@BAL G2,sample,4-1,9,4-1,5,4-1,AGREE,AGREE,AGREE,
2250762,825005,2026-05-25,SEA@ATH,sample,7-0,9,7-0,7,7-0,AGREE,AGREE,AGREE,
2250785,824756,2026-05-27,ATL@BOS,sample,0-6,9,0-6,6,0-6,AGREE,AGREE,AGREE,
2250809,825002,2026-05-29,NYY@ATH,sample,7-1,9,7-1,8,7-1,AGREE,AGREE,AGREE,
2250832,824592,2026-05-31,DET@CWS,sample,1-0,9,1-0,1,1-0,AGREE,AGREE,AGREE,
2250855,823782,2026-06-02,SF@MIL,sample,0-3,9,0-3,3,0-3,AGREE,AGREE,AGREE,
2250878,823779,2026-06-04,SF@MIL,sample,6-3,9,6-3,9,6-3,AGREE,AGREE,AGREE,
2250901,822808,2026-06-06,BAL@TOR,sample,1-6,9,1-6,7,1-6,AGREE,AGREE,AGREE,
2250925,824829,2026-06-08,SEA@BAL,sample,5-1,9,5-1,6,5-1,AGREE,AGREE,AGREE,
2250949,823215,2026-06-10,WSH@SF,sample,2-0,9,2-0,2,2-0,AGREE,AGREE,AGREE,
2250973,823617,2026-06-12,ATL@NYM,sample,3-7,9,3-7,10,3-7,AGREE,AGREE,AGREE,
2250996,823368,2026-06-14,MIA@PIT,sample,2-1,9,2-1,3,2-1,AGREE,AGREE,AGREE,
2251020,822723,2026-06-16,KC@WSH,sample,1-3,9,1-3,4,1-3,AGREE,AGREE,AGREE,
2251044,824992,2026-06-17,PIT@ATH,sample,7-0,9,7-0,7,7-0,AGREE,AGREE,AGREE,
2251068,824263,2026-06-20,CWS@DET,sample,1-1,9,1-1,2,1-1,AGREE,AGREE,AGREE,
2251093,823123,2026-06-21,BOS@SEA,sample,1-2,9,1-2,3,1-2,AGREE,AGREE,AGREE,
2251117,824340,2026-06-23,BOS@COL,sample,3-1,9,3-1,4,3-1,AGREE,AGREE,AGREE,
2251139,822717,2026-06-25,PHI@WSH,sample,0-5,9,0-5,5,0-5,AGREE,AGREE,AGREE,
2251163,824825,2026-06-27,WSH@BAL,sample,2-1,10,2-1,3,2-1,AGREE,AGREE,AGREE,
2251186,823444,2026-06-29,PIT@PHI,sample,8-5,9,8-5,13,8-5,AGREE,AGREE,AGREE,
2251210,823122,2026-06-30,LAA@SEA,sample,0-0,9,0-0,0,0-0,AGREE,AGREE,AGREE,
2251233,824659,2026-07-03,STL@CHC,sample,14-0,9,14-0,14,14-0,AGREE,AGREE,AGREE,
2251257,824983,2026-07-04,MIA@ATH,sample,4-0,9,4-0,4,4-0,AGREE,AGREE,AGREE,
2253636,823282,2026-07-06,ARI@SD,sample,7-0,9,7-0,7,7-0,AGREE,AGREE,AGREE,
2251303,823684,2026-07-08,CLE@MIN,sample,3-3,9,3-3,6,3-3,AGREE,AGREE,AGREE,
2251327,823845,2026-07-10,CLE@MIA,sample,3-0,9,3-0,3,3-0,AGREE,AGREE,AGREE,
2251349,824814,2026-07-12,KC@BAL,sample,2-2,9,2-2,4,2-2,AGREE,AGREE,AGREE,
2251373,824009,2026-07-17,DET@LAA,sample,0-1,9,0-1,1,0-1,AGREE,AGREE,AGREE,
2251395,824168,2026-07-19,BAL@HOU,sample,4-1,9,4-1,5,4-1,AGREE,AGREE,AGREE,
2251418,824409,2026-07-21,MIN@CLE,sample,2-2,9,2-2,4,2-2,AGREE,AGREE,AGREE,
2251442,824896,2026-07-22,SD@ATL,sample,0-1,9,0-1,1,0-1,AGREE,AGREE,AGREE,
