gameId,gameDate,calib_month,T_f5,league_env_mult,f5_total_sd,stored_pF5AwayMl,recomputed_pF5AwayMl,absdiff_pF5AwayMl,MISMATCH_pF5AwayMl,stored_projF5Total,recomputed_projF5Total,absdiff_projF5Total,MISMATCH_projF5Total,stored_pF5Over,recomputed_pF5Over,absdiff_pF5Over,MISMATCH_pF5Over,stored_pF5AwayRl,recomputed_pF5AwayRl,absdiff_pF5AwayRl,MISMATCH_pF5AwayRl
2250006,2026-03-25,2026-03,1.0,1.0,2.9,0.458,0.458,0.0,0,4.159,4.159,0.0,0,0.4562,0.4562,0.0,0,0.6298,0.6298,0.0,0
2250007,2026-03-26,2026-03,1.0,1.0,2.9,0.4316,0.4316,0.0,0,4.208,4.208,0.0,0,0.4628,0.4628,0.0,0,0.6028,0.6028,0.0,0
2250008,2026-03-26,2026-03,1.0,1.0,2.9,0.3992,0.3992,0.0,0,4.371,4.371,0.0,0,0.4851,0.4851,0.0,0,0.5666,0.5666,0.0,0
2250009,2026-03-26,2026-03,1.0,1.0,2.9,0.3728,0.3728,0.0,0,4.669,4.669,0.0,0,0.523,0.523,0.0,0,0.5324,0.5324,0.0,0
2250010,2026-03-26,2026-03,1.0,1.0,2.9,0.3716,0.3716,0.0,0,4.268,4.268,0.0,0,0.4026,0.4026,0.0,0,0.5422,0.5422,0.0,0
2250011,2026-03-26,2026-03,1.0,1.0,2.9,0.4402,0.4402,0.0,0,4.634,4.634,0.0,0,0.4517,0.4517,0.0,0,0.6015,0.6015,0.0,0
2250012,2026-03-26,2026-03,1.0,1.0,2.9,0.3621,0.3621,0.0,0,4.39,4.39,0.0,0,0.4193,0.4193,0.0,0,0.5286,0.5286,0.0,0
2250013,2026-03-26,2026-03,1.0,1.0,2.9,0.4343,0.4343,0.0,0,3.574,3.574,0.0,0,0.3729,0.3729,0.0,0,0.625,0.625,0.0,0
2250014,2026-03-26,2026-03,1.0,1.0,2.9,0.4426,0.4426,0.0,0,4.12,4.12,0.0,0,0.3823,0.3823,0.0,0,0.6162,0.6162,0.0,0
2250015,2026-03-26,2026-03,1.0,1.0,2.9,0.4423,0.4423,0.0,0,4.362,4.362,0.0,0,0.4163,0.4163,0.0,0,0.6093,0.6093,0.0,0
2250016,2026-03-26,2026-03,1.0,1.0,2.9,0.3837,0.3837,0.0,0,3.846,3.846,0.0,0,0.4798,0.4798,0.0,0,0.5665,0.5665,0.0,0
2250017,2026-03-27,2026-03,1.0,1.0,2.9,0.4284,0.4284,0.0,0,4.306,4.306,0.0,0,0.4085,0.4085,0.0,0,0.5978,0.5978,0.0,0
2250018,2026-03-27,2026-03,1.0,1.0,2.9,0.3784,0.3784,0.0,0,4.543,4.543,0.0,0,0.4396,0.4396,0.0,0,0.5412,0.5412,0.0,0
2250019,2026-03-27,2026-03,1.0,1.0,2.9,0.439,0.439,0.0,0,4.716,4.716,0.0,0,0.4615,0.4615,0.0,0,0.5984,0.5984,0.0,0
2250020,2026-03-27,2026-03,1.0,1.0,2.9,0.3943,0.3943,0.0,0,4.223,4.223,0.0,0,0.4642,0.4642,0.0,0,0.5659,0.5659,0.0,0
2250021,2026-03-27,2026-03,1.0,1.0,2.9,0.3971,0.3971,0.0,0,4.629,4.629,0.0,0,0.4501,0.4501,0.0,0,0.5575,0.5575,0.0,0
2250022,2026-03-27,2026-03,1.0,1.0,2.9,0.4328,0.4328,0.0,0,4.013,4.013,0.0,0,0.4365,0.4365,0.0,0,0.6101,0.6101,0.0,0
2250023,2026-03-27,2026-03,1.0,1.0,2.9,0.409,0.409,0.0,0,3.897,3.897,0.0,0,0.4202,0.4202,0.0,0,0.5896,0.5896,0.0,0
2250024,2026-03-28,2026-03,1.0,1.0,2.9,0.4242,0.4242,0.0,0,4.266,4.266,0.0,0,0.4705,0.4705,0.0,0,0.5937,0.5937,0.0,0
2250025,2026-03-28,2026-03,1.0,1.0,2.9,0.365,0.365,0.0,0,4.403,4.403,0.0,0,0.4207,0.4207,0.0,0,0.5322,0.5322,0.0,0
2250026,2026-03-28,2026-03,1.0,1.0,2.9,0.4294,0.4294,0.0,0,4.649,4.649,0.0,0,0.4535,0.4535,0.0,0,0.5905,0.5905,0.0,0
2250027,2026-03-28,2026-03,1.0,1.0,2.9,0.3775,0.3775,0.0,0,4.589,4.589,0.0,0,0.5127,0.5127,0.0,0,0.5394,0.5394,0.0,0
2250028,2026-03-28,2026-03,1.0,1.0,2.9,0.4533,0.4533,0.0,0,4.817,4.817,0.0,0,0.5414,0.5414,0.0,0,0.6094,0.6094,0.0,0
2250029,2026-03-28,2026-03,1.0,1.0,2.9,0.4161,0.4161,0.0,0,4.486,4.486,0.0,0,0.4999,0.4999,0.0,0,0.5805,0.5805,0.0,0
2250030,2026-03-28,2026-03,1.0,1.0,2.9,0.4009,0.4009,0.0,0,4.581,4.581,0.0,0,0.5128,0.5128,0.0,0,0.5624,0.5624,0.0,0
2250031,2026-03-28,2026-03,1.0,1.0,2.9,0.4067,0.4067,0.0,0,4.452,4.452,0.0,0,0.4951,0.4951,0.0,0,0.5719,0.5719,0.0,0
2250032,2026-03-28,2026-03,1.0,1.0,2.9,0.4116,0.4116,0.0,0,4.488,4.488,0.0,0,0.3748,0.3748,0.0,0,0.5761,0.5761,0.0,0
2250033,2026-03-28,2026-03,1.0,1.0,2.9,0.3717,0.3717,0.0,0,4.595,4.595,0.0,0,0.446,0.446,0.0,0,0.5321,0.5321,0.0,0
2250034,2026-03-28,2026-03,1.0,1.0,2.9,0.4963,0.4963,0.0,0,5.3,5.3,0.0,0,0.533,0.533,0.0,0,0.6428,0.6428,0.0,0
2250035,2026-03-28,2026-03,1.0,1.0,2.9,0.3877,0.3877,0.0,0,4.369,4.369,0.0,0,0.4167,0.4167,0.0,0,0.5543,0.5543,0.0,0
2250036,2026-03-28,2026-03,1.0,1.0,2.9,0.4194,0.4194,0.0,0,4.286,4.286,0.0,0,0.4054,0.4054,0.0,0,0.5885,0.5885,0.0,0
2250037,2026-03-28,2026-03,1.0,1.0,2.9,0.3881,0.3881,0.0,0,3.557,3.557,0.0,0,0.3705,0.3705,0.0,0,0.5808,0.5808,0.0,0
2250038,2026-03-29,2026-03,1.0,1.0,2.9,0.4174,0.4174,0.0,0,5.137,5.137,0.0,0,0.4555,0.4555,0.0,0,0.5676,0.5676,0.0,0
2250039,2026-03-29,2026-03,1.0,1.0,2.9,0.4059,0.4059,0.0,0,4.967,4.967,0.0,0,0.4938,0.4938,0.0,0,0.5594,0.5594,0.0,0
2250040,2026-03-29,2026-03,1.0,1.0,2.9,0.4,0.4,0.0,0,4.758,4.758,0.0,0,0.4674,0.4674,0.0,0,0.5579,0.5579,0.0,0
2250041,2026-03-29,2026-03,1.0,1.0,2.9,0.4058,0.4058,0.0,0,4.463,4.463,0.0,0,0.3709,0.3709,0.0,0,0.5708,0.5708,0.0,0
