gameId,gameDate,p1_pF5AwayMl,p1_pF5AwayRl,p2_pF5AwayRl,implied_tie_raw,implied_away_raw,actualF5Away,actualF5Home,f5_margin_home_minus_away,away_p05_cover,f5_tie,live_awayRl01,live_pred_prefix,live_pred_postfix,live_class,live_understatement_vs_postfix
2250006,2026-03-25,0.458,0.6298,0.6298,0.17775,0.45205,7.0,0.0,-7.0,1,0,,,,missing,
2250007,2026-03-26,0.4316,0.6028,0.6028,0.17655,0.42625,4.0,9.0,5.0,0,0,0.4808,0.48063,0.5722,prefix,0.0914
2250008,2026-03-26,0.3992,0.5666,0.5666,0.17134,0.39526,1.0,8.0,7.0,0,0,0.4717,0.47168,0.55278,prefix,0.08108
2250009,2026-03-26,0.3728,0.5324,0.5324,0.16151,0.37089,7.0,3.0,-4.0,1,0,0.4149,0.41463,0.50965,prefix,0.09475
2250010,2026-03-26,0.3716,0.5422,0.5422,0.17491,0.36729,0.0,0.0,0.0,1,1,0.4292,0.42893,0.52515,prefix,0.09595
2250011,2026-03-26,0.4402,0.6015,0.6015,0.16411,0.43739,0.0,0.0,0.0,1,1,0.5475,0.54664,0.62484,prefix,0.07734
2250012,2026-03-26,0.3621,0.5286,0.5286,0.1698,0.3588,0.0,0.0,0.0,1,1,0.4608,0.46169,0.55428,prefix,0.09348
2250013,2026-03-26,0.4343,0.625,0.625,0.20147,0.42353,8.0,0.0,-8.0,1,0,0.5146,0.5148,0.60815,prefix,0.09355
2250014,2026-03-26,0.4426,0.6162,0.6162,0.17979,0.43641,1.0,1.0,0.0,1,1,0.5283,0.5275,0.60442,prefix,0.07612
2250015,2026-03-26,0.4423,0.6093,0.6093,0.17137,0.43793,0.0,5.0,5.0,0,0,0.4808,0.4803,0.56881,prefix,0.08801
2250016,2026-03-26,0.3837,0.5665,0.5665,0.19013,0.37637,3.0,3.0,0.0,1,1,0.4608,0.46002,0.55727,prefix,0.09647
2250017,2026-03-27,0.4284,0.5978,0.5978,0.17423,0.42357,0.0,0.0,0.0,1,1,0.5745,0.57455,0.64692,prefix,0.07242
2250018,2026-03-27,0.3784,0.5412,0.5412,0.16546,0.37574,1.0,2.0,1.0,0,0,0.463,0.46366,0.54599,prefix,0.08299
2250019,2026-03-27,0.439,0.5984,0.5984,0.16169,0.43671,1.0,2.0,1.0,0,0,0.4739,0.47335,0.56367,prefix,0.08977
2250020,2026-03-27,0.3943,0.5659,0.5659,0.17648,0.38942,0.0,4.0,4.0,0,0,0.4414,0.44151,0.54194,prefix,0.10054
2250021,2026-03-27,0.3971,0.5575,0.5575,0.16265,0.39485,5.0,2.0,-3.0,1,0,0.463,0.46355,0.55072,prefix,0.08772
2250022,2026-03-27,0.4328,0.6101,0.6101,0.18432,0.42578,0.0,1.0,1.0,0,0,0.4975,0.49708,0.58257,prefix,0.08507
2250023,2026-03-27,0.409,0.5896,0.5896,0.18797,0.40163,1.0,3.0,2.0,0,0,0.4854,0.48466,0.575,prefix,0.0896
2250024,2026-03-28,0.4242,0.5937,0.5937,0.17429,0.41941,0.0,2.0,2.0,0,0,0.5098,0.50867,0.58404,prefix,0.07424
2250025,2026-03-28,0.365,0.5322,0.5322,0.17068,0.36152,2.0,6.0,4.0,0,0,0.4082,0.40866,0.50665,prefix,0.09845
2250026,2026-03-28,0.4294,0.5905,0.5905,0.16377,0.42673,0.0,1.0,1.0,0,0,0.4926,0.49254,0.56794,prefix,0.07534
2250027,2026-03-28,0.3775,0.5394,0.5394,0.16435,0.37505,3.0,1.0,-2.0,1,0,0.4405,0.44047,0.53211,prefix,0.09161
2250028,2026-03-28,0.4533,0.6094,0.6094,0.15757,0.45183,3.0,0.0,-3.0,1,0,0.5122,0.51137,0.5855,prefix,0.0733
2250029,2026-03-28,0.4161,0.5805,0.5805,0.16779,0.41271,3.0,5.0,2.0,0,0,0.4717,0.47256,0.55685,prefix,0.08515
2250030,2026-03-28,0.4009,0.5624,0.5624,0.16404,0.39836,0.0,0.0,0.0,1,1,0.4926,0.49204,0.56925,prefix,0.07665
2250031,2026-03-28,0.4067,0.5719,0.5719,0.16869,0.40321,3.0,3.0,0.0,1,1,0.4184,0.41871,0.51625,prefix,0.09785
2250032,2026-03-28,0.4116,0.5761,0.5761,0.16787,0.40823,6.0,3.0,-3.0,1,0,0.495,0.49446,0.57838,prefix,0.08338
2250033,2026-03-28,0.3717,0.5321,0.5321,0.16248,0.36962,1.0,4.0,3.0,0,0,0.4167,0.41727,0.50113,prefix,0.08443
2250034,2026-03-28,0.4963,0.6428,0.6428,0.14523,0.49757,0.0,0.0,0.0,1,1,0.4762,0.47663,0.56304,prefix,0.08684
2250035,2026-03-28,0.3877,0.5543,0.5543,0.17021,0.38409,3.0,1.0,-2.0,1,0,0.4854,0.486,0.57836,prefix,0.09296
2250036,2026-03-28,0.4194,0.5885,0.5885,0.17372,0.41478,0.0,3.0,3.0,0,0,0.4808,0.48185,0.57237,prefix,0.09157
2250037,2026-03-28,0.3881,0.5808,0.5808,0.20253,0.37827,0.0,2.0,2.0,0,0,0.4566,0.45654,0.56056,prefix,0.10396
2250038,2026-03-29,0.4174,0.5676,0.5676,0.15008,0.41752,4.0,3.0,-1.0,1,0,0.4762,0.47672,0.55825,prefix,0.08205
2250039,2026-03-29,0.4059,0.5594,0.5594,0.15416,0.40524,5.0,0.0,-5.0,1,0,0.4167,0.41743,0.50552,prefix,0.08882
2250040,2026-03-29,0.4,0.5579,0.5579,0.15958,0.39832,3.0,0.0,-3.0,1,0,0.4405,0.44148,0.52711,prefix,0.08661
2250041,2026-03-29,0.4058,0.5708,0.5708,0.16843,0.40237,2.0,5.0,3.0,0,0,0.5074,0.50746,0.57971,prefix,0.07231
2250042,2026-03-29,0.4422,0.6054,0.6054,0.16654,0.43886,2.0,0.0,-2.0,1,0,0.5516,0.55064,0.62663,prefix,0.07503
2250043,2026-03-29,0.3745,0.541,0.541,0.16994,0.37106,2.0,2.0,0.0,1,1,0.4149,0.415,0.51233,prefix,0.09743
2250044,2026-03-29,0.4803,0.6365,0.6365,0.15782,0.47868,3.0,2.0,-1.0,1,0,0.5192,0.51849,0.59765,prefix,0.07845
2250045,2026-03-29,0.3529,0.5024,0.5024,0.14926,0.35314,6.0,6.0,0.0,1,1,0.4132,0.41276,0.49775,prefix,0.08455
2250046,2026-03-29,0.3962,0.5666,0.5666,0.17502,0.39158,7.0,2.0,-5.0,1,0,0.4098,0.40925,0.4958,prefix,0.086
2250047,2026-03-29,0.4621,0.6302,0.6302,0.17304,0.45716,6.0,4.0,-2.0,1,0,0.569,0.56962,0.63633,prefix,0.06733
2250048,2026-03-29,0.3696,0.5285,0.5285,0.16064,0.36786,3.0,2.0,-1.0,1,0,0.4016,0.40192,0.49655,prefix,0.09495
2250049,2026-03-29,0.4272,0.6026,0.6026,0.1818,0.4208,0.0,6.0,6.0,0,0,0.4878,0.48799,0.5757,prefix,0.0879
2250050,2026-03-30,0.3869,0.5516,0.5516,0.16787,0.38373,1.0,2.0,1.0,0,0,0.5074,0.50651,0.59741,prefix,0.09001
2250051,2026-03-30,0.4261,0.5799,0.5799,0.15458,0.42532,4.0,2.0,-2.0,1,0,0.5,0.50101,0.58135,prefix,0.08135
2250052,2026-03-30,0.4411,0.6036,0.6036,0.16564,0.43796,0.0,2.0,2.0,0,0,0.4854,0.48584,0.57397,prefix,0.08857
2250053,2026-03-30,0.4227,0.5744,0.5744,0.15195,0.42245,7.0,2.0,-5.0,1,0,0.4878,0.48781,0.55834,prefix,0.07054
2250054,2026-03-30,0.4249,0.5903,0.5903,0.16914,0.42116,8.0,3.0,-5.0,1,0,0.495,0.49472,0.57657,prefix,0.08157
2250055,2026-03-30,0.418,0.5684,0.5684,0.15033,0.41807,2.0,1.0,-1.0,1,0,0.4149,0.41509,0.49524,prefix,0.08034
2250056,2026-03-30,0.4368,0.5966,0.5966,0.16218,0.43442,0.0,3.0,3.0,0,0,0.5122,0.51151,0.59075,prefix,0.07855
2250057,2026-03-30,0.3303,0.4736,0.4736,0.14195,0.33165,0.0,6.0,6.0,0,0,0.4695,0.47003,0.55579,prefix,0.08629
2250058,2026-03-30,0.4011,0.5655,0.5655,0.16764,0.39786,1.0,0.0,-1.0,1,0,0.4717,0.47067,0.54927,prefix,0.07757
2250059,2026-03-30,0.4126,0.5838,0.5838,0.17626,0.40754,2.0,1.0,-1.0,1,0,0.5215,0.52127,0.59974,prefix,0.07824
2250060,2026-03-30,0.4984,0.6482,0.6482,0.14952,0.49868,0.0,4.0,4.0,0,0,0.5763,0.57625,0.63689,prefix,0.06059
2250061,2026-03-30,0.4353,0.5949,0.5949,0.16192,0.43298,3.0,0.0,-3.0,1,0,0.4762,0.47611,0.56009,prefix,0.08389
2250062,2026-03-30,0.426,0.604,0.604,0.18507,0.41893,0.0,1.0,1.0,0,0,0.4739,0.47431,0.56431,prefix,0.09041
2250063,2026-03-30,0.4192,0.5753,0.5753,0.15744,0.41786,1.0,0.0,-1.0,1,0,0.4484,0.44759,0.53813,prefix,0.08973
2250064,2026-03-31,0.4924,0.6434,0.6434,0.15109,0.49231,3.0,3.0,0.0,1,1,0.6169,0.61739,0.67317,prefix,0.05627
2250065,2026-03-31,0.4452,0.6156,0.6156,0.17575,0.43985,6.0,1.0,-5.0,1,0,0.5192,0.52007,0.6042,prefix,0.085
2250066,2026-03-31,0.4019,0.5537,0.5537,0.15206,0.40164,0.0,3.0,3.0,0,0,0.4202,0.41993,0.5001,prefix,0.0799
2250067,2026-03-31,0.3775,0.5442,0.5442,0.17022,0.37398,2.0,4.0,2.0,0,0,0.4219,0.42136,0.51331,prefix,0.09141
2250068,2026-03-31,0.4326,0.58,0.58,0.14656,0.43344,0.0,2.0,2.0,0,0,0.4831,0.48226,0.55396,prefix,0.07086
2250069,2026-03-31,0.3655,0.5262,0.5262,0.1628,0.3634,5.0,2.0,-3.0,1,0,0.4545,0.45551,0.54551,prefix,0.09101
2250070,2026-03-31,0.3891,0.5537,0.5537,0.16777,0.38593,0.0,0.0,0.0,1,1,0.4386,0.43836,0.53367,prefix,0.09507
2250071,2026-03-31,0.3839,0.5577,0.5577,0.17903,0.37867,2.0,3.0,1.0,0,0,0.4484,0.44888,0.53403,prefix,0.08563
2250072,2026-03-31,0.4587,0.6212,0.6212,0.1658,0.4554,0.0,2.0,2.0,0,0,0.5633,0.56268,0.62779,prefix,0.06449
2250073,2026-03-31,0.3866,0.5542,0.5542,0.17143,0.38277,1.0,6.0,5.0,0,0,0.4831,0.48219,0.56887,prefix,0.08577
2250074,2026-03-31,0.4898,0.6491,0.6491,0.16191,0.48719,4.0,3.0,-1.0,1,0,0.5614,0.56115,0.6301,prefix,0.0687
2250075,2026-03-31,0.4371,0.6245,0.6245,0.19733,0.42717,2.0,0.0,-2.0,1,0,0.537,0.53681,0.6206,prefix,0.0836
2250076,2026-03-31,0.3641,0.5254,0.5254,0.16352,0.36188,0.0,1.0,1.0,0,0,0.431,0.43149,0.53291,prefix,0.10191
2250077,2026-04-01,0.3641,0.5284,0.5284,0.16715,0.36125,1.0,5.0,4.0,0,0,0.4566,0.45711,0.55011,prefix,0.09351
2250078,2026-04-01,0.4179,0.592,0.592,0.17999,0.41201,2.0,7.0,5.0,0,0,0.495,0.49421,0.58718,prefix,0.09218
2250079,2026-04-01,0.4311,0.6087,0.6087,0.18467,0.42403,3.0,1.0,-2.0,1,0,0.5146,0.51559,0.60341,prefix,0.08881
2250080,2026-04-01,0.3526,0.5035,0.5035,0.15094,0.35256,1.0,1.0,0.0,1,1,0.365,0.36484,0.45694,prefix,0.09194
2250081,2026-04-01,0.3975,0.5572,0.5572,0.16179,0.39541,0.0,1.0,1.0,0,0,0.4274,0.42816,0.5224,prefix,0.095
2250082,2026-04-01,0.4262,0.5968,0.5968,0.17571,0.42109,0.0,8.0,8.0,0,0,0.4762,0.47699,0.56669,prefix,0.09049
2250083,2026-04-01,0.4573,0.6296,0.6296,0.17838,0.45122,0.0,0.0,0.0,1,1,0.5595,0.55944,0.63069,prefix,0.07119
2250084,2026-04-01,0.433,0.6018,0.6018,0.17353,0.42827,2.0,2.0,0.0,1,1,0.4975,0.49682,0.57325,prefix,0.07575
2250085,2026-04-01,0.4522,0.6194,0.6194,0.17175,0.44765,2.0,5.0,3.0,0,0,0.5305,0.52947,0.60923,prefix,0.07873
2250086,2026-04-01,0.3715,0.5333,0.5333,0.16418,0.36912,0.0,5.0,5.0,0,0,0.4484,0.44886,0.53974,prefix,0.09134
2250087,2026-04-01,0.386,0.5661,0.5661,0.18684,0.37926,0.0,2.0,2.0,0,0,0.4608,0.4599,0.55609,prefix,0.09529
2250088,2026-04-01,0.4357,0.6156,0.6156,0.1877,0.4279,1.0,0.0,-1.0,1,0,0.5413,0.54161,0.61871,prefix,0.07741
2250089,2026-04-01,0.4073,0.5781,0.5781,0.17568,0.40242,1.0,5.0,4.0,0,0,0.4866,0.4866,0.5785,prefix,0.0919
2250090,2026-04-01,0.3598,0.525,0.525,0.1682,0.3568,2.0,0.0,-2.0,1,0,0.4049,0.40465,0.5139,prefix,0.109
2250091,2026-04-02,0.3912,0.5556,0.5556,0.16754,0.38806,1.0,0.0,-1.0,1,0,0.4854,0.48523,0.57696,prefix,0.09156
2250092,2026-04-03,0.4406,0.6042,0.6042,0.16703,0.43717,1.0,3.0,2.0,0,0,,,,missing,
2250093,2026-04-02,0.4153,0.5856,0.5856,0.17517,0.41043,2.0,6.0,4.0,0,0,0.5025,0.5021,0.58908,prefix,0.08658
2250094,2026-04-03,0.5212,0.666,0.666,0.14289,0.52311,11.0,4.0,-7.0,1,0,0.639,0.63898,0.69384,prefix,0.05484
2250095,2026-04-03,0.4032,0.5685,0.5685,0.16878,0.39972,0.0,3.0,3.0,0,0,0.4854,0.48456,0.56559,prefix,0.08019
2250096,2026-04-03,0.4311,0.5911,0.5911,0.16239,0.42871,2.0,4.0,2.0,0,0,0.5098,0.51029,0.58722,prefix,0.07742
2250097,2026-04-03,0.4271,0.5953,0.5953,0.17269,0.42261,2.0,2.0,0.0,1,1,0.5122,0.51278,0.5862,prefix,0.074
2250098,2026-04-03,0.453,0.6221,0.6221,0.1742,0.4479,2.0,2.0,0.0,1,1,0.505,0.50509,0.59912,prefix,0.09412
2250099,2026-04-03,0.4448,0.6206,0.6206,0.18265,0.43795,1.0,1.0,0.0,1,1,0.5392,0.53893,0.62339,prefix,0.08419
2250100,2026-04-03,0.4339,0.5878,0.5878,0.15472,0.43308,3.0,3.0,0.0,1,1,0.495,0.49525,0.56864,prefix,0.07364
2250101,2026-04-03,0.4152,0.5445,0.5445,0.12422,0.42028,10.0,1.0,-9.0,1,0,0.5671,0.56754,0.62268,prefix,0.05558
2250102,2026-04-03,0.4637,0.6236,0.6236,0.1625,0.4611,2.0,5.0,3.0,0,0,0.5595,0.55967,0.64123,prefix,0.08173
2250103,2026-04-04,0.4813,0.6434,0.6434,0.16549,0.47791,2.0,2.0,0.0,1,1,0.5261,0.52533,0.60826,prefix,0.08216
2250104,2026-04-03,0.4521,0.6238,0.6238,0.17752,0.44628,0.0,0.0,0.0,1,1,0.5851,0.58459,0.65118,prefix,0.06608
2250105,2026-04-03,0.4313,0.5715,0.5715,0.13755,0.43395,1.0,11.0,10.0,0,0,0.495,0.49491,0.56648,prefix,0.07148
2250106,2026-04-03,0.4248,0.6026,0.6026,0.18479,0.41781,5.0,0.0,-5.0,1,0,0.5349,0.53584,0.62181,prefix,0.08691
2250107,2026-04-04,0.3925,0.5567,0.5567,0.16731,0.38939,6.0,8.0,2.0,0,0,0.4484,0.44804,0.53431,prefix,0.08591
2250108,2026-04-04,0.469,0.6395,0.6395,0.17625,0.46325,0.0,1.0,1.0,0,0,0.5392,0.53986,0.61887,prefix,0.07967
2250109,2026-04-04,0.5286,0.6692,0.6692,0.13729,0.53191,9.0,2.0,-7.0,1,0,0.6479,0.64797,0.69841,prefix,0.05051
2250110,2026-04-04,0.4223,0.5616,0.5616,0.1365,0.4251,7.0,0.0,-7.0,1,0,0.4608,0.46172,0.53852,prefix,0.07772
2250111,2026-04-04,0.4187,0.5702,0.5702,0.1517,0.4185,2.0,1.0,-1.0,1,0,0.5192,0.52027,0.60509,prefix,0.08589
2250112,2026-04-04,0.3725,0.5476,0.5476,0.18043,0.36717,2.0,1.0,-1.0,1,0,0.4831,0.48396,0.56833,prefix,0.08523
2250113,2026-04-04,0.363,0.536,0.536,0.17771,0.35829,5.0,0.0,-5.0,1,0,0.5261,0.52526,0.60806,prefix,0.08196
2250114,2026-04-04,0.4425,0.6103,0.6103,0.17239,0.43791,2.0,0.0,-2.0,1,0,0.5305,0.5313,0.6151,prefix,0.0846
2250115,2026-04-04,0.3693,0.522,0.522,0.15312,0.36888,4.0,2.0,-2.0,1,0,0.4255,0.42642,0.51143,prefix,0.08593
2250116,2026-04-04,0.4963,0.6517,0.6517,0.15684,0.49486,6.0,1.0,-5.0,1,0,0.5798,0.58068,0.6419,prefix,0.0621
2250117,2026-04-05,0.4632,0.6368,0.6368,0.18016,0.45664,1.0,0.0,-1.0,1,0,0.5556,0.55642,0.63067,prefix,0.07507
2250118,2026-04-04,0.4214,0.5637,0.5637,0.14024,0.42346,2.0,1.0,-1.0,1,0,0.5475,0.54675,0.61188,prefix,0.06438
2250119,2026-04-04,0.4442,0.6055,0.6055,0.16414,0.44136,8.0,0.0,-8.0,1,0,0.5614,0.56125,0.63488,prefix,0.07348
2250120,2026-04-04,0.4805,0.6283,0.6283,0.14695,0.48135,0.0,1.0,1.0,0,0,0.6212,0.6208,0.67089,prefix,0.04969
2250121,2026-04-05,0.4327,0.5756,0.5756,0.14092,0.43468,1.0,6.0,5.0,0,0,0.5516,0.55242,0.61804,prefix,0.06644
2250122,2026-04-05,0.4051,0.5637,0.5637,0.16048,0.40322,1.0,6.0,5.0,0,0,0.505,0.50517,0.59354,prefix,0.08854
2250123,2026-04-05,0.3695,0.5337,0.5337,0.16708,0.36662,6.0,4.0,-2.0,1,0,0.4975,0.49853,0.57475,prefix,0.07725
2250124,2026-04-05,0.3121,0.497,0.497,0.191,0.306,2.0,4.0,2.0,0,0,0.4132,0.41271,0.50715,prefix,0.09395
2250125,2026-04-05,0.425,0.5977,0.5977,0.17834,0.41936,0.0,0.0,0.0,1,1,0.505,0.50388,0.58792,prefix,0.08292
