gameId,gameDate,awayTeam,homeTeam,mlbGamePk,modelRunAt,actualF5Away,actualF5Home,actualF5Total,live_awayWinPct,live_homeWinPct,live_pushPct,live_pushRaw,live_awayRlCoverPct,live_homeRlCoverPct,live_overRate,live_underRate,live_f5Total,book_f5Total,book_f5AwayRunLine,book_bookTotal,p1_pF5AwayMl,p1_projF5Total,p1_pF5Over,p1_pF5AwayRl,p1_projTotal,p1_projAwayScore,p1_projHomeScore,p1_pAwayMl,p2_pF5AwayMl,p2_projF5Total,p2_pF5Over,p2_pF5AwayRl,p2_projTotal,calib_month,calib_seed,calib_league_env_mult,calib_T_f5,calib_f5_total_sd
2250006,2026-03-25,NYY,SF,823244,,7,0,7.0,,,,,,,,,,3.5,-0.5,7.0,0.45800,4.159,0.45620,0.62980,7.750,3.900,3.850,0.47580,0.45800,4.159,0.45620,0.62980,7.750,2026-03,True,1.0,1.0,2.9
2250007,2026-03-26,PIT,NYM,823649,1776250825827,4,9,13.0,40.08,43.31,0.1661,0.1763,48.08,51.92,0.46,0.54,4.0,3.5,-0.5,7.0,0.43160,4.208,0.46280,0.60280,7.900,3.900,4.000,0.46150,0.43160,4.208,0.46280,0.60280,7.900,2026-03,True,1.0,1.0,2.9
2250008,2026-03-26,CWS,MIL,823812,1776250826153,1,8,9.0,39.98,44.78,0.1524,0.1535,47.17,52.83,0.56,0.44,4.0,4.5,0.5,7.5,0.39920,4.371,0.48510,0.56660,8.220,3.840,4.390,0.41940,0.39920,4.371,0.48510,0.56660,8.220,2026-03,True,1.0,1.0,2.9
2250009,2026-03-26,WSH,CHC,824704,1776250826222,7,3,10.0,34.92,49.30,0.1577,0.1624,41.49,58.51,0.51,0.49,4.0,3.5,0.5,7.0,0.37280,4.669,0.52300,0.53240,8.760,3.820,4.940,0.37270,0.37280,4.669,0.52300,0.53240,8.760,2026-03,True,1.0,1.0,2.9
2250010,2026-03-26,MIN,BAL,824865,1776250826284,0,0,0.0,35.97,47.89,0.1614,0.1685,42.92,57.08,0.42,0.58,4.5,4.5,0.5,8.5,0.37160,4.268,0.40260,0.54220,8.020,3.510,4.510,0.37720,0.37160,4.268,0.40260,0.54220,8.020,2026-03,True,1.0,1.0,2.9
2250011,2026-03-26,BOS,CIN,824541,1776250826348,0,0,0.0,45.71,37.91,0.1638,0.1725,54.75,45.25,0.41,0.59,4.5,3.5,-0.5,8.0,0.44020,4.634,0.45170,0.60150,8.620,4.240,4.380,0.45810,0.44020,4.634,0.45170,0.60150,8.620,2026-03,True,1.0,1.0,2.9
2250012,2026-03-26,LAA,HOU,824218,1776250826410,0,0,0.0,38.62,45.03,0.1635,0.1720,46.08,53.92,0.42,0.58,4.5,4.5,0.5,8.0,0.36210,4.390,0.41930,0.52860,8.300,3.540,4.770,0.35920,0.36210,4.390,0.41930,0.52860,8.300,2026-03,True,1.0,1.0,2.9
2250013,2026-03-26,DET,SD,823325,1776250826472,8,0,8.0,42.44,40.00,0.1757,0.1923,51.46,48.54,0.40,0.60,4.0,3.5,-0.5,7.0,0.43430,3.574,0.37290,0.62500,6.760,3.370,3.390,0.46900,0.43430,3.574,0.37290,0.62500,6.760,2026-03,True,1.0,1.0,2.9
2250014,2026-03-26,TB,STL,823081,1776250826530,1,1,2.0,44.41,39.78,0.1580,0.1629,52.83,47.17,0.45,0.55,4.5,4.5,-0.5,8.0,0.44260,4.120,0.38230,0.61620,7.810,3.880,3.920,0.46670,0.44260,4.120,0.38230,0.61620,7.810,2026-03,True,1.0,1.0,2.9
2250015,2026-03-26,TEX,PHI,823486,1776250826588,0,5,5.0,40.22,43.52,0.1625,0.1704,48.08,51.92,0.42,0.58,4.5,4.5,0.5,8.0,0.44230,4.362,0.41630,0.60930,8.160,4.070,4.090,0.46780,0.44230,4.362,0.41630,0.60930,8.160,2026-03,True,1.0,1.0,2.9
2250016,2026-03-26,CLE,SEA,823163,1776250826648,3,3,6.0,38.26,44.91,0.1683,0.1801,46.08,53.92,0.51,0.49,3.5,3.5,0.5,6.5,0.38370,3.846,0.47980,0.56650,7.300,3.310,3.990,0.40080,0.38370,3.846,0.47980,0.56650,7.300,2026-03,True,1.0,1.0,2.9
2250017,2026-03-27,NYY,SF,823243,1776251183023,0,0,0.0,48.13,35.64,0.1623,0.1701,57.45,42.55,0.41,0.59,4.5,4.5,-0.5,8.5,0.42840,4.306,0.40850,0.59780,8.050,3.840,4.210,0.43510,0.42840,4.306,0.40850,0.59780,8.050,2026-03,True,1.0,1.0,2.9
2250018,2026-03-27,ATH,TOR,822839,1776251183327,1,2,3.0,39.30,45.46,0.1524,0.1535,46.30,53.70,0.50,0.50,4.5,4.5,0.5,8.5,0.37840,4.543,0.43960,0.54120,8.530,3.780,4.750,0.38390,0.37840,4.543,0.43960,0.54120,8.530,2026-03,True,1.0,1.0,2.9
2250019,2026-03-27,COL,MIA,823893,1776251183393,1,2,3.0,39.61,44.07,0.1632,0.1715,47.39,52.61,0.42,0.58,4.5,4.5,0.5,8.0,0.43900,4.716,0.46150,0.59840,8.880,4.380,4.500,0.45990,0.43900,4.716,0.46150,0.59840,8.880,2026-03,True,1.0,1.0,2.9
2250020,2026-03-27,KC,ATL,824946,1776251183447,0,4,4.0,36.72,46.45,0.1682,0.1799,44.14,55.86,0.45,0.55,4.0,3.5,0.5,7.5,0.39430,4.223,0.46420,0.56590,8.000,3.640,4.360,0.40350,0.39430,4.223,0.46420,0.56590,8.000,2026-03,True,1.0,1.0,2.9
2250021,2026-03-27,LAA,HOU,824216,1776251183503,5,2,7.0,39.04,45.18,0.1578,0.1625,46.30,53.70,0.46,0.54,4.5,4.5,0.5,8.5,0.39710,4.629,0.45010,0.55750,8.720,3.970,4.750,0.40110,0.39710,4.629,0.45010,0.55750,8.720,2026-03,True,1.0,1.0,2.9
2250022,2026-03-27,DET,SD,823324,1776251183557,0,1,1.0,41.64,42.13,0.1623,0.1700,49.75,50.25,0.49,0.51,4.0,3.5,0.5,7.5,0.43280,4.013,0.43650,0.61010,7.530,3.710,3.830,0.45810,0.43280,4.013,0.43650,0.61010,7.530,2026-03,True,1.0,1.0,2.9
2250023,2026-03-27,CLE,SEA,823162,1776251183620,1,3,4.0,40.45,43.01,0.1654,0.1753,48.54,51.46,0.47,0.53,4.0,3.5,0.5,7.0,0.40900,3.897,0.42020,0.58960,7.390,3.500,3.890,0.43050,0.40900,3.897,0.42020,0.58960,7.390,2026-03,True,1.0,1.0,2.9
2250024,2026-03-28,TB,STL,823082,1776251873676,0,2,2.0,43.12,41.65,0.1523,0.1534,50.98,49.02,0.57,0.43,4.0,3.5,-0.5,7.5,0.42420,4.266,0.47050,0.59370,8.060,3.870,4.190,0.44060,0.42420,4.266,0.47050,0.59370,8.060,2026-03,True,1.0,1.0,2.9
2250025,2026-03-28,WSH,CHC,824701,1776251873989,2,6,8.0,34.34,49.69,0.1597,0.1657,40.82,59.18,0.43,0.57,4.5,4.5,0.5,8.5,0.36500,4.403,0.42070,0.53220,8.300,3.590,4.720,0.36740,0.36500,4.403,0.42070,0.53220,8.300,2026-03,True,1.0,1.0,2.9
2250026,2026-03-28,ATH,TOR,822838,1776251874048,0,1,1.0,41.90,43.17,0.1494,0.1485,49.26,50.74,0.53,0.47,4.5,4.5,0.5,8.0,0.42940,4.649,0.45350,0.59050,8.700,4.230,4.470,0.44810,0.42940,4.649,0.45350,0.59050,8.700,2026-03,True,1.0,1.0,2.9
2250027,2026-03-28,MIN,BAL,824862,1776251874105,3,1,4.0,37.07,47.09,0.1585,0.1637,44.05,55.95,0.51,0.49,4.0,4.5,0.5,7.5,0.37750,4.589,0.51270,0.53940,8.590,3.790,4.790,0.38110,0.37750,4.589,0.51270,0.53940,8.590,2026-03,True,1.0,1.0,2.9
2250028,2026-03-28,TEX,PHI,823488,1776251874164,3,0,3.0,43.40,41.47,0.1513,0.1517,51.22,48.78,0.57,0.43,4.0,4.5,0.5,7.5,0.45330,4.817,0.54140,0.60940,8.970,4.520,4.450,0.47630,0.45330,4.817,0.54140,0.60940,8.970,2026-03,True,1.0,1.0,2.9
2250029,2026-03-28,BOS,CIN,824540,1776251874225,3,5,8.0,39.87,44.50,0.1562,0.1599,47.17,52.83,0.54,0.46,4.0,3.5,-0.5,7.5,0.41610,4.486,0.49990,0.58050,8.380,3.970,4.410,0.42940,0.41610,4.486,0.49990,0.58050,8.380,2026-03,True,1.0,1.0,2.9
2250030,2026-03-28,PIT,NYM,823651,1776251874281,0,0,0.0,41.75,43.10,0.1515,0.1520,49.26,50.74,0.57,0.43,4.0,3.5,0.5,7.5,0.40090,4.581,0.51280,0.56240,8.600,3.990,4.610,0.41470,0.40090,4.581,0.51280,0.56240,8.600,2026-03,True,1.0,1.0,2.9
2250031,2026-03-28,COL,MIA,823892,1776251874339,3,3,6.0,35.13,48.77,0.1610,0.1678,41.84,58.16,0.50,0.51,4.0,4.5,0.5,7.5,0.40670,4.452,0.49510,0.57190,8.430,3.950,4.480,0.42130,0.40670,4.452,0.49510,0.57190,8.430,2026-03,True,1.0,1.0,2.9
2250032,2026-03-28,LAA,HOU,824213,1776251874397,6,3,9.0,41.54,42.47,0.1599,0.1660,49.50,50.50,0.38,0.62,5.0,4.5,0.5,9.0,0.41160,4.488,0.37480,0.57610,8.450,3.940,4.500,0.41950,0.41160,4.488,0.37480,0.57610,8.450,2026-03,True,1.0,1.0,2.9
2250033,2026-03-28,CWS,MIL,823811,1776251874454,1,4,5.0,35.61,49.73,0.1466,0.1439,41.67,58.33,0.54,0.46,4.5,4.5,0.5,8.0,0.37170,4.595,0.44600,0.53210,8.630,3.810,4.810,0.38170,0.37170,4.595,0.44600,0.53210,8.630,2026-03,True,1.0,1.0,2.9
2250034,2026-03-28,KC,ATL,824945,1776251874510,0,0,0.0,40.07,44.00,0.1593,0.1651,47.62,52.38,0.45,0.55,4.5,4.5,0.5,8.5,0.49630,5.300,0.53300,0.64280,9.850,5.230,4.620,0.51880,0.49630,5.300,0.53300,0.64280,9.850,2026-03,True,1.0,1.0,2.9
2250035,2026-03-28,NYY,SF,823241,1776251874566,3,1,4.0,40.43,42.76,0.1681,0.1797,48.54,51.46,0.38,0.62,4.5,4.5,-0.5,8.5,0.38770,4.369,0.41670,0.55430,8.180,3.620,4.560,0.38250,0.38770,4.369,0.41670,0.55430,8.180,2026-03,True,1.0,1.0,2.9
2250036,2026-03-28,DET,SD,823323,1776251874622,0,3,3.0,40.23,43.26,0.1651,0.1747,48.08,51.92,0.40,0.60,4.5,4.5,-0.5,8.0,0.41940,4.286,0.40540,0.58850,8.020,3.830,4.190,0.43560,0.41940,4.286,0.40540,0.58850,8.020,2026-03,True,1.0,1.0,2.9
2250037,2026-03-28,CLE,SEA,823161,1776251874678,0,2,2.0,37.66,44.83,0.1751,0.1914,45.66,54.34,0.41,0.59,4.0,3.5,0.5,7.0,0.38810,3.557,0.37050,0.58080,6.800,3.130,3.680,0.41220,0.38810,3.557,0.37050,0.58080,6.800,2026-03,True,1.0,1.0,2.9
2250038,2026-03-29,MIN,BAL,824864,1776252396870,4,3,7.0,40.34,44.28,0.1538,0.1558,47.62,52.38,0.43,0.57,5.0,4.5,0.5,9.0,0.41740,5.137,0.45550,0.56760,9.550,4.500,5.050,0.42560,0.41740,5.137,0.45550,0.56760,9.550,2026-03,True,1.0,1.0,2.9
2250039,2026-03-29,TEX,PHI,823487,1776252397172,5,0,5.0,35.44,49.46,0.1510,0.1512,41.67,58.33,0.50,0.50,4.5,4.5,0.5,8.0,0.40590,4.967,0.49380,0.55940,9.250,4.300,4.960,0.41490,0.40590,4.967,0.49380,0.55940,9.250,2026-03,True,1.0,1.0,2.9
2250040,2026-03-29,KC,ATL,824944,1776252397226,3,0,3.0,37.42,47.34,0.1523,0.1534,44.05,55.95,0.49,0.51,4.5,4.5,0.5,8.0,0.40000,4.758,0.46740,0.55790,8.960,4.090,4.880,0.40270,0.40000,4.758,0.46740,0.55790,8.960,2026-03,True,1.0,1.0,2.9
