series,n,mean,sd,min,p01,p05,p25,p50,p75,p95,p99,max,n_le0,n_ge1,n_null
p1 pF5AwayMl,1555,0.4205,0.04944,0.2621,0.30458,0.34151,0.38735,0.4198,0.4532,0.50269,0.53866,0.6097,0,0,0
p1 pF5Over,1555,0.44081,0.06344,0.1493,0.28368,0.33824,0.40095,0.4417,0.48195,0.5422,0.59394,0.681,0,0,0
p1 pF5AwayRl,1555,0.58074,0.04892,0.4188,0.46713,0.49884,0.54935,0.5809,0.6143,0.66023,0.68848,0.7595,0,0,0
p2 pF5AwayMl,1555,0.43976,0.04156,0.2621,0.31426,0.36885,0.41639,0.4423,0.46577,0.50189,0.53015,0.6097,0,0,0
p2 pF5Over,1555,0.45334,0.06558,0.1493,0.28826,0.34643,0.4122,0.45323,0.49641,0.55958,0.61267,0.69072,0,0,0
p2 pF5AwayRl,1555,0.58074,0.04892,0.4188,0.46713,0.49884,0.54935,0.5809,0.6143,0.66023,0.68848,0.7595,0,0,0
p1 projF5Total,1555,4.71499,0.67265,3.205,3.54754,3.8304,4.2545,4.614,5.0265,5.9863,6.91614,8.359,0,1555,0
p2 projF5Total,1555,4.8137,0.69506,3.205,3.58456,3.9124,4.3395,4.702,5.1445,6.1753,7.08898,8.489,0,1555,0
live modelF5AwayWinPct/100,1536,0.41983,0.04577,0.2695,0.31624,0.3483,0.3899,0.418,0.44762,0.49565,0.54568,0.5823,0,0,19
live modelF5AwayRLCoverPct/100,1536,0.49895,0.05325,0.317,0.37548,0.41147,0.46372,0.4975,0.532,0.58852,0.6348,0.6759,0,0,19
live modelF5OverRate (stored 0-1),1536,0.43658,0.06712,0.17,0.26,0.33,0.39,0.44,0.48,0.55,0.59,0.68,0,0,19
live modelF5PushPct,1536,0.15869,0.01046,0.1266,0.1348,0.14078,0.1518,0.1588,0.1654,0.1763,0.18547,0.1943,0,0,19
live modelF5PushRaw,1536,0.16402,0.01743,0.1106,0.12414,0.13418,0.1525,0.1641,0.17515,0.1933,0.20873,0.2234,0,0,19
