gameId,gameDate,p1_projF5Total,p1_projTotal,ratio_p1,ratio_p2,ratio_p2_minus_p1,outside_engine_bounds
2250006,2026-03-25,4.159,7.75,0.53665,0.53665,0.0,0
2250007,2026-03-26,4.208,7.9,0.53266,0.53266,0.0,0
2250008,2026-03-26,4.371,8.22,0.53175,0.53175,0.0,0
2250009,2026-03-26,4.669,8.76,0.53299,0.53299,0.0,0
2250010,2026-03-26,4.268,8.02,0.53217,0.53217,0.0,0
2250011,2026-03-26,4.634,8.62,0.53759,0.53759,0.0,0
2250012,2026-03-26,4.39,8.3,0.52892,0.52892,0.0,0
2250013,2026-03-26,3.574,6.76,0.5287,0.5287,0.0,0
2250014,2026-03-26,4.12,7.81,0.52753,0.52753,0.0,0
2250015,2026-03-26,4.362,8.16,0.53456,0.53456,0.0,0
2250016,2026-03-26,3.846,7.3,0.52685,0.52685,0.0,0
2250017,2026-03-27,4.306,8.05,0.53491,0.53491,0.0,0
2250018,2026-03-27,4.543,8.53,0.53259,0.53259,0.0,0
2250019,2026-03-27,4.716,8.88,0.53108,0.53108,0.0,0
2250020,2026-03-27,4.223,8.0,0.52787,0.52787,0.0,0
2250021,2026-03-27,4.629,8.72,0.53085,0.53085,0.0,0
2250022,2026-03-27,4.013,7.53,0.53293,0.53293,0.0,0
2250023,2026-03-27,3.897,7.39,0.52733,0.52733,0.0,0
2250024,2026-03-28,4.266,8.06,0.52928,0.52928,0.0,0
2250025,2026-03-28,4.403,8.3,0.53048,0.53048,0.0,0
2250026,2026-03-28,4.649,8.7,0.53437,0.53437,0.0,0
2250027,2026-03-28,4.589,8.59,0.53423,0.53423,0.0,0
2250028,2026-03-28,4.817,8.97,0.53701,0.53701,0.0,0
2250029,2026-03-28,4.486,8.38,0.53532,0.53532,0.0,0
2250030,2026-03-28,4.581,8.6,0.53267,0.53267,0.0,0
2250031,2026-03-28,4.452,8.43,0.52811,0.52811,0.0,0
2250032,2026-03-28,4.488,8.45,0.53112,0.53112,0.0,0
2250033,2026-03-28,4.595,8.63,0.53244,0.53244,0.0,0
2250034,2026-03-28,5.3,9.85,0.53807,0.53807,0.0,0
2250035,2026-03-28,4.369,8.18,0.53411,0.53411,0.0,0
