scope,series,n_decided,obs_away_rate,mean_p,citl,hit,brier,logloss
2026-03,ml_p2,62,0.4839,0.4132,-0.0707,0.5161,0.25057,0.69428
2026-03,ml_altA,62,0.4839,0.4922,0.0083,0.5,0.24575,0.68458
2026-03,ml_altB,62,0.4839,0.4922,0.0083,0.5,0.24575,0.68458
2026-03,ml_altC,62,0.4839,0.4132,-0.0707,0.5161,0.25057,0.69428
2026-04,ml_p2,329,0.4468,0.4179,-0.0289,0.5502,0.24549,0.68428
2026-04,ml_altA,329,0.4468,0.4969,0.05,0.5593,0.24743,0.68807
2026-04,ml_altB,329,0.4468,0.4969,0.05,0.5593,0.24743,0.68807
2026-04,ml_altC,329,0.4468,0.4179,-0.0289,0.5502,0.24549,0.68428
2026-05,ml_p2,361,0.4737,0.4484,-0.0253,0.5429,0.24733,0.68773
2026-05,ml_altA,361,0.4737,0.5032,0.0295,0.5208,0.24755,0.68824
2026-05,ml_altB,361,0.4737,0.4589,-0.0148,0.5457,0.24694,0.68694
2026-05,ml_altC,361,0.4737,0.4598,-0.0139,0.5623,0.24649,0.68604
2026-06,ml_p2,328,0.4878,0.4497,-0.0381,0.5305,0.24796,0.68903
2026-06,ml_altA,328,0.4878,0.4997,0.0119,0.5518,0.246,0.68509
2026-06,ml_altB,328,0.4878,0.4627,-0.0251,0.5366,0.2465,0.68607
2026-06,ml_altC,328,0.4878,0.4639,-0.0239,0.5488,0.246,0.68507
2026-07,ml_p2,233,0.4764,0.4509,-0.0255,0.5408,0.24511,0.68328
2026-07,ml_altA,233,0.4764,0.4975,0.0211,0.5923,0.24179,0.67662
2026-07,ml_altB,233,0.4764,0.4681,-0.0083,0.5923,0.24143,0.67585
2026-07,ml_altC,233,0.4764,0.4687,-0.0077,0.6094,0.24137,0.67571
ALL,ml_p2,1313,0.4714,0.4399,-0.0316,0.54,0.24679,0.68671
ALL,ml_altA,1313,0.4714,0.4992,0.0278,0.5499,0.24602,0.68518
ALL,ml_altB,1313,0.4714,0.4726,0.0011,0.5529,0.24592,0.68493
ALL,ml_altC,1313,0.4714,0.4497,-0.0217,0.5621,0.2454,0.68391
MAY-JUL(postseed),ml_p2,922,0.4794,0.4495,-0.0299,0.538,0.24699,0.68707
MAY-JUL(postseed),ml_altA,922,0.4794,0.5005,0.0211,0.5499,0.24554,0.68419
MAY-JUL(postseed),ml_altB,922,0.4794,0.4626,-0.0168,0.5542,0.24539,0.68383
MAY-JUL(postseed),ml_altC,922,0.4794,0.4635,-0.0159,0.5694,0.24502,0.68308
