gameId,gameDate,month,awayTeam,homeTeam,mlbGamePk,actualAway,actualHome,fg_actual_source,actualF5Away,actualF5Home,f5_actual_source,book_f5Total,book_f5AwayRunLine,book_f5AwayML,book_bookTotal,live_pushPct,live_pushRaw,live_awayWinPct,live_homeWinPct,live_awayRlCoverPct,p1_pF5AwayMl,p1_projF5Total,p1_pF5Over,p1_pF5AwayRl,p1_projTotal,p1_projAwayScore,p1_projHomeScore,p1_pAwayMl,p1_pOver,p2_pF5AwayMl,p2_projF5Total,p2_pF5Over,p2_pF5AwayRl,p2_projTotal,calib_month,calib_seed,calib_league_env_mult,calib_T_f5,calib_f5_total_sd
2250006,2026-03-25,2026-03,NYY,SF,823244,7,0,games,7,0,games,3.5,-0.5,-112,7.0,,,,,,0.45800,4.159,0.45620,0.62980,7.750,3.900,3.850,0.47580,0.51410,0.45800,4.159,0.45620,0.62980,7.750,2026-03,True,1.0,1.0,2.9
2250007,2026-03-26,2026-03,PIT,NYM,823649,7,11,games,4,9,games,3.5,-0.5,-128,7.0,0.1661,0.1763,40.08,43.31,48.08,0.43160,4.208,0.46280,0.60280,7.900,3.900,4.000,0.46150,0.52790,0.43160,4.208,0.46280,0.60280,7.900,2026-03,True,1.0,1.0,2.9
2250008,2026-03-26,2026-03,CWS,MIL,823812,2,14,games,1,8,games,4.5,0.5,+140,7.5,0.1524,0.1535,39.98,44.78,47.17,0.39920,4.371,0.48510,0.56660,8.220,3.840,4.390,0.41940,0.50160,0.39920,4.371,0.48510,0.56660,8.220,2026-03,True,1.0,1.0,2.9
2250009,2026-03-26,2026-03,WSH,CHC,824704,10,4,games,7,3,games,3.5,0.5,+150,7.0,0.1577,0.1624,34.92,49.30,41.49,0.37280,4.669,0.52300,0.53240,8.760,3.820,4.940,0.37270,0.60110,0.37280,4.669,0.52300,0.53240,8.760,2026-03,True,1.0,1.0,2.9
2250010,2026-03-26,2026-03,MIN,BAL,824865,1,2,games,0,0,games,4.5,0.5,+102,8.5,0.1614,0.1685,35.97,47.89,42.92,0.37160,4.268,0.40260,0.54220,8.020,3.510,4.510,0.37720,0.40510,0.37160,4.268,0.40260,0.54220,8.020,2026-03,True,1.0,1.0,2.9
2250011,2026-03-26,2026-03,BOS,CIN,824541,3,0,games,0,0,games,3.5,-0.5,-180,8.0,0.1638,0.1725,45.71,37.91,54.75,0.44020,4.634,0.45170,0.60150,8.620,4.240,4.380,0.45810,0.49730,0.44020,4.634,0.45170,0.60150,8.620,2026-03,True,1.0,1.0,2.9
2250012,2026-03-26,2026-03,LAA,HOU,824218,3,0,games,0,0,games,4.5,0.5,+142,8.0,0.1635,0.1720,38.62,45.03,46.08,0.36210,4.390,0.41930,0.52860,8.300,3.540,4.770,0.35920,0.46930,0.36210,4.390,0.41930,0.52860,8.300,2026-03,True,1.0,1.0,2.9
2250013,2026-03-26,2026-03,DET,SD,823325,8,2,games,8,0,games,3.5,-0.5,-148,7.0,0.1757,0.1923,42.44,40.00,51.46,0.43430,3.574,0.37290,0.62500,6.760,3.370,3.390,0.46900,0.41710,0.43430,3.574,0.37290,0.62500,6.760,2026-03,True,1.0,1.0,2.9
2250014,2026-03-26,2026-03,TB,STL,823081,7,9,games,1,1,games,4.5,-0.5,-142,8.0,0.1580,0.1629,44.41,39.78,52.83,0.44260,4.120,0.38230,0.61620,7.810,3.880,3.920,0.46670,0.42480,0.44260,4.120,0.38230,0.61620,7.810,2026-03,True,1.0,1.0,2.9
2250015,2026-03-26,2026-03,TEX,PHI,823486,3,5,games,0,5,games,4.5,0.5,+124,8.0,0.1625,0.1704,40.22,43.52,48.08,0.44230,4.362,0.41630,0.60930,8.160,4.070,4.090,0.46780,0.45710,0.44230,4.362,0.41630,0.60930,8.160,2026-03,True,1.0,1.0,2.9
2250016,2026-03-26,2026-03,CLE,SEA,823163,6,4,games,3,3,games,3.5,0.5,+162,6.5,0.1683,0.1801,38.26,44.91,46.08,0.38370,3.846,0.47980,0.56650,7.300,3.310,3.990,0.40080,0.52610,0.38370,3.846,0.47980,0.56650,7.300,2026-03,True,1.0,1.0,2.9
2250017,2026-03-27,2026-03,NYY,SF,823243,3,0,games,0,0,games,4.5,-0.5,-145,8.5,0.1623,0.1701,48.13,35.64,57.45,0.42840,4.306,0.40850,0.59780,8.050,3.840,4.210,0.43510,0.40710,0.42840,4.306,0.40850,0.59780,8.050,2026-03,True,1.0,1.0,2.9
2250018,2026-03-27,2026-03,ATH,TOR,822839,2,3,games,1,2,games,4.5,0.5,+134,8.5,0.1524,0.1535,39.30,45.46,46.30,0.37840,4.543,0.43960,0.54120,8.530,3.780,4.750,0.38390,0.44990,0.37840,4.543,0.43960,0.54120,8.530,2026-03,True,1.0,1.0,2.9
2250019,2026-03-27,2026-03,COL,MIA,823893,1,2,games,1,2,games,4.5,0.5,+148,8.0,0.1632,0.1715,39.61,44.07,47.39,0.43900,4.716,0.46150,0.59840,8.880,4.380,4.500,0.45990,0.51860,0.43900,4.716,0.46150,0.59840,8.880,2026-03,True,1.0,1.0,2.9
2250020,2026-03-27,2026-03,KC,ATL,824946,0,6,games,0,4,games,3.5,0.5,+114,7.5,0.1682,0.1799,36.72,46.45,44.14,0.39430,4.223,0.46420,0.56590,8.000,3.640,4.360,0.40350,0.48170,0.39430,4.223,0.46420,0.56590,8.000,2026-03,True,1.0,1.0,2.9
2250021,2026-03-27,2026-03,LAA,HOU,824216,6,2,games,5,2,games,4.5,0.5,+128,8.5,0.1578,0.1625,39.04,45.18,46.30,0.39710,4.629,0.45010,0.55750,8.720,3.970,4.750,0.40110,0.46670,0.39710,4.629,0.45010,0.55750,8.720,2026-03,True,1.0,1.0,2.9
2250022,2026-03-27,2026-03,DET,SD,823324,5,2,games,0,1,games,3.5,0.5,-104,7.5,0.1623,0.1700,41.64,42.13,49.75,0.43280,4.013,0.43650,0.61010,7.530,3.710,3.830,0.45810,0.43820,0.43280,4.013,0.43650,0.61010,7.530,2026-03,True,1.0,1.0,2.9
2250023,2026-03-27,2026-03,CLE,SEA,823162,1,5,games,1,3,games,3.5,0.5,+140,7.0,0.1654,0.1753,40.45,43.01,48.54,0.40900,3.897,0.42020,0.58960,7.390,3.500,3.890,0.43050,0.48020,0.40900,3.897,0.42020,0.58960,7.390,2026-03,True,1.0,1.0,2.9
2250024,2026-03-28,2026-03,TB,STL,823082,5,6,games,0,2,games,3.5,-0.5,-118,7.5,0.1523,0.1534,43.12,41.65,50.98,0.42420,4.266,0.47050,0.59370,8.060,3.870,4.190,0.44060,0.48690,0.42420,4.266,0.47050,0.59370,8.060,2026-03,True,1.0,1.0,2.9
