scope,series,n,actual_cover_rate,mean_p,citl,brier,logloss
2026-03,model_p1p2,76,0.5789,0.5761,-0.0028,0.24259,0.67812
2026-03,const_wf,76,0.5789,0.5489,-0.03,0.24467,0.68246
2026-03,skellam_wf,76,0.5789,0.5435,-0.0355,0.2444,0.68165
2026-03,platt_wf,76,0.5789,0.5761,-0.0028,0.24259,0.67812
2026-03,live_tie_excl(subpop),75,0.5733,0.4773,-0.096,0.25347,0.70019
2026-04,model_p1p2,392,0.5357,0.5807,0.045,0.24805,0.68939
2026-04,const_wf,392,0.5357,0.5489,0.0132,0.2489,0.69094
2026-04,skellam_wf,392,0.5357,0.5527,0.017,0.24697,0.68729
2026-04,platt_wf,392,0.5357,0.5807,0.045,0.24805,0.68939
2026-04,live_tie_excl(subpop),388,0.5361,0.4996,-0.0365,0.2536,0.70051
2026-05,model_p1p2,419,0.5465,0.5842,0.0377,0.24811,0.68957
2026-05,const_wf,419,0.5465,0.5427,-0.0038,0.24785,0.68884
2026-05,skellam_wf,419,0.5465,0.5588,0.0123,0.24769,0.68883
2026-05,platt_wf,419,0.5465,0.5466,0.0001,0.24663,0.6864
2026-05,live_tie_excl(subpop),405,0.5383,0.5026,-0.0356,0.24761,0.68825
2026-06,model_p1p2,394,0.5736,0.5806,0.007,0.24143,0.67587
2026-06,const_wf,394,0.5736,0.5445,-0.0291,0.24543,0.68398
2026-06,skellam_wf,394,0.5736,0.556,-0.0176,0.24126,0.67557
2026-06,platt_wf,394,0.5736,0.5433,-0.0303,0.24254,0.67815
2026-06,live_tie_excl(subpop),394,0.5736,0.4999,-0.0737,0.24662,0.68633
2026-07,model_p1p2,274,0.5547,0.5769,0.0221,0.24251,0.67798
2026-07,const_wf,274,0.5547,0.5535,-0.0013,0.247,0.68714
2026-07,skellam_wf,274,0.5547,0.5508,-0.004,0.24031,0.67358
2026-07,platt_wf,274,0.5547,0.549,-0.0057,0.24227,0.67756
2026-07,live_tie_excl(subpop),274,0.5547,0.4971,-0.0576,0.24785,0.68889
ALL,model_p1p2,1555,0.5537,0.5807,0.027,0.24514,0.68345
ALL,const_wf,1555,0.5537,0.5469,-0.0068,0.2472,0.68753
ALL,skellam_wf,1555,0.5537,0.5544,0.0007,0.24442,0.68204
ALL,platt_wf,1555,0.5537,0.5562,0.0025,0.24499,0.6831
ALL,live_tie_excl(subpop),1536,0.5514,0.4989,-0.0525,0.2492,0.69155
MAY-JUL(postseed),model_p1p2,1087,0.5584,0.5811,0.0226,0.24427,0.68168
MAY-JUL(postseed),const_wf,1087,0.5584,0.5461,-0.0123,0.24676,0.68665
MAY-JUL(postseed),skellam_wf,1087,0.5584,0.5558,-0.0026,0.2435,0.68018
MAY-JUL(postseed),platt_wf,1087,0.5584,0.546,-0.0124,0.24405,0.68118
MAY-JUL(postseed),live_tie_excl(subpop),1073,0.5555,0.5002,-0.0552,0.24731,0.68771
