gameId,month,book_line,p_stored_plus05,p_correct_for_book_event,y_book_event
2250006,2026-03,-0.5,0.6298,0.4520518667768979,1.0
2250007,2026-03,-0.5,0.6028,0.4262470095975841,0.0
2250008,2026-03,0.5,0.5666,0.5666,0.0
2250009,2026-03,0.5,0.5324,0.5324,1.0
2250010,2026-03,0.5,0.5422,0.5422,1.0
2250011,2026-03,-0.5,0.6015,0.43739405573293055,0.0
2250012,2026-03,0.5,0.5286,0.5286,1.0
2250013,2026-03,-0.5,0.625,0.42352862345122116,1.0
2250014,2026-03,-0.5,0.6162,0.4364085150158149,0.0
2250015,2026-03,0.5,0.6093,0.6093,0.0
2250016,2026-03,0.5,0.5665,0.5665,1.0
2250017,2026-03,-0.5,0.5978,0.42357276621125695,0.0
2250018,2026-03,0.5,0.5412,0.5412,0.0
2250019,2026-03,0.5,0.5984,0.5984,0.0
2250020,2026-03,0.5,0.5659,0.5659,0.0
2250021,2026-03,0.5,0.5575,0.5575,1.0
2250022,2026-03,0.5,0.6101,0.6101,0.0
2250023,2026-03,0.5,0.5896,0.5896,0.0
2250024,2026-03,-0.5,0.5937,0.41940637504243306,0.0
2250025,2026-03,0.5,0.5322,0.5322,0.0
2250026,2026-03,0.5,0.5905,0.5905,0.0
2250027,2026-03,0.5,0.5394,0.5394,1.0
2250028,2026-03,0.5,0.6094,0.6094,1.0
2250029,2026-03,-0.5,0.5805,0.41270986032818,0.0
2250030,2026-03,0.5,0.5624,0.5624,1.0
2250031,2026-03,0.5,0.5719,0.5719,1.0
2250032,2026-03,0.5,0.5761,0.5761,1.0
2250033,2026-03,0.5,0.5321,0.5321,0.0
2250034,2026-03,0.5,0.6428,0.6428,1.0
2250035,2026-03,-0.5,0.5543,0.38408721250791933,1.0
2250036,2026-03,-0.5,0.5885,0.41477717177557716,0.0
2250037,2026-03,0.5,0.5808,0.5808,0.0
2250038,2026-03,0.5,0.5676,0.5676,1.0
2250039,2026-03,0.5,0.5594,0.5594,1.0
2250040,2026-03,0.5,0.5579,0.5579,1.0
2250041,2026-03,0.5,0.5708,0.5708,0.0
2250042,2026-03,-0.5,0.6054,0.43886475014292625,1.0
2250043,2026-03,0.5,0.541,0.541,1.0
2250044,2026-03,0.5,0.6365,0.6365,1.0
2250045,2026-03,0.5,0.5024,0.5024,1.0
2250046,2026-03,0.5,0.5666,0.5666,1.0
2250047,2026-03,-0.5,0.6302,0.45716000098751414,1.0
2250048,2026-03,1.5,0.5285,,1.0
2250049,2026-03,0.5,0.6026,0.6026,0.0
2250050,2026-03,0.5,0.5516,0.5516,0.0
2250051,2026-03,0.5,0.5799,0.5799,1.0
2250052,2026-03,0.5,0.6036,0.6036,0.0
2250053,2026-03,0.5,0.5744,0.5744,1.0
2250054,2026-03,0.5,0.5903,0.5903,1.0
2250055,2026-03,1.5,0.5684,,1.0
2250056,2026-03,0.5,0.5966,0.5966,0.0
2250057,2026-03,0.5,0.4736,0.4736,0.0
2250058,2026-03,0.5,0.5655,0.5655,1.0
2250059,2026-03,-0.5,0.5838,0.4075421556736447,1.0
2250060,2026-03,-0.5,0.6482,0.49867576308700023,0.0
2250061,2026-03,-0.5,0.5949,0.4329816960469197,1.0
2250062,2026-03,-0.5,0.604,0.41893321917108883,0.0
2250063,2026-03,0.5,0.5753,0.5753,1.0
2250064,2026-03,-0.5,0.6434,0.4923093889134241,0.0
2250065,2026-03,-0.5,0.6156,0.4398537374676388,1.0
2250066,2026-03,0.5,0.5537,0.5537,0.0
2250067,2026-03,0.5,0.5442,0.5442,0.0
2250069,2026-03,0.5,0.5262,0.5262,1.0
2250077,2026-04,0.5,0.5284,0.5284,0.0
2250078,2026-04,0.5,0.592,0.592,0.0
2250079,2026-04,-0.5,0.6087,0.42403408356790284,1.0
2250080,2026-04,1.5,0.5035,,1.0
2250081,2026-04,1.5,0.5572,,1.0
2250082,2026-04,0.5,0.5968,0.5968,0.0
2250083,2026-04,-0.5,0.6296,0.45121929078582157,0.0
2250084,2026-04,0.5,0.6018,0.6018,1.0
2250085,2026-04,-0.5,0.6194,0.4476489656377026,0.0
2250086,2026-04,0.5,0.5333,0.5333,0.0
2250087,2026-04,0.5,0.5661,0.5661,0.0
2250088,2026-04,0.5,0.6156,0.6156,1.0
2250089,2026-04,-0.5,0.5781,0.4024225445740011,0.0
2250090,2026-04,1.5,0.525,,1.0
2250091,2026-04,0.5,0.5556,0.5556,1.0
2250093,2026-04,-0.5,0.5856,0.4104294489882715,0.0
2250094,2026-04,-1.5,0.666,,1.0
2250095,2026-04,0.5,0.5685,0.5685,0.0
2250096,2026-04,0.5,0.5911,0.5911,0.0
2250097,2026-04,0.5,0.5953,0.5953,1.0
2250098,2026-04,0.5,0.6221,0.6221,1.0
2250099,2026-04,0.5,0.6206,0.6206,1.0
2250100,2026-04,0.5,0.5878,0.5878,1.0
2250101,2026-04,-0.5,0.5445,0.42028376462138983,1.0
2250102,2026-04,-0.5,0.6236,0.461101691135694,0.0
2250104,2026-04,-0.5,0.6238,0.4462786773419735,0.0
2250105,2026-04,0.5,0.5715,0.5715,0.0
2250106,2026-04,-0.5,0.6026,0.41781162011086237,1.0
2250107,2026-04,0.5,0.5567,0.5567,0.0
2250108,2026-04,-0.5,0.6395,0.46325334021854314,0.0
2250109,2026-04,-1.5,0.6692,,1.0
2250110,2026-04,0.5,0.5616,0.5616,1.0
2250111,2026-04,-0.5,0.5702,0.418503318152098,1.0
2250112,2026-04,0.5,0.5476,0.5476,1.0
2250113,2026-04,-0.5,0.536,0.358292949684965,1.0
2250114,2026-04,0.5,0.6103,0.6103,1.0
2250115,2026-04,0.5,0.522,0.522,1.0
2250116,2026-04,0.5,0.6517,0.6517,1.0
2250117,2026-04,-0.5,0.6368,0.45663549293877387,1.0
2250118,2026-04,-1.5,0.5637,,0.0
2250119,2026-04,-0.5,0.6055,0.4413616484627523,1.0
2250120,2026-04,-0.5,0.6283,0.48134535126698635,0.0
2250121,2026-04,-0.5,0.5756,0.4346792532441728,0.0
2250122,2026-04,0.5,0.5637,0.5637,0.0
2250123,2026-04,0.5,0.5337,0.5337,1.0
2250124,2026-04,1.5,0.497,,0.0
2250125,2026-04,-0.5,0.5977,0.41935653927431715,0.0
2250126,2026-04,0.5,0.5782,0.5782,1.0
2250127,2026-04,-0.5,0.6356,0.45864847494505856,0.0
2250128,2026-04,0.5,0.5547,0.5547,1.0
2250129,2026-04,0.5,0.5824,0.5824,1.0
