series,decile,n,p_lo,p_hi,mean_p,obs_cover,gap
model_p1p2,1,156,0.4188,0.5165,0.4926,0.4551,0.0374
model_p1p2,2,155,0.5165,0.5399,0.5291,0.4516,0.0775
model_p1p2,3,153,0.5399,0.5566,0.5491,0.5359,0.0131
model_p1p2,4,158,0.5566,0.5707,0.5635,0.5506,0.0129
model_p1p2,5,155,0.5707,0.5809,0.5759,0.529,0.0469
model_p1p2,6,156,0.5809,0.5921,0.5865,0.5897,-0.0033
model_p1p2,7,155,0.5921,0.6057,0.5991,0.5613,0.0378
model_p1p2,8,156,0.6057,0.6235,0.6147,0.641,-0.0263
model_p1p2,9,154,0.6235,0.6434,0.6322,0.6169,0.0154
model_p1p2,10,157,0.6434,0.7595,0.6642,0.6051,0.0591
skellam_wf,1,156,0.3163,0.4628,0.4273,0.4359,-0.0086
skellam_wf,2,155,0.4628,0.4987,0.4802,0.5097,-0.0295
skellam_wf,3,156,0.4987,0.5195,0.5091,0.4936,0.0155
skellam_wf,4,155,0.5195,0.5392,0.5296,0.5806,-0.0511
skellam_wf,5,155,0.5392,0.5543,0.5462,0.5161,0.0301
skellam_wf,6,156,0.5543,0.5721,0.563,0.5513,0.0117
skellam_wf,7,155,0.5721,0.5921,0.5809,0.5871,-0.0062
skellam_wf,8,156,0.5921,0.6147,0.6039,0.6603,-0.0564
skellam_wf,9,155,0.6147,0.645,0.6279,0.5484,0.0796
skellam_wf,10,156,0.645,0.7955,0.6758,0.6538,0.022
