scope,series,n_pop,bias,bias_se,mae,bias_pct,n_graded,hit,brier,logloss
2026-03,p1,76,-0.1174,0.362,2.6097,-2.53,68,0.4118,0.2562,0.7056
2026-03,p2_sharedenv,76,-0.1174,0.362,2.6097,-2.53,68,0.4118,0.2562,0.7056
2026-03,p2f5_f5env,76,-0.1174,0.362,2.6097,-2.53,68,0.4118,0.2562,0.7056
2026-04,p1,392,-0.2982,0.1526,2.3773,-6.03,315,0.4921,0.2567,0.7073
2026-04,p2_sharedenv,392,-0.2982,0.1526,2.3773,-6.03,315,0.4921,0.2567,0.7073
2026-04,p2f5_f5env,392,-0.2982,0.1526,2.3773,-6.03,315,0.4921,0.2567,0.7073
2026-05,p1,419,-0.2242,0.1538,2.4453,-4.54,280,0.5464,0.2473,0.6878
2026-05,p2_sharedenv,419,-0.0093,0.1539,2.4677,-0.19,280,0.5464,0.246,0.6851
2026-05,p2f5_f5env,419,0.0493,0.1539,2.4758,1.0,280,0.5571,0.2459,0.685
2026-06,p1,394,-0.4907,0.1688,2.5927,-9.33,24,0.375,0.2679,0.7292
2026-06,p2_sharedenv,394,-0.4167,0.1688,2.5957,-7.92,24,0.4583,0.2652,0.7237
2026-06,p2f5_f5env,394,-0.2374,0.1687,2.6091,-4.51,24,0.4167,0.2592,0.7118
2026-07,p1,274,-0.4092,0.2071,2.6527,-7.87,157,0.5159,0.2488,0.6911
2026-07,p2_sharedenv,274,-0.284,0.2072,2.6585,-5.46,157,0.5223,0.2484,0.6903
2026-07,p2f5_f5env,274,-0.0804,0.2072,2.6774,-1.55,157,0.5669,0.2489,0.6911
ALL,p1,1555,-0.3377,0.0816,2.5101,-6.68,844,0.5047,0.2524,0.6983
ALL,p2_sharedenv,1555,-0.239,0.0817,2.5179,-4.73,844,0.5083,0.2518,0.6971
ALL,p2f5_f5env,1555,-0.1419,0.0817,2.5268,-2.81,844,0.519,0.2517,0.6969
MAY-JUL(postseed),p1,1087,-0.3674,0.0999,2.551,-7.18,461,0.5271,0.2489,0.6911
MAY-JUL(postseed),p2_sharedenv,1087,-0.2262,0.1,2.5622,-4.42,461,0.5336,0.2478,0.6889
MAY-JUL(postseed),p2f5_f5env,1087,-0.0873,0.0999,2.5749,-1.71,461,0.5531,0.2476,0.6885
