dim,slice,n_games,live_pure_n,live_pure_bias,live_pure_ci_lo,live_pure_ci_hi,live_pure_mae,live_pure_mean_proj,live_pure_mean_actual,live_pure_flag_bias,live_pure_flag_bias_centered,live_rule_n,live_rule_bias,live_rule_ci_lo,live_rule_ci_hi,live_rule_mae,live_rule_mean_proj,live_rule_mean_actual,live_rule_flag_bias,live_rule_flag_bias_centered,p1_n,p1_bias,p1_ci_lo,p1_ci_hi,p1_mae,p1_mean_proj,p1_mean_actual,p1_flag_bias,p1_flag_bias_centered,p2_n,p2_bias,p2_ci_lo,p2_ci_hi,p2_mae,p2_mean_proj,p2_mean_actual,p2_flag_bias,p2_flag_bias_centered,live_ml_n,live_brier,live_hit,live_mean_p_away,live_actual_away_rate,live_brier_dev,live_flag_brier,p1_ml_n,p1_brier,p1_hit,p1_mean_p_away,p1_actual_away_rate,p1_brier_dev,p1_flag_brier,p2_ml_n,p2_brier,p2_hit,p2_mean_p_away,p2_actual_away_rate,p2_brier_dev,p2_flag_brier
month,2026-04,392,0,,,,,,,0,0,388,-0.8492,-1.2843,-0.4141,3.4807,8.2668,9.116,1,0,392,-0.427,-0.8692,0.0152,3.5391,8.6827,9.1097,0,0,392,-0.427,-0.8692,0.0152,3.5391,8.6827,9.1097,0,0,388,0.2486,0.5323,0.4664,0.4716,0.0014,0,392,0.2511,0.5459,0.4351,0.4719,0.004,0,392,0.2511,0.5459,0.4351,0.4719,0.004,0
month,2026-05,419,280,-0.2915,-0.8054,0.2223,3.4711,8.4799,8.7714,0,0,405,-0.1139,-0.5383,0.3105,3.438,8.4688,8.5827,0,1,419,0.1737,-0.231,0.5785,3.3853,8.7823,8.6086,0,1,419,0.5746,0.1698,0.9794,3.4604,9.1832,8.6086,1,1,405,0.2463,0.5679,0.4501,0.4667,-0.0009,0,419,0.2448,0.5632,0.4413,0.4749,-0.0023,0,419,0.2455,0.5632,0.4702,0.4749,-0.0016,0
month,2026-06,394,394,-0.7076,-1.151,-0.2643,3.3839,8.6401,9.3477,1,0,394,-0.7076,-1.151,-0.2643,3.3839,8.6401,9.3477,1,0,394,-0.457,-0.8968,-0.0171,3.3597,8.8908,9.3477,1,0,394,-0.319,-0.7588,0.1208,3.3668,9.0287,9.3477,0,0,394,0.2467,0.5533,0.4396,0.4873,-0.0005,0,394,0.2466,0.5584,0.4393,0.4873,-0.0005,0,394,0.2462,0.5584,0.4607,0.4873,-0.0009,0
park,ATH,50,34,-2.3118,-4.5791,-0.0445,4.6176,10.6588,12.9706,0,0,50,-2.222,-3.9226,-0.5214,4.37,10.258,12.48,1,0,50,-1.491,-3.172,0.19,4.3098,10.989,12.48,0,0,50,-1.2482,-2.9333,0.4369,4.3843,11.2318,12.48,0,0,50,0.2445,0.62,0.4473,0.6,-0.0027,0,50,0.2493,0.5,0.4523,0.6,0.0022,0,50,0.2487,0.5,0.4632,0.6,0.0016,0
park,BOS,52,33,-0.9252,-1.9994,0.1491,2.5664,7.59,8.5152,0,0,51,-0.0888,-1.0677,0.8901,2.8763,7.7151,7.8039,0,0,52,0.3013,-0.6507,1.2534,2.8887,8.186,7.8846,0,0,52,0.4806,-0.4714,1.4326,2.8922,8.3652,7.8846,0,0,51,0.2503,0.549,0.4487,0.5294,0.0031,0,52,0.2578,0.4808,0.4219,0.5385,0.0107,1,52,0.2503,0.4808,0.4488,0.5385,0.0032,0
park,CHC,52,29,-1.7662,-3.9117,0.3793,4.689,8.5441,10.3103,0,0,51,-1.1612,-2.5564,0.2341,3.9996,8.5055,9.6667,0,0,52,-0.7835,-2.1776,0.6107,4.0708,8.9088,9.6923,0,0,52,-0.6006,-1.9975,0.7962,4.0709,9.0917,9.6923,0,0,51,0.2467,0.549,0.4324,0.4314,-0.0005,0,52,0.2213,0.6731,0.4162,0.4231,-0.0258,1,52,0.2286,0.6731,0.4372,0.4231,-0.0185,1
park,CLE,53,34,-1.3182,-2.5384,-0.0981,3.1547,7.6229,8.9412,0,0,53,-0.6381,-1.672,0.3957,3.2879,7.5506,8.1887,0,0,53,-0.2157,-1.2387,0.8074,3.1911,7.973,8.1887,0,0,53,-0.0413,-1.0558,0.9732,3.1532,8.1474,8.1887,0,0,53,0.2591,0.4528,0.453,0.4906,0.0119,1,53,0.2491,0.5472,0.435,0.4906,0.002,0,53,0.2476,0.5472,0.4516,0.4906,0.0005,0
park,COL,53,34,-0.4662,-2.0003,1.0679,3.5409,11.3279,11.7941,0,0,49,-0.4255,-1.6983,0.8473,3.6406,11.1051,11.5306,0,0,53,0.6983,-0.5188,1.9154,3.6564,11.9625,11.2642,0,0,53,0.9655,-0.2404,2.1713,3.6664,12.2296,11.2642,0,0,49,0.2592,0.449,0.5116,0.5102,0.012,1,53,0.2591,0.5283,0.4644,0.5472,0.012,1,53,0.2548,0.5283,0.4722,0.5472,0.0077,0
park,CWS,49,31,-0.8052,-2.5183,0.9079,3.6665,8.3239,9.129,0,0,48,-0.4992,-1.8396,0.8412,3.5346,8.2925,8.7917,0,0,49,-0.6551,-1.9703,0.6601,3.5008,8.1408,8.7959,0,0,49,-0.4742,-1.7833,0.8349,3.494,8.3217,8.7959,0,0,48,0.2358,0.625,0.4719,0.375,-0.0114,1,49,0.2369,0.6327,0.4614,0.3673,-0.0102,1,49,0.243,0.6327,0.4739,0.3673,-0.0041,0
park,DET,52,34,0.3574,-0.7574,1.4721,2.6074,7.9162,7.5588,0,0,51,-0.0657,-1.1558,1.0244,3.0029,7.9147,7.9804,0,0,52,0.1842,-0.9194,1.2879,3.0327,8.0881,7.9038,0,0,52,0.3718,-0.74,1.4837,3.1064,8.2757,7.9038,0,0,51,0.2465,0.5882,0.4351,0.4314,-0.0007,0,52,0.2367,0.5769,0.4263,0.4423,-0.0104,1,52,0.2353,0.5769,0.4492,0.4423,-0.0118,1
