id,gamePk,date,month,away,home,venue,game_no,dh,start_et,local_hour,day_night,fav,fav_src,away_ml,home_ml,book_total,line_src,bucket,hand,away_sp,home_sp,actual_away,actual_home,actual_total,away_won,quarantined,live_proj_pure,live_proj_rule,live_proj_src,live_p_away,p1_proj,p1_p_away,p2_proj,p2_p_away,se_live_pure,se_live_rule,se_p1,se_p2,brier_live,brier_p1,brier_p2,hit_live,hit_p1,hit_p2
2250006,823244,2026-03-25,2026-03,NYY,SF,Oracle Park,1,N,7:05 PM ET,16.08,day,away_fav,games,-126,104,7.0,games,<8,L-R,Max Fried,Logan Webb,7.0,0.0,7.0,1.0,,,7.0,modelTotal(book),,7.75,0.4758,7.75,0.4758,,0.0,0.75,0.75,,0.27479,0.27479,,0.0,0.0
2250007,823649,2026-03-26,2026-03,PIT,NYM,Citi Field,1,N,12:15 PM ET,12.25,day,home_fav,games,100,-120,7.0,games,<8,R-R,Paul Skenes,Freddy Peralta,7.0,11.0,18.0,0.0,1,,7.0,modelTotal(book),0.452,7.9,0.4615,7.9,0.4615,,-11.0,-10.1,-10.1,0.2043,0.21298,0.21298,1.0,1.0,1.0
2250008,823812,2026-03-26,2026-03,CWS,MIL,American Family Field,1,N,1:10 PM ET,12.17,day,home_fav,games,159,-193,7.5,games,<8,R-R,Shane Smith,Jacob Misiorowski,2.0,14.0,16.0,0.0,1,,7.5,modelTotal(book),0.442,8.22,0.4194,8.22,0.4194,,-8.5,-7.78,-7.78,0.19536,0.1759,0.1759,1.0,1.0,1.0
2250009,824704,2026-03-26,2026-03,WSH,CHC,Wrigley Field,1,N,1:20 PM ET,12.33,day,home_fav,games,169,-207,7.0,games,<8,R-L,Cade Cavalli,Matthew Boyd,10.0,4.0,14.0,1.0,1,,7.0,modelTotal(book),0.37439999999999996,8.76,0.3727,8.76,0.3727,,-7.0,-5.24,-5.24,0.39138,0.39351,0.39351,0.0,0.0,0.0
2250010,824865,2026-03-26,2026-03,MIN,BAL,Oriole Park at Camden Yards,1,N,2:05 PM ET,14.08,day,home_fav,games,120,-145,8.5,games,8-9,R-L,Joe Ryan,Trevor Rogers,1.0,2.0,3.0,0.0,1,,8.5,modelTotal(book),0.39130000000000004,8.02,0.3772,8.02,0.3772,,5.5,5.02,5.02,0.15312,0.14228,0.14228,1.0,1.0,1.0
2250011,824541,2026-03-26,2026-03,BOS,CIN,Great American Ball Park,1,N,3:10 PM ET,15.17,day,away_fav,games,-163,135,8.0,games,8-9,L-L,Garrett Crochet,Andrew Abbott,3.0,0.0,3.0,1.0,1,,8.0,modelTotal(book),0.5138,8.62,0.4581,8.62,0.4581,,5.0,5.62,5.62,0.23639,0.29366,0.29366,1.0,0.0,0.0
2250012,824218,2026-03-26,2026-03,LAA,HOU,Daikin Park,1,N,3:10 PM ET,14.17,day,home_fav,games,149,-181,8.0,games,8-9,R-R,José Soriano,Hunter Brown,3.0,0.0,3.0,1.0,1,,8.0,modelTotal(book),0.42090000000000005,8.3,0.3592,8.3,0.3592,,5.0,5.3,5.3,0.33536,0.41062,0.41062,0.0,0.0,0.0
2250013,823325,2026-03-26,2026-03,DET,SD,Petco Park,1,N,3:10 PM ET,12.17,day,away_fav,games,-126,104,7.0,games,<8,L-R,Tarik Skubal,Nick Pivetta,8.0,2.0,10.0,1.0,1,,7.0,modelTotal(book),0.48200000000000004,6.76,0.469,6.76,0.469,,-3.0,-3.24,-3.24,0.26832,0.28196,0.28196,0.0,0.0,0.0
2250014,823081,2026-03-26,2026-03,TB,STL,Busch Stadium,1,N,3:15 PM ET,14.25,day,away_fav,games,-131,109,8.0,games,8-9,R-L,Drew Rasmussen,Matthew Liberatore,7.0,9.0,16.0,0.0,1,,8.0,modelTotal(book),0.49079999999999996,7.81,0.4667,7.81,0.4667,,-8.0,-8.19,-8.19,0.24088,0.21781,0.21781,1.0,1.0,1.0
2250015,823486,2026-03-26,2026-03,TEX,PHI,Citizens Bank Park,1,N,3:15 PM ET,15.25,day,home_fav,games,144,-175,8.0,games,8-9,R-L,Nathan Eovaldi,Cristopher Sánchez,3.0,5.0,8.0,0.0,1,,8.0,modelTotal(book),0.44689999999999996,8.16,0.4678,8.16,0.4678,,0.0,0.16,0.16,0.19972,0.21884,0.21884,1.0,1.0,1.0
