dim,slice,n_games,live_pure_n,live_pure_bias,live_pure_ci_lo,live_pure_ci_hi,live_pure_mae,live_pure_mean_proj,live_pure_mean_actual,live_pure_flag_bias,live_pure_flag_bias_centered,live_rule_n,live_rule_bias,live_rule_ci_lo,live_rule_ci_hi,live_rule_mae,live_rule_mean_proj,live_rule_mean_actual,live_rule_flag_bias,live_rule_flag_bias_centered,p1_n,p1_bias,p1_ci_lo,p1_ci_hi,p1_mae,p1_mean_proj,p1_mean_actual,p1_flag_bias,p1_flag_bias_centered,p2_n,p2_bias,p2_ci_lo,p2_ci_hi,p2_mae,p2_mean_proj,p2_mean_actual,p2_flag_bias,p2_flag_bias_centered,live_ml_n,live_brier,live_hit,live_mean_p_away,live_actual_away_rate,live_brier_dev,live_flag_brier,p1_ml_n,p1_brier,p1_hit,p1_mean_p_away,p1_actual_away_rate,p1_brier_dev,p1_flag_brier,p2_ml_n,p2_brier,p2_hit,p2_mean_p_away,p2_actual_away_rate,p2_brier_dev,p2_flag_brier
month,2026-03,76,0,,,,,,,0,0,76,-0.4737,-1.5121,0.5647,3.7237,8.1447,8.6184,0,0,76,-0.1338,-1.1409,0.8733,3.6888,8.4846,8.6184,0,0,76,-0.1338,-1.1409,0.8733,3.6888,8.4846,8.6184,0,0,75,0.2399,0.6133,0.4411,0.4133,-0.0073,0,76,0.2421,0.5658,0.4254,0.4211,-0.005,0,76,0.2421,0.5658,0.4254,0.4211,-0.005,0
month,2026-04,392,0,,,,,,,0,0,388,-0.8492,-1.2843,-0.4141,3.4807,8.2668,9.116,1,0,392,-0.427,-0.8692,0.0152,3.5391,8.6827,9.1097,0,0,392,-0.427,-0.8692,0.0152,3.5391,8.6827,9.1097,0,0,388,0.2486,0.5323,0.4664,0.4716,0.0014,0,392,0.2511,0.5459,0.4351,0.4719,0.004,0,392,0.2511,0.5459,0.4351,0.4719,0.004,0
month,2026-05,419,280,-0.2915,-0.8054,0.2223,3.4711,8.4799,8.7714,0,0,405,-0.1139,-0.5383,0.3105,3.438,8.4688,8.5827,0,1,419,0.1737,-0.231,0.5785,3.3853,8.7823,8.6086,0,1,419,0.5746,0.1698,0.9794,3.4604,9.1832,8.6086,1,1,405,0.2463,0.5679,0.4501,0.4667,-0.0009,0,419,0.2448,0.5632,0.4413,0.4749,-0.0023,0,419,0.2455,0.5632,0.4702,0.4749,-0.0016,0
month,2026-06,394,394,-0.7076,-1.151,-0.2643,3.3839,8.6401,9.3477,1,0,394,-0.7076,-1.151,-0.2643,3.3839,8.6401,9.3477,1,0,394,-0.457,-0.8968,-0.0171,3.3597,8.8908,9.3477,1,0,394,-0.319,-0.7588,0.1208,3.3668,9.0287,9.3477,0,0,394,0.2467,0.5533,0.4396,0.4873,-0.0005,0,394,0.2466,0.5584,0.4393,0.4873,-0.0005,0,394,0.2462,0.5584,0.4607,0.4873,-0.0009,0
month,2026-07,274,273,-0.5298,-1.0926,0.0329,3.7975,8.6863,9.2161,0,0,274,-0.5261,-1.0868,0.0347,3.7855,8.682,9.208,0,0,274,-0.2823,-0.8379,0.2734,3.7733,8.9258,9.208,0,0,274,-0.049,-0.6049,0.5069,3.8039,9.159,9.208,0,0,274,0.2495,0.5401,0.4377,0.4964,0.0023,0,274,0.2468,0.5401,0.4358,0.4964,-0.0003,0,274,0.2463,0.5401,0.4562,0.4964,-0.0008,0
park,ARI,53,32,-0.4222,-1.908,1.0636,2.9872,9.0466,9.4688,0,0,52,-0.1637,-1.4905,1.1632,3.7421,9.221,9.3846,0,0,53,0.2774,-1.0575,1.6122,3.8585,9.5981,9.3208,0,0,53,0.477,-0.8723,1.8263,3.9747,9.7977,9.3208,0,0,52,0.2386,0.5577,0.4558,0.4038,-0.0086,0,53,0.2436,0.6226,0.4538,0.4151,-0.0035,0,53,0.2463,0.6226,0.4647,0.4151,-0.0008,0
park,ATH,50,34,-2.3118,-4.5791,-0.0445,4.6176,10.6588,12.9706,0,0,50,-2.222,-3.9226,-0.5214,4.37,10.258,12.48,1,0,50,-1.491,-3.172,0.19,4.3098,10.989,12.48,0,0,50,-1.2482,-2.9333,0.4369,4.3843,11.2318,12.48,0,0,50,0.2445,0.62,0.4473,0.6,-0.0027,0,50,0.2493,0.5,0.4523,0.6,0.0022,0,50,0.2487,0.5,0.4632,0.6,0.0016,0
park,ATL,52,34,-1.0806,-2.5248,0.3636,3.3747,8.0665,9.1471,0,0,52,-0.8412,-1.9397,0.2574,3.1296,8.1396,8.9808,0,0,52,-0.3956,-1.4826,0.6914,3.1687,8.5852,8.9808,0,0,52,-0.2397,-1.3334,0.854,3.1917,8.7411,8.9808,0,0,52,0.2435,0.6154,0.4218,0.3846,-0.0037,0,52,0.2464,0.5769,0.4067,0.3846,-0.0007,0,52,0.2434,0.5769,0.4274,0.3846,-0.0037,0
park,BAL,54,33,0.0264,-1.1548,1.2075,2.7555,9.2688,9.2424,0,0,53,-0.2666,-1.2517,0.7185,2.9421,9.073,9.3396,0,0,54,-0.0335,-1.0143,0.9472,3.0172,9.4665,9.5,0,0,54,0.166,-0.8291,1.1612,3.0637,9.666,9.5,0,0,53,0.2538,0.4906,0.4565,0.4717,0.0066,0,54,0.2473,0.5185,0.4468,0.4815,0.0002,0,54,0.2473,0.5185,0.4594,0.4815,0.0002,0
park,BOS,52,33,-0.9252,-1.9994,0.1491,2.5664,7.59,8.5152,0,0,51,-0.0888,-1.0677,0.8901,2.8763,7.7151,7.8039,0,0,52,0.3013,-0.6507,1.2534,2.8887,8.186,7.8846,0,0,52,0.4806,-0.4714,1.4326,2.8922,8.3652,7.8846,0,0,51,0.2503,0.549,0.4487,0.5294,0.0031,0,52,0.2578,0.4808,0.4219,0.5385,0.0107,1,52,0.2503,0.4808,0.4488,0.5385,0.0032,0
