id,gamePk,date,away,home,venue,day_night,fav,away_ml,home_ml,bucket,hand,actual_away,actual_home,away_won,quarantined,live_p_away,brier_live,p1_p_away,brier_p1,p2_p_away,brier_p2
2251293,823929,2026-07-07,COL,LAD,Dodger Stadium,night,home_fav,257,-326,>9,R-L,4.0,3.0,1.0,0,0.2879,0.50709,0.321,0.46104,0.37593,0.38946
2250594,823951,2026-05-12,SF,LAD,Dodger Stadium,night,home_fav,268,-341,8-9,R-R,6.0,2.0,1.0,0,0.3062,0.48136,0.3184,0.46458,0.40605,0.35278
2250845,824027,2026-06-01,COL,LAA,Angel Stadium,night,home_fav,162,-198,8-9,L-R,9.0,8.0,1.0,0,0.31420000000000003,0.47032,0.3306,0.4481,0.38882,0.37354
2251333,823200,2026-07-10,COL,SF,Oracle Park,night,home_fav,133,-161,8-9,R-L,4.0,3.0,1.0,0,0.3194,0.46322,0.3274,0.45239,0.38058,0.38368
2250883,824673,2026-06-05,SF,CHC,Wrigley Field,day,home_fav,141,-171,>9,L-R,18.0,3.0,1.0,0,0.32280000000000003,0.4586,0.4119,0.34586,0.44317,0.31006
2251165,823689,2026-06-27,COL,MIN,Target Field,night,home_fav,119,-143,>9,UNK,8.0,5.0,1.0,0,0.3248,0.4559,0.3516,0.42042,0.40315,0.35623
2250670,824680,2026-05-18,MIL,CHC,Wrigley Field,night,home_fav,135,-163,>9,R-L,9.0,3.0,1.0,0,0.3267,0.45333,0.339,0.43692,0.41735,0.33948
2251332,823278,2026-07-10,TOR,SD,Petco Park,night,home_fav,-101,-120,8-9,R-L,5.0,3.0,1.0,0,0.3268,0.4532,0.3366,0.4401,0.38722,0.3755
2250851,823541,2026-06-02,CLE,NYY,Yankee Stadium,night,home_fav,178,-219,<8,L-R,9.0,4.0,1.0,0,0.3273,0.45253,0.355,0.41603,0.40545,0.35349
2250616,824762,2026-05-14,PHI,BOS,Fenway Park,night,home_fav,102,-123,<8,L-L,3.0,1.0,1.0,0,0.33130000000000004,0.44716,0.3076,0.47942,0.40001,0.35999
2250867,823540,2026-06-03,CLE,NYY,Yankee Stadium,night,home_fav,119,-144,<8,R-R,5.0,4.0,1.0,0,0.3328,0.44516,0.3403,0.4352,0.39547,0.36546
2250878,823779,2026-06-04,SF,MIL,American Family Field,day,home_fav,162,-198,8-9,UNK,12.0,9.0,1.0,0,0.3337,0.44396,0.3461,0.42759,0.39942,0.3607
2250190,823808,2026-04-10,WSH,MIL,American Family Field,night,home_fav,169,-207,8-9,R-L,7.0,3.0,1.0,1,0.33740000000000003,0.43904,0.3495,0.42315,0.3495,0.42315
2250486,824283,2026-05-04,BOS,DET,Comerica Park,night,away_fav,-122,102,8-9,L-L,5.0,4.0,1.0,0,0.3375,0.43891,0.597,0.16241,0.54893,0.20346
2253695,823927,2026-07-10,ARI,LAD,Dodger Stadium,night,home_fav,178,-218,8-9,UNK,9.0,3.0,1.0,0,0.34020000000000006,0.43534,0.4684,0.2826,0.47861,0.27185
2250183,824534,2026-04-10,LAA,CIN,Great American Ball Park,night,home_fav,149,-181,8-9,R-R,10.0,2.0,1.0,1,0.34159999999999996,0.43349,0.2913,0.50226,0.2913,0.50226
2251271,823931,2026-07-05,SD,LAD,Dodger Stadium,day,home_fav,188,-231,>9,L-R,5.0,2.0,1.0,0,0.3436,0.43086,0.3685,0.39879,0.40989,0.34823
2250795,823378,2026-05-28,CHC,PIT,PNC Park,night,home_fav,144,-175,<8,R-R,7.0,2.0,1.0,0,0.3446,0.42955,0.3423,0.43257,0.41914,0.3374
2250620,823384,2026-05-15,PHI,PIT,PNC Park,night,home_fav,113,-136,8-9,R-R,11.0,9.0,1.0,0,0.34509999999999996,0.42889,0.3594,0.41037,0.4283,0.32684
2250697,823547,2026-05-20,TOR,NYY,Yankee Stadium,night,home_fav,156,-190,8-9,R-R,2.0,1.0,1.0,0,0.3489,0.42393,0.3594,0.41037,0.4283,0.32684
2250870,823780,2026-06-03,SF,MIL,American Family Field,night,home_fav,113,-136,8-9,R-L,1.0,0.0,1.0,0,0.34950000000000003,0.42315,0.4302,0.32467,0.45508,0.29694
2250535,823466,2026-05-08,COL,PHI,Citizens Bank Park,night,home_fav,189,-232,<8,R-L,9.0,7.0,1.0,0,0.34979999999999994,0.42276,0.4648,0.28644,0.48239,0.26792
2253711,823926,2026-07-11,ARI,LAD,Dodger Stadium,night,home_fav,241,-302,8-9,R-R,9.0,2.0,1.0,0,0.35340000000000005,0.41809,0.3249,0.45576,0.37877,0.38593
2250898,823697,2026-06-06,KC,MIN,Target Field,day,home_fav,124,-149,8-9,R-R,3.0,2.0,1.0,0,0.3557,0.41512,0.3334,0.44436,0.39075,0.37119
2251129,822798,2026-06-24,HOU,TOR,Rogers Centre,night,home_fav,120,-145,8-9,R-R,3.0,1.0,1.0,0,0.3574,0.41293,0.3535,0.41796,0.40444,0.35469
2251338,823603,2026-07-11,BOS,NYM,Citi Field,day,home_fav,119,-144,8-9,UNK,4.0,0.0,1.0,0,0.3578,0.41242,0.4724,0.27836,0.48132,0.26903
2250879,824919,2026-06-04,TOR,ATL,Truist Park,night,home_fav,210,-261,<8,L-L,7.0,2.0,1.0,0,0.3599,0.40973,0.3688,0.39841,0.41472,0.34255
2250048,824700,2026-03-29,WSH,CHC,Wrigley Field,day,home_fav,197,-243,8-9,R-L,6.0,3.0,1.0,1,0.36060000000000003,0.40883,0.3665,0.40132,0.3665,0.40132
2250731,824920,2026-05-23,WSH,ATL,Truist Park,day,home_fav,143,-173,8-9,R-R,2.0,0.0,1.0,0,0.3607,0.4087,0.3594,0.41037,0.4283,0.32684
2250343,822748,2026-04-22,ATL,WSH,Nationals Park,night,away_fav,-163,135,8-9,R-R,8.0,6.0,1.0,0,0.361,0.40832,0.4483,0.30437,0.4483,0.30437
2251225,823765,2026-07-02,CIN,MIL,American Family Field,day,home_fav,178,-219,<8,R-R,7.0,2.0,1.0,0,0.3628,0.40602,0.3453,0.42863,0.39345,0.3679
2250700,823057,2026-05-20,PIT,STL,Busch Stadium,night,home_fav,-105,-115,<8,R-R,7.0,0.0,1.0,0,0.363,0.40577,0.3556,0.41525,0.42628,0.32915
2251095,822964,2026-06-22,KC,TB,Tropicana Field,night,home_fav,153,-186,<8,R-R,2.0,1.0,1.0,0,0.3632,0.40551,0.3662,0.4017,0.41298,0.34459
2251166,823770,2026-06-27,CHC,MIL,American Family Field,night,home_fav,129,-156,8-9,L-L,8.0,2.0,1.0,0,0.3632,0.40551,0.3621,0.40692,0.41023,0.34783
2251138,824258,2026-06-25,HOU,DET,Comerica Park,night,home_fav,100,-121,8-9,R-R,2.0,1.0,1.0,,0.3649,0.40335,0.3895,0.37271,0.42847,0.32665
