id,gamePk,date,away,home,venue,day_night,fav,bucket,hand,book_total,away_sp,home_sp,actual_away,actual_home,actual_total,quarantined,live_proj_rule,live_proj_src,se_live_rule,p1_proj,se_p1,p2_proj,se_p2
2251006,824994,2026-06-14,COL,ATH,Las Vegas Ballpark,day,home_fav,>9,R-L,14.0,Tomoyuki Sugano,Jeffrey Springs,23.0,9.0,32.0,0,10.44,modelProjTotal,-21.56,11.66,-20.34,11.841,-20.159
2250932,824998,2026-06-08,MIL,ATH,Las Vegas Ballpark,night,away_fav,>9,L-L,11.0,Kyle Harrison,Jeffrey Springs,15.0,14.0,29.0,0,9.38,modelProjTotal,-19.62,10.1,-18.9,10.257,-18.743
2251286,823607,2026-07-07,KC,NYM,Citi Field,night,home_fav,8-9,UNK,8.5,Seth Lugo,Kodai Senga,16.0,12.0,28.0,0,9.83,modelProjTotal,-18.17,9.72,-18.28,9.974,-18.026
2251215,824660,2026-07-01,SD,CHC,Wrigley Field,day,home_fav,>9,R-R,12.0,Walker Buehler,Colin Rea,3.0,23.0,26.0,0,8.42,modelProjTotal,-17.58,9.12,-16.88,9.358,-16.642
2250461,823388,2026-05-02,CIN,PIT,PNC Park,day,home_fav,8-9,R-R,8.0,Rhett Lowder,Carmen Mlodzinski,7.0,17.0,24.0,0,8.0,modelTotal(book),-16.0,8.96,-15.04,9.369,-14.631
2251374,824981,2026-07-17,WSH,ATH,Sutter Health Park,night,away_fav,>9,R-L,10.5,Cade Cavalli,Gage Jump,23.0,4.0,27.0,0,11.17,modelProjTotal,-15.83,10.94,-16.06,11.226,-15.774
2253424,825068,2026-06-20,MIN,ARI,Chase Field,night,home_fav,8-9,R-R,9.0,Taj Bradley,Zac Gallen,16.0,8.0,24.0,0,9.61,modelProjTotal,-14.39,10.63,-13.37,10.795,-13.205
2251087,824095,2026-06-21,STL,KC,Kauffman Stadium,day,away_fav,8-9,R-R,9.0,Dustin May,Stephen Kolek,12.0,10.0,22.0,0,7.74,modelProjTotal,-14.26,7.87,-14.13,7.992,-14.008
2250835,824354,2026-05-31,SF,COL,Coors Field,day,away_fav,>9,L-R,11.0,Robbie Ray,Tanner Gordon,19.0,6.0,25.0,0,10.85,modelProjTotal,-14.15,12.26,-12.74,12.82,-12.18
2250089,824136,2026-04-01,MIN,KC,Kauffman Stadium,night,away_fav,8-9,R-L,8.0,Joe Ryan,Noah Cameron,9.0,13.0,22.0,1,8.0,modelTotal(book),-14.0,8.01,-13.99,8.01,-13.99
2250663,822980,2026-05-18,BAL,TB,Tropicana Field,night,home_fav,<8,L-L,7.5,Trevor Rogers,Shane McClanahan,6.0,16.0,22.0,0,8.09,modelProjTotal,-13.91,8.46,-13.54,8.846,-13.154
2251150,824582,2026-06-26,KC,CWS,Rate Field,night,home_fav,8-9,UNK,9.0,Mitch Spence,David Sandlin,1.0,22.0,23.0,0,9.32,modelProjTotal,-13.68,8.68,-14.32,8.815,-14.185
2250224,823400,2026-04-13,WSH,PIT,PNC Park,night,home_fav,<8,R-R,7.5,Cade Cavalli,Paul Skenes,5.0,16.0,21.0,1,7.5,modelTotal(book),-13.5,9.18,-11.82,9.18,-11.82
2250883,824673,2026-06-05,SF,CHC,Wrigley Field,day,home_fav,>9,L-R,10.5,Robbie Ray,Edward Cabrera,18.0,3.0,21.0,0,7.83,modelProjTotal,-13.17,9.88,-11.12,10.033,-10.967
2250878,823779,2026-06-04,SF,MIL,American Family Field,day,home_fav,8-9,UNK,9.0,Adrian Houser,Coleman Crow,12.0,9.0,21.0,0,8.11,modelProjTotal,-12.89,8.4,-12.6,8.53,-12.47
2250666,822734,2026-05-18,NYM,WSH,Nationals Park,night,away_fav,>9,R-R,10.0,Christian Scott,Jake Irvin,16.0,7.0,23.0,0,10.23,modelProjTotal,-12.77,10.39,-12.61,10.864,-12.136
2250949,823215,2026-06-10,WSH,SF,Oracle Park,day,home_fav,8-9,L-L,8.5,Foster Griffin,Robbie Ray,10.0,11.0,21.0,1,8.36,modelProjTotal,-12.64,8.51,-12.49,8.642,-12.358
2250372,823070,2026-04-25,SEA,STL,Busch Stadium,day,away_fav,<8,R-L,7.5,Bryan Woo,Matthew Liberatore,11.0,9.0,20.0,0,7.5,modelTotal(book),-12.5,7.53,-12.47,7.53,-12.47
2251111,822718,2026-06-23,PHI,WSH,Nationals Park,night,away_fav,8-9,L-L,8.5,Aaron Nola,Miles Mikolas,14.0,9.0,23.0,0,10.56,modelProjTotal,-12.44,10.21,-12.79,10.368,-12.632
