game_id,mlb_game_pk,date,month,teams,game_no,series,sub_market,pick,prob,line,proj_value,actual,correct,brier,logloss,signed_error,abs_error,fav,day_night,allstar,leakage_quarantine,closing_source,score_source,note
2250006,823244,2026-03-25,2026-03,NYY@SF,1,live,ML,,,,,,,,,,,away_fav,night,0,0,proxy,games,no-projection
2250006,823244,2026-03-25,2026-03,NYY@SF,1,live,RL,,,,,,,,,,,away_fav,night,0,0,proxy,games,no-projection
2250006,823244,2026-03-25,2026-03,NYY@SF,1,live,TOTAL,,,,,,,,,,,away_fav,night,0,0,proxy,games,no-projection
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p1,ML,HOME,0.47580,-126,,AWAY,0,0.274786,0.742758,,,away_fav,night,0,0,proxy,games,
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p1,RL,HOME,0.37000,-1.5,0.05,AWAY,0,0.396900,0.994252,-6.95,6.95,away_fav,night,0,0,proxy,games,
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p1,TOTAL,OVER,0.51410,7,7.75,PUSH,,,,0.75,0.75,away_fav,night,0,0,proxy,games,push
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p2,ML,HOME,0.47580,-126,,AWAY,0,0.274786,0.742758,,,away_fav,night,0,0,proxy,games,
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p2,RL,HOME,0.37000,-1.5,0.05,AWAY,0,0.396900,0.994252,-6.95,6.95,away_fav,night,0,0,proxy,games,
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p2,TOTAL,OVER,0.51410,7,7.75,PUSH,,,,0.75,0.75,away_fav,night,0,0,proxy,games,push
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,live,ML,HOME,0.45200,+100,,HOME,1,0.204304,0.601480,,,home_fav,day,0,1,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,live,RL,HOME,,-1.5,-0.51,HOME,1,,,3.49,3.49,home_fav,day,0,1,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,live,TOTAL,OVER,0.52840,7,7.00,OVER,1,0.222407,0.637902,-11.00,11.00,home_fav,day,0,1,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p1,ML,HOME,0.46150,100,,HOME,1,0.212982,0.618968,,,home_fav,day,0,0,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p1,RL,HOME,0.35940,-1.5,-0.10,HOME,1,0.129168,0.445350,3.90,3.90,home_fav,day,0,0,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p1,TOTAL,OVER,0.52790,7,7.90,OVER,1,0.222878,0.638848,-10.10,10.10,home_fav,day,0,0,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p2,ML,HOME,0.46150,100,,HOME,1,0.212982,0.618968,,,home_fav,day,0,0,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p2,RL,HOME,0.35940,-1.5,-0.10,HOME,1,0.129168,0.445350,3.90,3.90,home_fav,day,0,0,proxy,games,
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p2,TOTAL,OVER,0.52790,7,7.90,OVER,1,0.222878,0.638848,-10.10,10.10,home_fav,day,0,0,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,live,ML,HOME,0.44200,+159,,HOME,1,0.195364,0.583396,,,home_fav,day,0,1,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,live,RL,AWAY,,+1.5,-0.70,HOME,0,,,11.30,11.30,home_fav,day,0,1,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,live,TOTAL,OVER,0.59410,7.5,7.50,OVER,1,0.164755,0.520708,-8.50,8.50,home_fav,day,0,1,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p1,ML,HOME,0.41940,159,,HOME,1,0.175896,0.543693,,,home_fav,day,0,0,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p1,RL,AWAY,0.58210,+1.5,-0.55,HOME,0,0.338840,0.872513,11.45,11.45,home_fav,day,0,0,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p1,TOTAL,OVER,0.50160,7.5,8.22,OVER,1,0.248403,0.689952,-7.78,7.78,home_fav,day,0,0,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p2,ML,HOME,0.41940,159,,HOME,1,0.175896,0.543693,,,home_fav,day,0,0,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p2,RL,AWAY,0.58210,+1.5,-0.55,HOME,0,0.338840,0.872513,11.45,11.45,home_fav,day,0,0,proxy,games,
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p2,TOTAL,OVER,0.50160,7.5,8.22,OVER,1,0.248403,0.689952,-7.78,7.78,home_fav,day,0,0,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,live,ML,HOME,0.37440,+169,,AWAY,0,0.391375,0.982431,,,home_fav,day,0,1,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,live,RL,AWAY,,+1.5,-1.45,AWAY,1,,,-7.45,7.45,home_fav,day,0,1,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,live,TOTAL,OVER,0.58790,7,7.00,OVER,1,0.169826,0.531198,-7.00,7.00,home_fav,day,0,1,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p1,ML,HOME,0.37270,169,,AWAY,0,0.393505,0.986981,,,home_fav,day,0,0,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p1,RL,AWAY,0.53110,+1.5,-1.12,AWAY,1,0.219867,0.632805,-7.12,7.12,home_fav,day,0,0,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p1,TOTAL,OVER,0.60110,7,8.76,OVER,1,0.159121,0.508994,-5.24,5.24,home_fav,day,0,0,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p2,ML,HOME,0.37270,169,,AWAY,0,0.393505,0.986981,,,home_fav,day,0,0,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p2,RL,AWAY,0.53110,+1.5,-1.12,AWAY,1,0.219867,0.632805,-7.12,7.12,home_fav,day,0,0,proxy,games,
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p2,TOTAL,OVER,0.60110,7,8.76,OVER,1,0.159121,0.508994,-5.24,5.24,home_fav,day,0,0,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,live,ML,HOME,0.39130,+120,,HOME,1,0.153116,0.496430,,,home_fav,day,0,1,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,live,RL,AWAY,,+1.5,-1.22,AWAY,1,,,-0.22,0.22,home_fav,day,0,1,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,live,TOTAL,UNDER,0.42970,8.5,8.50,UNDER,1,0.184642,0.561593,5.50,5.50,home_fav,day,0,1,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p1,ML,HOME,0.37720,120,,HOME,1,0.142280,0.473530,,,home_fav,day,0,0,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p1,RL,AWAY,0.54540,+1.5,-1.00,AWAY,1,0.206661,0.606236,0.00,0.00,home_fav,day,0,0,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p1,TOTAL,UNDER,0.40510,8.5,8.02,UNDER,1,0.164106,0.519362,5.02,5.02,home_fav,day,0,0,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p2,ML,HOME,0.37720,120,,HOME,1,0.142280,0.473530,,,home_fav,day,0,0,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p2,RL,AWAY,0.54540,+1.5,-1.00,AWAY,1,0.206661,0.606236,0.00,0.00,home_fav,day,0,0,proxy,games,
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p2,TOTAL,UNDER,0.40510,8.5,8.02,UNDER,1,0.164106,0.519362,5.02,5.02,home_fav,day,0,0,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,live,ML,AWAY,0.51380,-163,,AWAY,1,0.236390,0.665921,,,away_fav,day,0,1,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,live,RL,HOME,,-1.5,0.15,AWAY,0,,,-2.85,2.85,away_fav,day,0,1,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,live,TOTAL,UNDER,0.44520,8,8.00,UNDER,1,0.198203,0.589148,5.00,5.00,away_fav,day,0,1,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p1,ML,HOME,0.45810,-163,,AWAY,0,0.293656,0.780668,,,away_fav,day,0,0,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p1,RL,HOME,0.36480,-1.5,-0.14,AWAY,0,0.403479,1.008406,-3.14,3.14,away_fav,day,0,0,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p1,TOTAL,UNDER,0.49730,8,8.62,UNDER,1,0.247307,0.687762,5.62,5.62,away_fav,day,0,0,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p2,ML,HOME,0.45810,-163,,AWAY,0,0.293656,0.780668,,,away_fav,day,0,0,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p2,RL,HOME,0.36480,-1.5,-0.14,AWAY,0,0.403479,1.008406,-3.14,3.14,away_fav,day,0,0,proxy,games,
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p2,TOTAL,UNDER,0.49730,8,8.62,UNDER,1,0.247307,0.687762,5.62,5.62,away_fav,day,0,0,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,live,ML,HOME,0.42090,+149,,AWAY,0,0.335357,0.865360,,,home_fav,day,0,1,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,live,RL,AWAY,,+1.5,-0.87,AWAY,1,,,-3.87,3.87,home_fav,day,0,1,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,live,TOTAL,UNDER,0.46510,8,8.00,UNDER,1,0.216318,0.625675,5.00,5.00,home_fav,day,0,1,proxy,games,
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p1,ML,HOME,0.35920,149,,AWAY,0,0.410625,1.023876,,,home_fav,day,0,0,proxy,games,
