series,sub_market,month,scope,n_rows,graded,hits,hit_rate,hit_ci95,n_prob,brier,logloss,n_err,mae,rmse,bias,bias_ci95,bias_sig
live,ML,ALL,all,1555,1536,848,0.5521,0.0249,1536,0.24724,0.68756,0,,,,,
live,ML,2026-03,all,76,75,46,0.6133,0.1102,75,0.23988,0.67283,0,,,,,
live,ML,2026-04,all,392,388,206,0.5309,0.0497,388,0.2486,0.69034,0,,,,,
live,ML,2026-05,all,419,405,230,0.5679,0.0482,405,0.24633,0.68566,0,,,,,
live,ML,2026-06,all,394,394,218,0.5533,0.0491,394,0.24666,0.68631,0,,,,,
live,ML,2026-07,all,274,274,148,0.5401,0.059,274,0.24951,0.69228,0,,,,,
live,ML,ALL,ex-quarantine,1209,1190,657,0.5521,0.0283,1190,0.24796,0.68903,0,,,,,
live,ML,2026-03,ex-quarantine,1,0,0,,,0,,,0,,,,,
live,ML,2026-04,ex-quarantine,185,181,100,0.5525,0.0724,181,0.24684,0.68677,0,,,,,
live,ML,2026-05,ex-quarantine,399,385,219,0.5688,0.0495,385,0.24688,0.68682,0,,,,,
live,ML,2026-06,ex-quarantine,360,360,195,0.5417,0.0515,360,0.24873,0.69052,0,,,,,
live,ML,2026-07,ex-quarantine,264,264,143,0.5417,0.0601,264,0.24925,0.69176,0,,,,,
live,RL,ALL,all,1555,1534,903,0.5887,0.0246,590,0.24439,0.68204,1534,3.5621,4.5877,-0.3508,0.229,1
live,RL,2026-03,all,76,75,42,0.56,0.1123,0,,,75,3.2389,4.1137,-0.26,0.9354,0
live,RL,2026-04,all,392,387,212,0.5478,0.0496,0,,,387,3.4895,4.3248,-0.2886,0.4305,0
live,RL,2026-05,all,419,404,255,0.6312,0.047,0,,,404,3.5878,4.5652,-0.2906,0.4448,0
live,RL,2026-06,all,394,394,240,0.6091,0.0482,317,0.2408,0.67464,394,3.4746,4.5883,-0.4963,0.451,1
live,RL,2026-07,all,274,274,154,0.562,0.0587,273,0.24857,0.69064,274,3.8411,5.0776,-0.3432,0.601,0
live,RL,ALL,ex-quarantine,1209,1189,702,0.5904,0.028,550,0.24657,0.68656,1189,3.5975,4.6616,-0.4123,0.264,1
live,RL,2026-03,ex-quarantine,1,0,0,,,0,,,0,,,,,
live,RL,2026-04,ex-quarantine,185,181,94,0.5193,0.0728,0,,,181,3.4655,4.3147,-0.3723,0.628,0
live,RL,2026-05,ex-quarantine,399,384,242,0.6302,0.0483,0,,,384,3.6248,4.6112,-0.3204,0.4607,0
live,RL,2026-06,ex-quarantine,360,360,220,0.6111,0.0504,287,0.24262,0.67849,360,3.4484,4.5484,-0.5924,0.4665,1
live,RL,2026-07,ex-quarantine,264,264,146,0.553,0.06,263,0.25088,0.69536,264,3.8513,5.0958,-0.328,0.6146,0
live,TOTAL,ALL,all,1555,1475,767,0.52,0.0255,1475,0.25406,0.70214,1536,3.5133,4.5136,-0.5433,0.2242,1
live,TOTAL,2026-03,all,76,73,47,0.6438,0.1099,73,0.23303,0.65881,75,3.7733,4.6433,-0.48,1.0523,0
live,TOTAL,2026-04,all,392,369,181,0.4905,0.051,369,0.25752,0.70963,388,3.4807,4.449,-0.8492,0.4351,1
live,TOTAL,2026-05,all,419,387,198,0.5116,0.0498,387,0.25561,0.70491,405,3.438,4.3541,-0.1139,0.4244,0
live,TOTAL,2026-06,all,394,378,202,0.5344,0.0503,378,0.25312,0.70036,394,3.3839,4.5395,-0.7076,0.4433,1
live,TOTAL,2026-07,all,274,268,139,0.5187,0.0598,268,0.25412,0.70216,274,3.7855,4.7561,-0.5261,0.5607,0
live,TOTAL,ALL,ex-quarantine,1209,1144,583,0.5096,0.029,1144,0.25537,0.70471,1190,3.4645,4.4762,-0.4634,0.2531,1
live,TOTAL,2026-03,ex-quarantine,1,0,0,,,0,,,0,,,,,
live,TOTAL,2026-04,ex-quarantine,185,174,79,0.454,0.074,174,0.2615,0.7172,181,3.2818,4.1945,-0.8895,0.5988,1
live,TOTAL,2026-05,ex-quarantine,399,368,184,0.5,0.0511,368,0.25641,0.70648,385,3.4345,4.3723,-0.1912,0.4369,0
live,TOTAL,2026-06,ex-quarantine,360,344,185,0.5378,0.0527,344,0.25345,0.70121,360,3.378,4.5366,-0.5649,0.4656,1
live,TOTAL,2026-07,ex-quarantine,264,258,135,0.5233,0.0609,258,0.25234,0.69845,264,3.7517,4.7234,-0.4299,0.5685,0
p1,ML,ALL,all,1555,1555,861,0.5537,0.0247,1555,0.24707,0.68731,0,,,,,
p1,ML,2026-03,all,76,76,43,0.5658,0.1114,76,0.24205,0.67697,0,,,,,
p1,ML,2026-04,all,392,392,214,0.5459,0.0493,392,0.25113,0.69585,0,,,,,
p1,ML,2026-05,all,419,419,236,0.5632,0.0475,419,0.24478,0.68258,0,,,,,
p1,ML,2026-06,all,394,394,220,0.5584,0.049,394,0.24662,0.68624,0,,,,,
p1,ML,2026-07,all,274,274,148,0.5401,0.059,274,0.24683,0.68673,0,,,,,
p1,RL,ALL,all,1555,1555,913,0.5871,0.0245,1555,0.24123,0.67563,1555,3.5636,4.6103,-0.3763,0.2285,1
p1,RL,2026-03,all,76,76,43,0.5658,0.1114,76,0.24978,0.6932,76,3.3216,4.1426,-0.1732,0.9367,0
p1,RL,2026-04,all,392,392,223,0.5689,0.049,392,0.24749,0.68917,392,3.4976,4.3843,-0.3261,0.4334,0
p1,RL,2026-05,all,419,419,254,0.6062,0.0468,419,0.23372,0.65973,419,3.6002,4.6176,-0.3437,0.4414,0
p1,RL,2026-06,all,394,394,239,0.6066,0.0482,394,0.2386,0.67016,394,3.4722,4.5869,-0.5036,0.4508,1
p1,RL,2026-07,all,274,274,154,0.562,0.0587,274,0.24516,0.68354,274,3.8007,5.0501,-0.3712,0.5974,0
p1,TOTAL,ALL,all,1555,1493,812,0.5439,0.0253,1493,0.24902,0.69161,1555,3.5008,4.4487,-0.2329,0.2209,1
p1,TOTAL,2026-03,all,76,73,43,0.589,0.1129,73,0.24368,0.68039,76,3.6888,4.4518,-0.1338,1.0071,0
p1,TOTAL,2026-04,all,392,373,186,0.4987,0.0507,373,0.2567,0.70815,392,3.5391,4.4818,-0.427,0.4422,0
p1,TOTAL,2026-05,all,419,401,240,0.5985,0.048,401,0.24648,0.68626,419,3.3853,4.2252,0.1737,0.4047,0
p1,TOTAL,2026-06,all,394,378,203,0.537,0.0503,378,0.24529,0.68357,394,3.3597,4.4721,-0.457,0.4398,1
p1,TOTAL,2026-07,all,274,268,140,0.5224,0.0598,268,0.24882,0.69101,274,3.7733,4.6927,-0.2823,0.5557,0
p2,ML,ALL,all,1555,1555,861,0.5537,0.0247,1555,0.24705,0.68731,0,,,,,
p2,ML,2026-03,all,76,76,43,0.5658,0.1114,76,0.24205,0.67697,0,,,,,
p2,ML,2026-04,all,392,392,214,0.5459,0.0493,392,0.25113,0.69585,0,,,,,
p2,ML,2026-05,all,419,419,236,0.5632,0.0475,419,0.24547,0.68404,0,,,,,
p2,ML,2026-06,all,394,394,220,0.5584,0.049,394,0.24617,0.6854,0,,,,,
p2,ML,2026-07,all,274,274,148,0.5401,0.059,274,0.24631,0.68569,0,,,,,
p2,RL,ALL,all,1555,1555,913,0.5871,0.0245,1555,0.24123,0.67563,1555,3.5632,4.611,-0.3835,0.2285,1
p2,RL,2026-03,all,76,76,43,0.5658,0.1114,76,0.24978,0.6932,76,3.3216,4.1426,-0.1732,0.9367,0
p2,RL,2026-04,all,392,392,223,0.5689,0.049,392,0.24749,0.68917,392,3.4976,4.3843,-0.3261,0.4334,0
p2,RL,2026-05,all,419,419,254,0.6062,0.0468,419,0.23372,0.65973,419,3.5989,4.6195,-0.3585,0.4415,0
