series,sub_market,bin,n,avg_p,obs_rate,gap
live,ML,0.0-0.1,0,,,
live,ML,0.1-0.2,0,,,
live,ML,0.2-0.3,6,0.2811,0.1667,-0.1145
live,ML,0.3-0.4,280,0.3698,0.4214,0.0516
live,ML,0.4-0.5,982,0.4495,0.4644,0.0149
live,ML,0.5-0.6,258,0.5293,0.5736,0.0443
live,ML,0.6-0.7,10,0.6233,0.8,0.1767
live,ML,0.7-0.8,0,,,
live,ML,0.8-0.9,0,,,
live,ML,0.9-1.0,0,,,
live,RL,0.0-0.1,0,,,
live,RL,0.1-0.2,0,,,
live,RL,0.2-0.3,13,0.2806,0.3846,0.1041
live,RL,0.3-0.4,174,0.3579,0.4138,0.0558
live,RL,0.4-0.5,92,0.4405,0.5,0.0595
live,RL,0.5-0.6,219,0.5589,0.5936,0.0347
live,RL,0.6-0.7,92,0.6267,0.587,-0.0398
live,RL,0.7-0.8,0,,,
live,RL,0.8-0.9,0,,,
live,RL,0.9-1.0,0,,,
live,TOTAL,0.0-0.1,0,,,
live,TOTAL,0.1-0.2,5,0.1635,0.6,0.4365
live,TOTAL,0.2-0.3,22,0.2655,0.5,0.2345
live,TOTAL,0.3-0.4,248,0.3649,0.4315,0.0666
live,TOTAL,0.4-0.5,747,0.4503,0.5007,0.0504
live,TOTAL,0.5-0.6,398,0.5359,0.5352,-0.0008
live,TOTAL,0.6-0.7,54,0.6339,0.5185,-0.1153
live,TOTAL,0.7-0.8,1,0.73,0,-0.73
live,TOTAL,0.8-0.9,0,,,
live,TOTAL,0.9-1.0,0,,,
p1,ML,0.0-0.1,0,,,
p1,ML,0.1-0.2,0,,,
p1,ML,0.2-0.3,19,0.2795,0.3158,0.0363
p1,ML,0.3-0.4,390,0.3665,0.3949,0.0284
p1,ML,0.4-0.5,918,0.4471,0.4847,0.0377
p1,ML,0.5-0.6,221,0.5308,0.6109,0.0801
p1,ML,0.6-0.7,7,0.6241,0.5714,-0.0527
p1,ML,0.7-0.8,0,,,
p1,ML,0.8-0.9,0,,,
p1,ML,0.9-1.0,0,,,
p1,RL,0.0-0.1,0,,,
p1,RL,0.1-0.2,1,0.19,1,0.81
p1,RL,0.2-0.3,53,0.2831,0.283,-0.0001
p1,RL,0.3-0.4,450,0.3541,0.3956,0.0414
p1,RL,0.4-0.5,286,0.4441,0.507,0.0629
p1,RL,0.5-0.6,518,0.5568,0.5869,0.0301
p1,RL,0.6-0.7,245,0.6279,0.6367,0.0089
p1,RL,0.7-0.8,2,0.7132,0.5,-0.2132
p1,RL,0.8-0.9,0,,,
p1,RL,0.9-1.0,0,,,
p1,TOTAL,0.0-0.1,0,,,
p1,TOTAL,0.1-0.2,3,0.1463,0.6667,0.5203
p1,TOTAL,0.2-0.3,19,0.278,0.4211,0.1431
p1,TOTAL,0.3-0.4,220,0.3688,0.4182,0.0494
p1,TOTAL,0.4-0.5,764,0.453,0.4817,0.0287
p1,TOTAL,0.5-0.6,433,0.5355,0.5658,0.0303
p1,TOTAL,0.6-0.7,47,0.6287,0.5532,-0.0755
p1,TOTAL,0.7-0.8,7,0.7184,0.8571,0.1388
p1,TOTAL,0.8-0.9,0,,,
p1,TOTAL,0.9-1.0,0,,,
p2,ML,0.0-0.1,0,,,
p2,ML,0.1-0.2,0,,,
p2,ML,0.2-0.3,14,0.2775,0.3571,0.0796
p2,ML,0.3-0.4,161,0.3698,0.4037,0.034
p2,ML,0.4-0.5,1152,0.4546,0.4644,0.0098
p2,ML,0.5-0.6,226,0.5223,0.6106,0.0883
p2,ML,0.6-0.7,2,0.6481,0.5,-0.1481
p2,ML,0.7-0.8,0,,,
p2,ML,0.8-0.9,0,,,
p2,ML,0.9-1.0,0,,,
p2,RL,0.0-0.1,0,,,
p2,RL,0.1-0.2,1,0.19,1,0.81
p2,RL,0.2-0.3,53,0.2831,0.283,-0.0001
p2,RL,0.3-0.4,450,0.3541,0.3956,0.0414
p2,RL,0.4-0.5,286,0.4441,0.507,0.0629
p2,RL,0.5-0.6,518,0.5568,0.5869,0.0301
p2,RL,0.6-0.7,245,0.6279,0.6367,0.0089
p2,RL,0.7-0.8,2,0.7132,0.5,-0.2132
p2,RL,0.8-0.9,0,,,
p2,RL,0.9-1.0,0,,,
p2,TOTAL,0.0-0.1,0,,,
p2,TOTAL,0.1-0.2,3,0.1463,0.6667,0.5203
p2,TOTAL,0.2-0.3,13,0.2797,0.4615,0.1819
p2,TOTAL,0.3-0.4,161,0.3677,0.4534,0.0857
p2,TOTAL,0.4-0.5,689,0.455,0.4586,0.0037
p2,TOTAL,0.5-0.6,529,0.5381,0.5614,0.0234
p2,TOTAL,0.6-0.7,91,0.6298,0.5165,-0.1133
p2,TOTAL,0.7-0.8,7,0.7237,0.8571,0.1334
p2,TOTAL,0.8-0.9,0,,,
p2,TOTAL,0.9-1.0,0,,,
