game_id,date,month,teams,games_away_odds,games_home_odds,enroll_away_odds,enroll_home_odds,mirrored_pair,status
2250006,2026-03-25,2026-03,NYY@SF,,,,,0,games-null
2250007,2026-03-26,2026-03,PIT@NYM,211,-211,211,-211,1,agree
2250008,2026-03-26,2026-03,CWS@MIL,130,-130,-130,130,1,swapped
2250009,2026-03-26,2026-03,WSH@CHC,102,-102,-102,102,1,swapped
2250010,2026-03-26,2026-03,MIN@BAL,111,-111,-111,111,1,swapped
2250011,2026-03-26,2026-03,BOS@CIN,-164,164,164,-164,1,swapped
2250012,2026-03-26,2026-03,LAA@HOU,126,-126,-126,126,1,swapped
2250013,2026-03-26,2026-03,DET@SD,-196,196,196,-196,1,swapped
2250014,2026-03-26,2026-03,TB@STL,-172,173,173,-172,1,swapped
2250015,2026-03-26,2026-03,TEX@PHI,139,-139,-139,139,1,swapped
2250016,2026-03-26,2026-03,CLE@SEA,131,-131,-131,131,1,swapped
2252284,2026-03-26,2026-03,ARI@LAD,-104,104,-104,104,1,agree
2250017,2026-03-27,2026-03,NYY@SF,-152,152,152,-152,1,swapped
2250018,2026-03-27,2026-03,ATH@TOR,123,-123,-123,123,1,swapped
2250019,2026-03-27,2026-03,COL@MIA,134,-134,-134,134,1,swapped
2250020,2026-03-27,2026-03,KC@ATL,119,-119,-119,119,1,swapped
2250021,2026-03-27,2026-03,LAA@HOU,123,-123,-123,123,1,swapped
2250022,2026-03-27,2026-03,DET@SD,146,-146,-146,146,1,swapped
2250023,2026-03-27,2026-03,CLE@SEA,143,-143,-143,143,1,swapped
2252293,2026-03-27,2026-03,ARI@LAD,-122,122,-122,122,1,agree
2250024,2026-03-28,2026-03,TB@STL,-183,183,183,-183,1,swapped
2250025,2026-03-28,2026-03,WSH@CHC,-101,101,-101,101,1,agree
2250026,2026-03-28,2026-03,ATH@TOR,135,-135,-135,135,1,swapped
2250027,2026-03-28,2026-03,MIN@BAL,114,-114,-114,114,1,swapped
2250028,2026-03-28,2026-03,TEX@PHI,148,-148,-148,148,1,swapped
2250029,2026-03-28,2026-03,BOS@CIN,-216,216,216,-216,1,swapped
2250030,2026-03-28,2026-03,PIT@NYM,139,-139,-139,139,1,swapped
2250031,2026-03-28,2026-03,COL@MIA,107,-107,-107,107,1,swapped
2250032,2026-03-28,2026-03,LAA@HOU,141,-141,-141,141,1,swapped
2250033,2026-03-28,2026-03,CWS@MIL,-100,100,100,-100,1,swapped
2250034,2026-03-28,2026-03,KC@ATL,130,-130,-130,130,1,swapped
2250035,2026-03-28,2026-03,NYY@SF,-225,225,225,-225,1,swapped
2250036,2026-03-28,2026-03,DET@SD,-215,215,215,-215,1,swapped
2250037,2026-03-28,2026-03,CLE@SEA,133,-133,-133,133,1,swapped
2252307,2026-03-28,2026-03,ARI@LAD,-103,103,-103,103,1,agree
2250038,2026-03-29,2026-03,MIN@BAL,130,-130,-130,130,1,swapped
2250039,2026-03-29,2026-03,TEX@PHI,-100,100,100,-100,1,swapped
2250040,2026-03-29,2026-03,KC@ATL,109,-109,-109,109,1,swapped
2250041,2026-03-29,2026-03,ATH@TOR,145,-145,-145,145,1,swapped
2250042,2026-03-29,2026-03,BOS@CIN,-161,161,161,-161,1,swapped
2250043,2026-03-29,2026-03,PIT@NYM,106,-106,-106,106,1,swapped
2250044,2026-03-29,2026-03,COL@MIA,158,-158,-158,158,1,swapped
2250045,2026-03-29,2026-03,LAA@HOU,-107,107,107,-107,1,swapped
2250046,2026-03-29,2026-03,CWS@MIL,-102,102,102,-102,1,swapped
2250047,2026-03-29,2026-03,TB@STL,-142,142,142,-142,1,swapped
2250048,2026-03-29,2026-03,WSH@CHC,105,-105,105,-105,1,agree
2250049,2026-03-29,2026-03,CLE@SEA,143,-143,-143,143,1,swapped
2250050,2026-03-30,2026-03,MIN@KC,160,-160,-160,160,1,swapped
2250051,2026-03-30,2026-03,TEX@BAL,147,-147,-147,147,1,swapped
2250052,2026-03-30,2026-03,PIT@CIN,143,-143,-143,143,1,swapped
