game_id,mlb_game_pk,date,teams,api_away,api_home,api_status,ledger_ml_actual,ml_match,ledger_total_actual_side,ledger_total_line,total_match,note
2250312,824776,2026-04-20,DET@BOS,6,8,Final,HOME,1,OVER,8,1,
2250542,824607,2026-05-08,SEA@CWS,12,8,Final,AWAY,1,OVER,8,1,
3270004,823471,2026-04-30,SF@PHI,5,6,Final,HOME,1,OVER,7,1,
2250926,822972,2026-06-08,BOS@TB,1,3,Final,HOME,1,UNDER,8,1,
2250981,823211,2026-06-12,CHC@SF,5,1,Final,AWAY,1,UNDER,8.5,1,
2251445,824166,2026-07-22,MIA@HOU,2,5,Final,HOME,1,UNDER,8,1,
2251435,824327,2026-07-22,WSH@COL,8,0,Final,AWAY,1,UNDER,11.5,1,
2251122,824583,2026-06-24,CLE@CWS,4,3,Final,AWAY,1,UNDER,8,1,
2251384,824899,2026-07-18,TEX@ATL,7,6,Final,AWAY,1,OVER,9,1,
2251173,822795,2026-06-28,TEX@TOR,3,2,Final,AWAY,1,UNDER,9,1,
2250508,824362,2026-05-07,NYM@COL,2,6,Final,HOME,1,UNDER,9.5,1,
2251002,824099,2026-06-14,HOU@KC,0,4,Final,HOME,1,UNDER,8.5,1,
2251370,824170,2026-07-17,BAL@HOU,3,2,Final,AWAY,1,UNDER,8.5,1,
2251376,824657,2026-07-18,MIN@CHC,2,6,Final,HOME,1,UNDER,8.5,1,
2253270,823858,2026-06-09,ARI@MIA,6,10,Final,HOME,1,OVER,8,1,
2250259,823963,2026-04-15,NYM@LAD,2,8,Final,HOME,1,OVER,7.5,1,
2251075,824180,2026-06-20,CLE@HOU,8,1,Final,AWAY,1,OVER,8.5,1,
2250055,822834,2026-03-30,COL@TOR,14,5,Final,AWAY,1,OVER,8,1,
2251035,823450,2026-06-17,MIA@PHI,12,4,Final,AWAY,1,OVER,9.5,1,
2250707,823545,2026-05-21,TOR@NYY,2,0,Final,AWAY,1,UNDER,8.5,1,
2250860,823129,2026-06-02,NYM@SEA,3,8,Final,HOME,1,OVER,7.5,1,
2250996,823368,2026-06-14,MIA@PIT,4,2,Final,AWAY,1,UNDER,7,1,
2251178,824580,2026-06-28,KC@CWS,5,4,Final,AWAY,1,OVER,8.5,1,
2250212,823642,2026-04-12,ATH@NYM,1,0,Final,AWAY,1,UNDER,7,1,
2251100,823613,2026-06-24,CHC@NYM,10,3,Final,AWAY,1,OVER,9,1,
2250134,824296,2026-04-05,STL@DET,5,3,Final,AWAY,1,PUSH,8,1,
2250049,823160,2026-03-29,CLE@SEA,0,8,Final,HOME,1,OVER,7.5,1,
2250202,823805,2026-04-11,WSH@MIL,3,1,Final,AWAY,1,UNDER,8,1,
2250230,825024,2026-04-13,TEX@ATH,8,1,Final,AWAY,1,OVER,8.5,1,
2251339,822953,2026-07-11,SEA@TB,1,6,Final,HOME,1,PUSH,7,1,
2250137,823401,2026-04-06,SD@PIT,5,0,Final,AWAY,1,UNDER,8.5,1,
2251438,824408,2026-07-22,MIN@CLE,10,6,Final,AWAY,1,OVER,8,1,
2250187,824858,2026-04-10,SF@BAL,6,3,Final,AWAY,1,OVER,8.5,1,
2250646,824038,2026-05-16,LAD@LAA,15,2,Final,AWAY,1,OVER,8.5,1,
2252833,825090,2026-05-07,PIT@ARI,4,2,Final,,,,,,
2250767,824758,2026-05-26,ATL@BOS,7,6,Final,AWAY,1,OVER,8,1,
2251131,824500,2026-06-24,MIL@CIN,6,5,Final,AWAY,1,OVER,9.5,1,
2250424,823717,2026-04-29,SEA@MIN,5,3,Final,AWAY,1,PUSH,8,1,
2250886,823538,2026-06-05,BOS@NYY,5,3,Final,AWAY,1,PUSH,8,1,
2250279,823720,2026-04-17,CIN@MIN,2,1,Final,AWAY,1,UNDER,8.5,1,
2253172,825078,2026-06-01,LAD@ARI,1,4,Final,HOME,1,UNDER,8.5,1,
2250743,823861,2026-05-24,NYM@MIA,0,4,Final,HOME,1,UNDER,7.5,1,
2250629,823707,2026-05-15,MIL@MIN,3,2,Final,AWAY,1,UNDER,9,1,
2250421,823956,2026-04-28,MIA@LAD,2,1,Final,AWAY,1,UNDER,7.5,1,
2250701,823299,2026-05-20,LAD@SD,4,0,Final,AWAY,1,UNDER,7.5,1,
2251135,822961,2026-06-25,KC@TB,2,13,Final,HOME,1,OVER,8,1,
2253370,825070,2026-06-16,LAA@ARI,7,0,Final,AWAY,1,UNDER,8.5,1,
2250019,823893,2026-03-27,COL@MIA,1,2,Final,HOME,1,UNDER,8,1,
2250048,824700,2026-03-29,WSH@CHC,6,3,Final,AWAY,1,PUSH,9,1,
2251382,824088,2026-07-18,SD@KC,1,6,Final,HOME,1,UNDER,11,1,
2251184,824744,2026-06-28,NYY@BOS,4,5,Final,HOME,1,OVER,8,1,
2252828,825091,2026-05-06,PIT@ARI,1,0,Final,AWAY,1,UNDER,8.5,1,
2251316,824494,2026-07-09,PHI@CIN,1,0,Final,AWAY,1,UNDER,9.5,1,
2251308,823359,2026-07-09,ATL@PIT,10,5,Final,AWAY,1,OVER,9.5,1,
2250870,823780,2026-06-03,SF@MIL,1,0,Final,AWAY,1,UNDER,8,1,
2251367,824901,2026-07-17,TEX@ATL,1,15,Final,HOME,1,OVER,8,1,
2250073,824212,2026-03-31,BOS@HOU,2,9,Final,HOME,1,OVER,7.5,1,
2251414,824167,2026-07-20,MIA@HOU,5,8,Final,HOME,1,OVER,9,1,
2250810,823946,2026-05-29,PHI@LAD,2,4,Final,HOME,1,UNDER,8,1,
2251018,823938,2026-06-15,TB@LAD,3,4,Final,HOME,1,UNDER,9.5,1,
